,VariableNameA,VariableNameB,descriptionA,descriptionB,similarity_score
1775,EMP_SEP12_CONWRK,PPAY,"Third Quarter Employment,  Construction Workers",Prior quarter payroll from br nan nan nan,32.6%
1776,NEG_EXPS_PRCH_RESALE_DVAL,00218,Negative copy of purchases for resale,"Accumulated Depreciation             218 Accumulated Depreciation Accumulated Depreciation Accum depr, depletion, and amortization           00218",32.6%
1777,COST10U1B1INT0,00103,"Initial Interview, Unfurnished, 1 Bedrms, Cost #10",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.6%
1778,COST5U4B2INT4,00103,"Fourth Interview, Condo, 2 Bedrms, Cost #5",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.6%
1779,EMP_TOOL,00216,"Selected MetalWorking Employment,  Tool and die shop (if separate from machine shop) for jigs, fixtures, dies, and other special tooling",Plant and Equipment                  216 Plant and Equipment Plant and Equipment Plant and equipment                               00216,32.6%
1780,COST12U2B2INT0,00103,"Initial Interview, Furnished, 2 Bedrms, Cost #12",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.6%
1781,COST6U4B3INT2,00103,"Second Interview, Condo, 3 Bedrms, Cost #6",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.6%
1782,COST10U2B3INT0,00103,"Initial Interview, Furnished, 3 Bedrms, Cost #10",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.6%
1783,COST4U1B3INT3,00103,"Third Interview, Unfurnished, 3 Bedrms, Cost #4",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.6%
1784,COST6U1B1INT0,00103,"Initial Interview, Unfurnished, 1 Bedrms, Cost #6",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.6%
1785,COST11U3B0INT1,00206,"First Interview, Coop, 0 Bedrms, Cost #11",Commercial and Finance company Paper 206 Commercial and Finance Company paper of US issuers Commercial and Finance Company Paper of U.S. issuers Comm/finance co paper of US issuers               00206,32.6%
1786,COST7U2B3INT0,00103,"Initial Interview, Furnished, 3 Bedrms, Cost #7",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.6%
1787,COST1U3B0INT3,00103,"Third Interview, Coop, 0 Bedrms, Cost #1",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.6%
1788,COST9U1B2INT3,00103,"Third Interview, Unfurnished, 2 Bedrms, Cost #9",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.6%
1789,RCPT_PRDSHIP_PR,00206,"Value of product shipped by customer location, Puerto Rico",Commercial and Finance company Paper 206 Commercial and Finance Company paper of US issuers Commercial and Finance Company Paper of U.S. issuers Comm/finance co paper of US issuers               00206,32.6%
1790,COST9U3B0INT4,00103,"Fourth Interview, Coop, 0 Bedrms, Cost #9",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.6%
1791,COST10U4B2INT4,00103,"Fourth Interview, Condo, 2 Bedrms, Cost #10",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.6%
1792,PROD_QTYPRD_BENTON_NONE,00213,"None for the question: If MINE_HERE = 1, report the quantity of bentonite mined and/or basically prepared for transport at this mine or pit",Trade Accnts and Notes Receivable    213 Trade Accounts and Trade Notes Receivable Trade Accounts and Trade Notes Receivable Trade accounts and trade notes receivable         00213,32.6%
1793,COST12U3B0INT1,00206,"First Interview, Coop, 0 Bedrms, Cost #12",Commercial and Finance company Paper 206 Commercial and Finance Company paper of US issuers Commercial and Finance Company Paper of U.S. issuers Comm/finance co paper of US issuers               00206,32.6%
1794,COMPUTER_SALE_SOFTWARE_PCT,00219,"Computer System Integration, Sale of custom software produced by this establishment","Net Property Plant and Equipment     219 NET PPE Net PPE Net property, plant, and equipment                00219",32.6%
1795,AFFIL_SPL_NAME2,00082,"Added child establishment,   Secondary Name",EI for Addition 2 EI for addition 2 EI for Addition 2 Federal EI of Addition 2                          00082,32.5%
1796,COST4U3B0INT2,00103,"Second Interview, Coop, 0 Bedrms, Cost #4",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.5%
1797,COST10U4B1INT2,00103,"Second Interview, Condo, 1 Bedrms, Cost #10",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.5%
1798,COST4U3B0INT1,00103,"First Interview, Coop, 0 Bedrms, Cost #4",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.5%
1799,COST9U1B3INT3,00103,"Third Interview, Unfurnished, 3 Bedrms, Cost #9",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.5%
1800,COST2U2B0INT0,00103,"Initial Interview, Furnished, 0 Bedrms, Cost #2",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.5%
1801,PUBLIC_WATER_WASTEWATER,00216,Which of the following types of water was mainly supplied by the public water system?,Plant and Equipment                  216 Plant and Equipment Plant and Equipment Plant and equipment                               00216,32.5%
1802,COST8U2B1INT0,00103,"Initial Interview, Furnished, 1 Bedrms, Cost #8",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.5%
1803,CLASS_GENPUB,00206,"Class of Customer,  As a general business practice, did this establishment sell to household consumers and individual users?",Commercial and Finance company Paper 206 Commercial and Finance Company paper of US issuers Commercial and Finance Company Paper of U.S. issuers Comm/finance co paper of US issuers               00206,32.5%
1804,PAY_ANN_TOT_S,00101,Total Leased Annual Payroll from All Clients,"Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues Sales, Receipts and Operating Revenues            00101",32.5%
1805,PROP_MAR12_LPN,00107,"Proprietor or Partner by Occupation,  Licensed practical nurses",Other recurring non-operating income 107 Other Recurring Non-operating Income Other Recurring Non-operating Income Other recurring nonoperating income               00107,32.5%
1806,RCPT_CONTRACT_OTH,00206,"Contract Work done by customer in Puerto Rico,  Other customers",Commercial and Finance company Paper 206 Commercial and Finance Company paper of US issuers Commercial and Finance Company Paper of U.S. issuers Comm/finance co paper of US issuers               00206,32.5%
1807,SURVEY_PERIOD,00402,The survey period,statement of income ending date      402 nan staement of income ending date Statement of Income-- TO date (YYYYMMDD)          00402,32.5%
1808,COST6U3B2INT3,00206,"Third Interview, Coop, 2 Bedrms, Cost #6",Commercial and Finance company Paper 206 Commercial and Finance Company paper of US issuers Commercial and Finance Company Paper of U.S. issuers Comm/finance co paper of US issuers               00206,32.5%
1809,COST3U1B3INT3,00103,"Third Interview, Unfurnished, 3 Bedrms, Cost #3",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.5%
1810,COST6U4B1INT1,00206,"First Interview, Condo, 1 Bedrms, Cost #6",Commercial and Finance company Paper 206 Commercial and Finance Company paper of US issuers Commercial and Finance Company Paper of U.S. issuers Comm/finance co paper of US issuers               00206,32.5%
1811,COST6U3B3INT1,00206,"First Interview, Coop, 3 Bedrms, Cost #6",Commercial and Finance company Paper 206 Commercial and Finance Company paper of US issuers Commercial and Finance Company Paper of U.S. issuers Comm/finance co paper of US issuers               00206,32.5%
1812,COST12U2B3INT3,00103,"Third Interview, Furnished, 3 Bedrms, Cost #12",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.5%
1813,EMP_MAR12_PRDWRK_NUM,00104,Production Worker Employment,Income (loss) from operations        104 Income (loss) from Operation Income (loss) from operations Income (Loss) from operations                     00104,32.5%
1814,COST3U2B0INT2,00103,"Second Interview, Furnished, 0 Bedrms, Cost #3",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.5%
1815,PROD_QTYPRD_FIRCLY_NONE,00217,"None for the question: If MINE_HERE = 1, report the quantity of fire clay mined and/or basically prepared for transport at this mine or pit",Land and Mineral rights              217 Land and Mineral Rights Land and Mineral Rights Land and mineral rights                           00217,32.5%
1816,HOTEL_OWNMNG_NUM,00061,Number of Hotel Establishments: Self managed,Number of Subsidiary corps Number of Subsidiary Corporations Number of Subsidiary Corporations How many domestic and foreign corporations are    00061,32.5%
1817,COST11U3B1INT1,00103,"First Interview, Coop, 1 Bedrms, Cost #11",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.5%
1818,COST9U3B1INT4,00103,"Fourth Interview, Coop, 1 Bedrms, Cost #9",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.4%
1819,COST11U2B1INT4,00103,"Fourth Interview, Furnished, 1 Bedrms, Cost #11",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.4%
1820,COST3U1B1INT2,00103,"Second Interview, Unfurnished, 1 Bedrms, Cost #3",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.4%
1821,COST12U2B2INT3,00103,"Third Interview, Furnished, 2 Bedrms, Cost #12",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.4%
1822,COST12U1B3INT3,00103,"Third Interview, Unfurnished, 3 Bedrms, Cost #12",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.4%
1823,COST9U3B3INT1,00103,"First Interview, Coop, 3 Bedrms, Cost #9",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.4%
1824,PBA_2022_CENSUS,00312,Final selected PBA code/variation for the respondent within the 2022 EC,Current Portion Long Term Debt-Other 312 Current Portion Long Term Debt-Other Current Portion Long Term Debt-Other Current portion LT debt - other                   00312,32.4%
1825,COST10U4B3INT1,00103,"First Interview, Condo, 3 Bedrms, Cost #10",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.4%
1826,COST9U3B0INT2,00103,"Second Interview, Coop, 0 Bedrms, Cost #9",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.4%
1827,COST3U2B0INT4,00103,"Fourth Interview, Furnished, 0 Bedrms, Cost #3",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.4%
1828,COST12U4B0INT1,00103,"First Interview, Condo, 0 Bedrms, Cost #12",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.4%
1829,COST12U3B2INT3,00206,"Third Interview, Coop, 2 Bedrms, Cost #12",Commercial and Finance company Paper 206 Commercial and Finance Company paper of US issuers Commercial and Finance Company Paper of U.S. issuers Comm/finance co paper of US issuers               00206,32.4%
1830,COST4U3B3INT1,00103,"First Interview, Coop, 3 Bedrms, Cost #4",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.4%
1831,COST3U2B1INT2,00103,"Second Interview, Furnished, 1 Bedrms, Cost #3",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.4%
1832,TOC_NEW_397,00051,Percent of Construction Work for Building Construction New Construction,Own another company-YES/NO Own another company - Yes/No Own another Company-yes/no Does this corp own more than 50% of another       00051,32.4%
1833,EMP_MAR12_CAO,00001,"Employment By Occupation, General support of other establishments in your company - including central administrative, accounting, research, and other support employees",Is this your Company's Industry -YES/NO Is this your company's industry - yes/no Is this your company's industry - yes/no Does the industry description describe your       00001,32.4%
1834,COST7U2B1INT3,00103,"Third Interview, Furnished, 1 Bedrms, Cost #7",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.4%
1835,COST12U2B0INT3,00103,"Third Interview, Furnished, 0 Bedrms, Cost #12",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.4%
1836,COST8U2B2INT0,00103,"Initial Interview, Furnished, 2 Bedrms, Cost #8",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.4%
1837,BED3,00223,"Number of total 3 bedrooms for indicated type of unit (Unfurnished, Furnished, Co-op, or Condo)",Total Assets                         223 Total Assets Total Assets TOTAL ASSETS                                      00223,32.4%
1838,COST2U4B2INT1,00302,"First Interview, Condo, 2 Bedrms, Cost #2",Short Term Loans (Commercial Paper)  302 Short Term Loans (Commercial Paper) Short Term Loans (Commercial Paper) Short-term loans -- Commercial paper              00302,32.4%
1839,COST8U3B2INT3,00103,"Third Interview, Coop, 2 Bedrms, Cost #8",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.4%
1840,NC-9902C_TYPOP_SELFDSG,00219,Type of Operation - What is the establishment's primary type of operation,"Net Property Plant and Equipment     219 NET PPE Net PPE Net property, plant, and equipment                00219",32.4%
1841,COST2U3B3INT3,00103,"Third Interview, Coop, 3 Bedrms, Cost #2",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.4%
1842,RCPT_ECOMM_AUDVID_VAL,00101,Electronic Commerce (e-commerce) - Audio & video recordings,"Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues Sales, Receipts and Operating Revenues            00101",32.4%
1843,COST9U2B0INT0,00103,"Initial Interview, Furnished, 0 Bedrms, Cost #9",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.4%
1844,RCPT_CONTRACT_GOVLOCAL,00206,"Contract Work done by customer in Puerto Rico, Local government",Commercial and Finance company Paper 206 Commercial and Finance Company paper of US issuers Commercial and Finance Company Paper of U.S. issuers Comm/finance co paper of US issuers               00206,32.4%
1845,RD_EXPS_STAT,00110,Research and Development Expenses,NONOPERATING INCOME and EXPENSES     110 Nonoperating expenses and income Nonoperating Income and Expenses Nonoperating Income and Expenses                  00110,32.4%
1846,COST2U2B0INT3,00103,"Third Interview, Furnished, 0 Bedrms, Cost #2",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.4%
1847,COST7U4B1INT1,00103,"First Interview, Condo, 1 Bedrms, Cost #7",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.4%
1848,COST1U2B1INT3,00103,"Third Interview, Furnished, 1 Bedrms, Cost #1",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.4%
1849,COST8U1B1INT3,00103,"Third Interview, Unfurnished, 1 Bedrms, Cost #8",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.3%
1850,COST7U4B2INT2,00103,"Second Interview, Condo, 2 Bedrms, Cost #7",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.3%
1851,COST5U3B0INT3,00103,"Third Interview, Coop, 0 Bedrms, Cost #5",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.3%
1852,COST12U3B3INT1,00206,"First Interview, Coop, 3 Bedrms, Cost #12",Commercial and Finance company Paper 206 Commercial and Finance Company paper of US issuers Commercial and Finance Company Paper of U.S. issuers Comm/finance co paper of US issuers               00206,32.3%
1853,SMPCDE,00216,Sample maintenance code,Plant and Equipment                  216 Plant and Equipment Plant and Equipment Plant and equipment                               00216,32.3%
1854,COST10U3B1INT3,00103,"Third Interview, Coop, 1 Bedrms, Cost #10",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.3%
1855,COST6U3B0INT2,00206,"Second Interview, Coop, 0 Bedrms, Cost #6",Commercial and Finance company Paper 206 Commercial and Finance Company paper of US issuers Commercial and Finance Company Paper of U.S. issuers Comm/finance co paper of US issuers               00206,32.3%
1856,COST7U3B3INT3,00103,"Third Interview, Coop, 3 Bedrms, Cost #7",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.3%
1857,COST8U3B2INT1,00206,"First Interview, Coop, 2 Bedrms, Cost #8",Commercial and Finance company Paper 206 Commercial and Finance Company paper of US issuers Commercial and Finance Company Paper of U.S. issuers Comm/finance co paper of US issuers               00206,32.3%
1858,COST4U3B1INT1,00103,"First Interview, Coop, 1 Bedrms, Cost #4",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.3%
1859,COST12U1B2INT3,00103,"Third Interview, Unfurnished, 2 Bedrms, Cost #12",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.3%
1860,BEDNONEU1,00081,Total Efficiencies for Type 1,EI for Addition 1 EI for addition 1 EI for Addition 1 Federal EI of Addition 1                          00081,32.3%
1861,COST3U1B3INT1,00103,"First Interview, Unfurnished, 3 Bedrms, Cost #3",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.3%
1862,COST3U2B1INT4,00103,"Fourth Interview, Furnished, 1 Bedrms, Cost #3",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.3%
1863,COST3U1B3INT2,00103,"Second Interview, Unfurnished, 3 Bedrms, Cost #3",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.3%
1864,COST10U2B1INT3,00103,"Third Interview, Furnished, 1 Bedrms, Cost #10",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.3%
1865,COST10U3B0INT3,00103,"Third Interview, Coop, 0 Bedrms, Cost #10",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.3%
1866,COST6U3B3INT3,00206,"Third Interview, Coop, 3 Bedrms, Cost #6",Commercial and Finance company Paper 206 Commercial and Finance Company paper of US issuers Commercial and Finance Company Paper of U.S. issuers Comm/finance co paper of US issuers               00206,32.3%
1867,COST3U1B2INT2,00103,"Second Interview, Unfurnished, 2 Bedrms, Cost #3",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.3%
1868,COST3U1B2INT4,00103,"Fourth Interview, Unfurnished, 2 Bedrms, Cost #3",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.3%
1869,COST6U4B2INT2,00206,"Second Interview, Condo, 2 Bedrms, Cost #6",Commercial and Finance company Paper 206 Commercial and Finance Company paper of US issuers Commercial and Finance Company Paper of U.S. issuers Comm/finance co paper of US issuers               00206,32.3%
1870,RCPT_BRDBND_TOT_PCT,00101,Percentage of receipts for broadband internet access Total,"Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues Sales, Receipts and Operating Revenues            00101",32.3%
1871,COST9U3B1INT2,00103,"Second Interview, Coop, 1 Bedrms, Cost #9",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.3%
1872,COST7U3B2INT1,00206,"First Interview, Coop, 2 Bedrms, Cost #7",Commercial and Finance company Paper 206 Commercial and Finance Company paper of US issuers Commercial and Finance Company Paper of U.S. issuers Comm/finance co paper of US issuers               00206,32.3%
1873,COST1U4B3INT1,00103,"First Interview, Condo, 3 Bedrms, Cost #1",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.3%
1874,PGM_TYPE5,00107,Fifth Subsidy Program,Other recurring non-operating income 107 Other Recurring Non-operating Income Other Recurring Non-operating Income Other recurring nonoperating income               00107,32.3%
1875,COST8U1B0INT3,00103,"Third Interview, Unfurnished, 0 Bedrms, Cost #8",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.3%
1876,COST4U3B1INT2,00103,"Second Interview, Coop, 1 Bedrms, Cost #4",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.3%
1877,COST12U3B0INT2,00206,"Second Interview, Coop, 0 Bedrms, Cost #12",Commercial and Finance company Paper 206 Commercial and Finance Company paper of US issuers Commercial and Finance Company Paper of U.S. issuers Comm/finance co paper of US issuers               00206,32.3%
1878,COST3U2B3INT2,00103,"Second Interview, Furnished, 3 Bedrms, Cost #3",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.3%
1879,COST9U3B3INT2,00103,"Second Interview, Coop, 3 Bedrms, Cost #9",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.3%
1880,COST3U2B2INT4,00103,"Fourth Interview, Furnished, 2 Bedrms, Cost #3",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.3%
1881,PREV_OWNER_ADDR_STREET,00327,Street Address of Former Owner or operator,Stockholders Equity                  327 Stockholders Equity Stockholders Equity Stockholders' equity                              00327,32.2%
1882,COST3U3B3INT4,00103,"Fourth Interview, Coop, 3 Bedrms, Cost #3",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.2%
1883,COST7U4B2INT1,00103,"First Interview, Condo, 2 Bedrms, Cost #7",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.2%
1884,COST2U1B3INT3,00103,"Third Interview, Unfurnished, 3 Bedrms, Cost #2",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.2%
1885,COST2U2B3INT3,00103,"Third Interview, Furnished, 3 Bedrms, Cost #2",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.2%
1886,EMP_SUM_PRDWRK,00001,Manufacturing:  Sum of Production Workers,Is this your Company's Industry -YES/NO Is this your company's industry - yes/no Is this your company's industry - yes/no Does the industry description describe your       00001,32.2%
1887,KAU_ID,00101,Reporting unit that has the linkage between the KAU and its' corresponding MU establishments,"Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues Sales, Receipts and Operating Revenues            00101",32.2%
1888,COST5U3B1INT3,00103,"Third Interview, Coop, 1 Bedrms, Cost #5",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.2%
1889,COST7U2B2INT0,00103,"Initial Interview, Furnished, 2 Bedrms, Cost #7",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.2%
1890,COST2U3B0INT1,00103,"First Interview, Coop, 0 Bedrms, Cost #2",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.2%
1891,COST11U3B2INT4,00103,"Fourth Interview, Coop, 2 Bedrms, Cost #11",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.2%
1892,TOTU2INT0,00081,"Total Furn Units, Initial Intv",EI for Addition 1 EI for addition 1 EI for Addition 1 Federal EI of Addition 1                          00081,32.2%
1893,COST2U1B1INT3,00103,"Third Interview, Unfurnished, 1 Bedrms, Cost #2",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.2%
1894,COST6U4B3INT1,00206,"First Interview, Condo, 3 Bedrms, Cost #6",Commercial and Finance company Paper 206 Commercial and Finance Company paper of US issuers Commercial and Finance Company Paper of U.S. issuers Comm/finance co paper of US issuers               00206,32.2%
1895,COST9U3B2INT1,00103,"First Interview, Coop, 2 Bedrms, Cost #9",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.2%
1896,EXPS_PRINT_VAL,00206,Purchased Printing Services,Commercial and Finance company Paper 206 Commercial and Finance Company paper of US issuers Commercial and Finance Company Paper of U.S. issuers Comm/finance co paper of US issuers               00206,32.2%
1897,COST6U1B0INT0,00103,"Initial Interview, Unfurnished, 0 Bedrms, Cost #6",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.2%
1898,RCPT_HLTHCARE_PRVDRS_VAL,00115,Net patient revenues from health care providers,Net Income (loss)                    115 Net income (loss) Net Income (loss) Net Income (Loss)                                 00115,32.2%
1899,COST3U1B1INT1,00103,"First Interview, Unfurnished, 1 Bedrms, Cost #3",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.2%
1900,RCPT_MOTOR_LONG,00206,"Trucking Revenue,  LONG-DISTANCE (motor carrier service between metropolitan areas which may cross North American borders)",Commercial and Finance company Paper 206 Commercial and Finance Company paper of US issuers Commercial and Finance Company Paper of U.S. issuers Comm/finance co paper of US issuers               00206,32.2%
1901,COST6U3B1INT1,00206,"First Interview, Coop, 1 Bedrms, Cost #6",Commercial and Finance company Paper 206 Commercial and Finance Company paper of US issuers Commercial and Finance Company Paper of U.S. issuers Comm/finance co paper of US issuers               00206,32.2%
1902,COST_SUBCONTRACT,00110,Work done for you by others on your materials (work contracted to others),NONOPERATING INCOME and EXPENSES     110 Nonoperating expenses and income Nonoperating Income and Expenses Nonoperating Income and Expenses                  00110,32.2%
1903,COST11U2B3INT4,00103,"Fourth Interview, Furnished, 3 Bedrms, Cost #11",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.2%
1904,COST4U3B3INT2,00103,"Second Interview, Coop, 3 Bedrms, Cost #4",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.2%
1905,MEDIA_SUB_OTHER_PCT,00101,"Subscription Media, Other media, including CD-ROM/DVD-ROM, diskette or cassette, and microform","Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues Sales, Receipts and Operating Revenues            00101",32.2%
1906,RCPT_MOTR_USEDGD_PCT,00219,Analysis of Motor Carrier Operations: Used household and office good,"Net Property Plant and Equipment     219 NET PPE Net PPE Net property, plant, and equipment                00219",32.2%
1907,COST11U2B2INT4,00103,"Fourth Interview, Furnished, 2 Bedrms, Cost #11",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.1%
1908,COST3U3B2INT4,00103,"Fourth Interview, Coop, 2 Bedrms, Cost #3",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.1%
1909,COST3U3B2INT2,00103,"Second Interview, Coop, 2 Bedrms, Cost #3",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.1%
1910,COST8U2B2INT3,00103,"Third Interview, Furnished, 2 Bedrms, Cost #8",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.1%
1911,COST7U3B0INT1,00206,"First Interview, Coop, 0 Bedrms, Cost #7",Commercial and Finance company Paper 206 Commercial and Finance Company paper of US issuers Commercial and Finance Company Paper of U.S. issuers Comm/finance co paper of US issuers               00206,32.1%
1912,COST1U2B2INT0,00103,"Initial Interview, Furnished, 2 Bedrms, Cost #1",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.1%
1913,COST8U2B0INT3,00103,"Third Interview, Furnished, 0 Bedrms, Cost #8",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,32.1%
1914,COST8U3B0INT1,00206,"First Interview, Coop, 0 Bedrms, Cost #8",Commercial and Finance company Paper 206 Commercial and Finance Company paper of US issuers Commercial and Finance Company Paper of U.S. issuers Comm/finance co paper of US issuers               00206,32.1%
