,VariableNameA,VariableNameB,descriptionA,descriptionB,similarity_score,"data/ABS-MOPS Variables - December 11 2024.xlsm: Unique Name for Variable 
On upload, will verify with those already in database to ensure unique and alert to those that are not

NOTE: 
1) Variable Names should be all caps with no spaces
2) Variables can not end with _# or _## as those are reserved for handling of repeating persons."
1616,INCOM_UNIT_BROK_MARIN_PCT,B_RD_MRKT_RESRCH,"Brokering and Dealing Products, Margin interest",Yes/No if business engaged in marketing and brand equity activities,35.8%,RD_MRKT_RESRCH_STAT
1617,RCPT_REPAIR_PARTS,B_PRODSVC_PROB,"Repair Receipts, Parts installed in repair work",The actions taken when a production or service problem arose ,35.8%,PRODSVC_PROB_CODE
1618,SOMA_HNO,"RESP_PHONE_AREA_CODE
RESP_PHONE_PREFIX, RESP_PHONE_SUFFIX, ",House Number,Contact Information: Phone,35.8%,CERT_PHONE_NUM
1619,EXPS_FUEL_TRANSP_VAL,B_RDEXP_DOM_EQUIPMT,Purchased Fuels for Transportation Equipment,Amount of domestic R&D costs going to expensed machinery and equipment,35.7%,EXPS_RD_DOM_EQUIP_VAL
1620,COST10U3B1INT0,B_RDCOST_DOM_BASIC,"Initial Interview, Coop, 1 Bedrms, Cost #10",Domestic R&D performance costs for basic research,35.7%,EXPS_RD_US_BASIC_VAL
1621,COST7U3B2INT0,B_RDCOST_DOM_BASIC,"Initial Interview, Coop, 2 Bedrms, Cost #7",Domestic R&D performance costs for basic research,35.7%,EXPS_RD_US_BASIC_VAL
1622,COST2U3B2INT1,B_RDCOST_DOM_BASIC,"First Interview, Coop, 2 Bedrms, Cost #2",Domestic R&D performance costs for basic research,35.7%,EXPS_RD_US_BASIC_VAL
1623,COST5U3B2INT0,B_RDCOST_DOM_BASIC,"Initial Interview, Coop, 2 Bedrms, Cost #5",Domestic R&D performance costs for basic research,35.7%,EXPS_RD_US_BASIC_VAL
1624,COST3U3B2INT0,B_RDCOST_DOM_BASIC,"Initial Interview, Coop, 2 Bedrms, Cost #3",Domestic R&D performance costs for basic research,35.7%,EXPS_RD_US_BASIC_VAL
1625,CLASS_DRYCLEAN,B_CONTRACTOUT,True if drycleaning work (other than finish work) done at this location.,Yes/No if business contracted out manufacturing tasks,35.7%,MAN_CONTRACTOUT_STAT
1626,EMP_MAR12_DENTIST,B_EMPNUM_RDFTE_TOTAL,"Employment By Occupation, Dentists - having D.M.D., D.D.S., or D.D.Sc. degree and other dental practitioners_x000D_
(Include hygienists, assistants, and others performing or assisting with dental procedures.)",Full-time equivalent of the R&D employees,35.7%,EMP_FTE_RD_NUM
1627,COST2U3B3INT1,B_RDCOST_DOM_BASIC,"First Interview, Coop, 3 Bedrms, Cost #2",Domestic R&D performance costs for basic research,35.7%,EXPS_RD_US_BASIC_VAL
1628,COST1U3B0INT3,B_RDCOST_DOM_BASIC,"Third Interview, Coop, 0 Bedrms, Cost #1",Domestic R&D performance costs for basic research,35.7%,EXPS_RD_US_BASIC_VAL
1629,CLNC_SEE_PERF_PATNT,PERFBONUSM,Measures of Clinical Performance - Who sees your organization's measures of clinical performance - Patients and their responsible parties?,What were managers’ performance bonuses usually based on at this company,35.7%,EMP_MNG_BONUS_CODE
1630,WATER_USE,B_WORKHOME_PCT_FIVE ,"What was this establishment’s gross water use, that is, the quantity of water that would have been required if no water had been recirculated or reused?",Percent of workers that worked from home five or more days per weTotal percent entered from work from home questionsek,35.6%,WORK_HOME_FIVE_PCT
1631,COST5U3B0INT1,B_RDCOST_DOM_BASIC,"First Interview, Coop, 0 Bedrms, Cost #5",Domestic R&D performance costs for basic research,35.6%,EXPS_RD_US_BASIC_VAL
1632,COST11U3B0INT3,B_RDCOST_DOM_BASIC,"Third Interview, Coop, 0 Bedrms, Cost #11",Domestic R&D performance costs for basic research,35.6%,EXPS_RD_US_BASIC_VAL
1633,COST4U3B0INT3,B_RDCOST_DOM_BASIC,"Third Interview, Coop, 0 Bedrms, Cost #4",Domestic R&D performance costs for basic research,35.6%,EXPS_RD_US_BASIC_VAL
1634,COST2U3B1INT3,B_RDCOST_DOM_BASIC,"Third Interview, Coop, 1 Bedrms, Cost #2",Domestic R&D performance costs for basic research,35.6%,EXPS_RD_US_BASIC_VAL
1635,COST3U3B0INT1,B_RDCOST_DOM_BASIC,"First Interview, Coop, 0 Bedrms, Cost #3",Domestic R&D performance costs for basic research,35.6%,EXPS_RD_US_BASIC_VAL
1636,PROD_QTYPRD_AUG_OUT_W,B_SALES_TOT_US,"The total amount  of charges for auger, culm bank, silt bank, or dredge mined by outside contractor ","Amount of sales, revenue, and grants from domestic operations",35.6%,SALES_US_TOT_VAL
1637,PAY_MINEWRK,B_EMPNUM_W2_TOTAL,Wages paid to workers at mine or pit,Total number of W2 paid employees and owners,35.6%,EMP_W2_TOT_DNUM
1638,COST_AUX_UTIL_OTH,B_EMPNUM_UNPAID,"Auxiliary establishments,  Water, sewer, refuse removal, and other utility payments",Number of individuals who did work for the business but were unpaid,35.6%,EMP_UNPAID_NUM
1639,INCOM_UNIT_CRED_MERFE_PCT,B_RDFUND_US_THISBUS,"Credit Card Products,  Merchant fees",Domestic R&D costs paid by this business,35.6%,FUNDS_RD_US_OWN_VAL
1640,MINIMILL,B_ACTIVITYUC_LOG ,Was this establishment considered a mini-mill?,Yes/No if domestic unaffiliated companies conducted distribution and logistics for this business,35.5%,UNAFFIL_US_LOGISTICS_STAT
1641,PERMIT_DATE,B_CEASED_MONTH,Date permit was issued,Month the business ceased operation,35.5%,OPSTAT_CEASED_MONTH_DATE
1642,COST10U3B2INT0,B_RDCOST_DOM_BASIC,"Initial Interview, Coop, 2 Bedrms, Cost #10",Domestic R&D performance costs for basic research,35.5%,EXPS_RD_US_BASIC_VAL
1643,COST10U3B3INT0,B_RDCOST_DOM_BASIC,"Initial Interview, Coop, 3 Bedrms, Cost #10",Domestic R&D performance costs for basic research,35.5%,EXPS_RD_US_BASIC_VAL
1644,COST7U3B3INT0,B_RDCOST_DOM_BASIC,"Initial Interview, Coop, 3 Bedrms, Cost #7",Domestic R&D performance costs for basic research,35.5%,EXPS_RD_US_BASIC_VAL
1645,COST12U3B1INT0,B_RDCOST_DOM_BASIC,"Initial Interview, Coop, 1 Bedrms, Cost #12",Domestic R&D performance costs for basic research,35.5%,EXPS_RD_US_BASIC_VAL
1646,NUM_FLOORS,B_OWNERNUM,Number of floors in building,Number of owners of the business,35.5%,OWNER_NUM_STAT
1647,COST2U3B0INT2,B_RDCOST_DOM_BASIC,"Second Interview, Coop, 0 Bedrms, Cost #2",Domestic R&D performance costs for basic research,35.5%,EXPS_RD_US_BASIC_VAL
1648,COST3U3B3INT0,B_RDCOST_DOM_BASIC,"Initial Interview, Coop, 3 Bedrms, Cost #3",Domestic R&D performance costs for basic research,35.5%,EXPS_RD_US_BASIC_VAL
1649,PROD_QTYPRD_UND_OUT_W,B_RDEXP_DOM_EQUIPMT,The total amount  of charges for underground mining by outside contractor,Amount of domestic R&D costs going to expensed machinery and equipment,35.5%,EXPS_RD_DOM_EQUIP_VAL
1650,COST6U3B0INT3,B_RDCOST_DOM_BASIC,"Third Interview, Coop, 0 Bedrms, Cost #6",Domestic R&D performance costs for basic research,35.5%,EXPS_RD_US_BASIC_VAL
1651,COST2U4B3INT0,CPSTR,"Initial Interview, Condo, 3 Bedrms, Cost #2",Total capital expenditures for research operations that went towards buildings and land improvement,35.4%,CAPEX_RSRCH_BUILD_VAL
1652,COST5U3B3INT0,B_RDCOST_DOM_BASIC,"Initial Interview, Coop, 3 Bedrms, Cost #5",Domestic R&D performance costs for basic research,35.4%,EXPS_RD_US_BASIC_VAL
1653,COST2U4B1INT0,CPSTR,"Initial Interview, Condo, 1 Bedrms, Cost #2",Total capital expenditures for research operations that went towards buildings and land improvement,35.4%,CAPEX_RSRCH_BUILD_VAL
1654,BEDNONEU2,RDALE,Total Efficiencies for Type 2,Total number of full-time equivalents working on research activities,35.4%,EMP_FTE_RSRCH_TOT_DNUM
1655,DIRECT_PREM_MEDPC_INS,B_RDFUND_US_THISBUS,"Direct Premiums Earned,  Medical malpractice insurance",Domestic R&D costs paid by this business,35.4%,FUNDS_RD_US_OWN_VAL
1656,WATER_INTAKE,B_INNOV_GOODS,"What was this establishment’s water intake, that is, the quantity of new water introduced into the establishment for the first time, regardless of source or quality",Whether the business introduced new or improved goods,35.4%,NEW_IMPROVE_GOODS_STAT
1657,INV_E_MAT_VAL,B_COOP,"Inventories: materials, EOY","Suppliers of equipment, materials, components, or software outside your business group ",35.4%,COOP_PARTNER_LOC_CHKBOX
1658,RCPT_FOOD_CNTRC_OTH_WRTIN,B_DESIGNOUT ,"Contract Feeding,  Other write-in description",Yes/No if business provided design for goods that were contracted out,35.4%,MAN_DESIGNOUT_STAT
1659,RCPT_C_ST_IN,B_CONTRACTOUT_TYPE,"Construction Work by State,  Indiana",Type of companies that manufacturing was contracted out to ,35.4%,MAN_CONTRACTOUT_CHKBOX
1660,MAIL_ADDR_ZIP_NUM,RESP_EMAIL  ,Company Mailing Address: ZIP Code,Contact Information: Email,35.4%,CERT_EMAIL_TXT
1661,RCPT_C_ST_NV,B_CONTRACTOUT_TYPE,"Construction Work by State,  Nevada",Type of companies that manufacturing was contracted out to ,35.4%,MAN_CONTRACTOUT_CHKBOX
1662,EXPS_BENPAY_LIFE_VAL,O1_REASON_BALANCE,Benefits Paid (losses): Life,Reason for owning business: Balancing work and family,35.4%,OWNING_REASON_BALANCE_CODE
1663,SSCID,B_OWNERNUM,Control Number - Sponsoring division control number used for tracking purposes.,Number of owners of the business,35.4%,OWNER_NUM_STAT
1664,PGM_TYPE5,B_RDFED_TOTAL,Fifth Subsidy Program,Total federally funded R&D costs,35.4%,FED_RD_TOT_DVAL
1665,COST6U4B1INT0,B_RDEXP_DOM_EMPL,"Initial Interview, Condo, 1 Bedrms, Cost #6","Amount of domestic R&D costs going to salaries, wages, and benefits",35.3%,EXPS_RD_DOM_EMP_VAL
1666,RECORD_STORENUM_TXT,B_OWNERNUM,Store number,Number of owners of the business,35.3%,OWNER_NUM_STAT
1667,COST12U3B0INT1,B_RDCOST_DOM_BASIC,"First Interview, Coop, 0 Bedrms, Cost #12",Domestic R&D performance costs for basic research,35.3%,EXPS_RD_US_BASIC_VAL
1668,COST6U4B2INT0,B_RDEXP_DOM_EMPL,"Initial Interview, Condo, 2 Bedrms, Cost #6","Amount of domestic R&D costs going to salaries, wages, and benefits",35.3%,EXPS_RD_DOM_EMP_VAL
1669,RCPT_NEWPT_SSBNFTS_VAL,B_RDEXP_DOM_EMPL,Net patient revenues from social security benefits,"Amount of domestic R&D costs going to salaries, wages, and benefits",35.3%,EXPS_RD_DOM_EMP_VAL
1670,AGER,O1_AGE ,Age restricted (SOC Data),Age of first owner,35.3%,OWNER_AGE_CODE
1671,PRCH_AUX_TRANS,RESP_BUS_DESC,"Auxiliary establishment, Purchased transportation",Primary business activity,35.3%,NAICS_DESC_TXT
1672,RESPPHONE,"RESP_PHONE_AREA_CODE
RESP_PHONE_PREFIX, RESP_PHONE_SUFFIX, ",Agent phone,Contact Information: Phone,35.3%,CERT_PHONE_NUM
1673,PGM_TYPE3,B_IMPROCESS_MAN ,Third Subsidy Program,Whether the business introduced new or improved methods for producing goods or providing services,35.3%,IMPROCESS_MAN_STAT
1674,COST4U3B1INT1,B_RDCOST_DOM_BASIC,"First Interview, Coop, 1 Bedrms, Cost #4",Domestic R&D performance costs for basic research,35.3%,EXPS_RD_US_BASIC_VAL
1675,COST11U3B0INT4,B_RDCOST_DOM_BASIC,"Fourth Interview, Coop, 0 Bedrms, Cost #11",Domestic R&D performance costs for basic research,35.2%,EXPS_RD_US_BASIC_VAL
1676,BED3,B_OWNERNUM,"Number of total 3 bedrooms for indicated type of unit (Unfurnished, Furnished, Co-op, or Condo)",Number of owners of the business,35.2%,OWNER_NUM_STAT
1677,COST9U3B0INT3,B_RDCOST_DOM_BASIC,"Third Interview, Coop, 0 Bedrms, Cost #9",Domestic R&D performance costs for basic research,35.2%,EXPS_RD_US_BASIC_VAL
1678,COST6U3B1INT1,B_RDCOST_DOM_BASIC,"First Interview, Coop, 1 Bedrms, Cost #6",Domestic R&D performance costs for basic research,35.2%,EXPS_RD_US_BASIC_VAL
1679,BED1,B_OWNERNUM,"Number of total 1 bedrooms for indicated type of unit (Unfurnished, Furnished, Co-op, or Condo)",Number of owners of the business,35.2%,OWNER_NUM_STAT
1680,COST2U4B2INT0,CPSTR,"Initial Interview, Condo, 2 Bedrms, Cost #2",Total capital expenditures for research operations that went towards buildings and land improvement,35.2%,CAPEX_RSRCH_BUILD_VAL
1681,COST10U3B0INT1,B_RDCOST_DOM_BASIC,"First Interview, Coop, 0 Bedrms, Cost #10",Domestic R&D performance costs for basic research,35.2%,EXPS_RD_US_BASIC_VAL
1682,COST4U3B0INT2,B_RDCOST_DOM_BASIC,"Second Interview, Coop, 0 Bedrms, Cost #4",Domestic R&D performance costs for basic research,35.2%,EXPS_RD_US_BASIC_VAL
1683,COST12U3B2INT0,B_RDCOST_DOM_BASIC,"Initial Interview, Coop, 2 Bedrms, Cost #12",Domestic R&D performance costs for basic research,35.2%,EXPS_RD_US_BASIC_VAL
1684,COST12U3B3INT0,B_RDCOST_DOM_BASIC,"Initial Interview, Coop, 3 Bedrms, Cost #12",Domestic R&D performance costs for basic research,35.2%,EXPS_RD_US_BASIC_VAL
1685,COST1U3B2INT1,B_RDCOST_DOM_BASIC,"First Interview, Coop, 2 Bedrms, Cost #1",Domestic R&D performance costs for basic research,35.2%,EXPS_RD_US_BASIC_VAL
1686,TAX_EXEMPT_STAT,O1_OWNER_DISABLE,Tax Status: Exempt Income Status,Disability status of the first owner,35.2%,OWNER_DISABILITY_CODE
1687,CLASS_LAUNDRY,B_CONTRACTOUT,True if laundry work (other than finish work) is done at this location; false otherwise.,Yes/No if business contracted out manufacturing tasks,35.2%,MAN_CONTRACTOUT_STAT
1688,COST7U3B0INT3,B_RDCOST_DOM_BASIC,"Third Interview, Coop, 0 Bedrms, Cost #7",Domestic R&D performance costs for basic research,35.2%,EXPS_RD_US_BASIC_VAL
1689,COST1U3B1INT1,B_RDCOST_DOM_BASIC,"First Interview, Coop, 1 Bedrms, Cost #1",Domestic R&D performance costs for basic research,35.2%,EXPS_RD_US_BASIC_VAL
1690,AFFIL_SPL_ADDR_STREET,"
RESP_TITLE   ","Added child establishment,  Street Address",Contact Information: Title,35.1%,CERT_TITLE_TXT
1691,RCPT_COMSN_GSV_VAL,B_RDFUND_US_THISBUS,Commissions and Fees: Selling Value,Domestic R&D costs paid by this business,35.1%,FUNDS_RD_US_OWN_VAL
1692,COST6U3B2INT1,B_RDCOST_DOM_BASIC,"First Interview, Coop, 2 Bedrms, Cost #6",Domestic R&D performance costs for basic research,35.1%,EXPS_RD_US_BASIC_VAL
1693,ENT_ID,AFFILWI ,BR ID for the sampled company. MU = EMPUNIT_ID of the parent enterprise. SU= EMPUNIT_ID of the establishment.,Details on affiliated organization ,35.1%,AFFIL_ORG_TXT
1694,RCPT_C_ST_KS,B_CONTRACTOUT_TYPE,"Construction Work by State,  Kansas",Type of companies that manufacturing was contracted out to ,35.1%,MAN_CONTRACTOUT_CHKBOX
1695,COST4U3B2INT1,B_RDCOST_DOM_BASIC,"First Interview, Coop, 2 Bedrms, Cost #4",Domestic R&D performance costs for basic research,35.1%,EXPS_RD_US_BASIC_VAL
1696,COST8U3B0INT0,B_RDCOST_DOM_BASIC,"Initial Interview, Coop, 0 Bedrms, Cost #8",Domestic R&D performance costs for basic research,35.1%,EXPS_RD_US_BASIC_VAL
1697,COST1U3B0INT2,B_RDCOST_DOM_BASIC,"Second Interview, Coop, 0 Bedrms, Cost #1",Domestic R&D performance costs for basic research,35.1%,EXPS_RD_US_BASIC_VAL
1698,HOUSE_SNGL_DETACH_SALE,B_OWNERNUM,"Houses built for sale on land you owned,  Number of Detached (free standing single-family homes)",Number of owners of the business,35.1%,OWNER_NUM_STAT
1699,COST6U3B0INT2,B_RDCOST_DOM_BASIC,"Second Interview, Coop, 0 Bedrms, Cost #6",Domestic R&D performance costs for basic research,35.0%,EXPS_RD_US_BASIC_VAL
1700,COST6U3B0INT4,B_RDCOST_DOM_BASIC,"Fourth Interview, Coop, 0 Bedrms, Cost #6",Domestic R&D performance costs for basic research,35.0%,EXPS_RD_US_BASIC_VAL
1701,COST1U3B1INT3,B_RDCOST_DOM_BASIC,"Third Interview, Coop, 1 Bedrms, Cost #1",Domestic R&D performance costs for basic research,35.0%,EXPS_RD_US_BASIC_VAL
1702,COST3U3B0INT3,B_RDCOST_DOM_BASIC,"Third Interview, Coop, 0 Bedrms, Cost #3",Domestic R&D performance costs for basic research,35.0%,EXPS_RD_US_BASIC_VAL
1703,CERT_DATE_COMPLETED,B_CEASED_MONTH,"Certification, Calendar date survey was completed",Month the business ceased operation,35.0%,OPSTAT_CEASED_MONTH_DATE
1704,COST6U2B1INT0,B_RDEXP_DOM_MATERIALS,"Initial Interview, Furnished, 1 Bedrms, Cost #6",Amount of domestic R&D costs going to materials and supplies,35.0%,EXPS_RD_DOM_MAT_VAL
1705,RESPTYPE,O4_NAME_TITLE,"Respondent Type  _x000D_
1 = Builder_x000D_
2 = Owner_x000D_
3 = Site Visit_x000D_
4 = Agent",Name of fourth owner,35.0%,OWNER4_NAME
1706,COST9U3B1INT1,B_RDCOST_DOM_BASIC,"First Interview, Coop, 1 Bedrms, Cost #9",Domestic R&D performance costs for basic research,35.0%,EXPS_RD_US_BASIC_VAL
1707,BLDG_TYPE4,O4_PCT_OWNED ,Fourth Type of Units in Building,Percent owned by fourth owner,35.0%,OWNER4_PCT
1708,PAT_CARE_VISIT_PCT,B_FREQCSM,"Patient Care, Visits and consultations - evaluation and management services",How frequently customer satisfaction is monitored by this business,35.0%,CUST_SATISFACT_FREQ_CODE
1709,BLDR_BEST,RESP_EMAIL  ,Best time to contact builder,Contact Information: Email,34.9%,CERT_EMAIL_TXT
1710,COST2U3B1INT4,B_RDCOST_DOM_BASIC,"Fourth Interview, Coop, 1 Bedrms, Cost #2",Domestic R&D performance costs for basic research,34.9%,EXPS_RD_US_BASIC_VAL
1711,COST_AUX_ELEC,B_DESIGNOUT ,"Auxiliary establishments,  Purchased electricity",Yes/No if business provided design for goods that were contracted out,34.9%,MAN_DESIGNOUT_STAT
1712,COST7U4B2INT0,B_RDEXP_DOM_EMPL,"Initial Interview, Condo, 2 Bedrms, Cost #7","Amount of domestic R&D costs going to salaries, wages, and benefits",34.9%,EXPS_RD_DOM_EMP_VAL
1713,COST6U2B3INT0,B_RDEXP_DOM_MATERIALS,"Initial Interview, Furnished, 3 Bedrms, Cost #6",Amount of domestic R&D costs going to materials and supplies,34.9%,EXPS_RD_DOM_MAT_VAL
1714,COST5U3B0INT3,B_RDCOST_DOM_BASIC,"Third Interview, Coop, 0 Bedrms, Cost #5",Domestic R&D performance costs for basic research,34.9%,EXPS_RD_US_BASIC_VAL
1715,COST6U2B2INT0,B_RDEXP_DOM_MATERIALS,"Initial Interview, Furnished, 2 Bedrms, Cost #6",Amount of domestic R&D costs going to materials and supplies,34.9%,EXPS_RD_DOM_MAT_VAL
1716,COST9U3B2INT1,B_RDCOST_DOM_BASIC,"First Interview, Coop, 2 Bedrms, Cost #9",Domestic R&D performance costs for basic research,34.9%,EXPS_RD_US_BASIC_VAL
1717,RETAIN_EARN_END_VAL,FYEND_MONTH,Retained earnings at end of quarter,Month that fiscal year ends ,34.9%,FY_END_DATE
1718,COST4U3B1INT3,B_RDCOST_DOM_BASIC,"Third Interview, Coop, 1 Bedrms, Cost #4",Domestic R&D performance costs for basic research,34.9%,EXPS_RD_US_BASIC_VAL
1719,COST7U4B1INT0,B_RDEXP_DOM_EMPL,"Initial Interview, Condo, 1 Bedrms, Cost #7","Amount of domestic R&D costs going to salaries, wages, and benefits",34.9%,EXPS_RD_DOM_EMP_VAL
1720,COST11U3B0INT2,B_RDCOST_DOM_BASIC,"Second Interview, Coop, 0 Bedrms, Cost #11",Domestic R&D performance costs for basic research,34.9%,EXPS_RD_US_BASIC_VAL
1721,COST1U3B0INT4,B_RDCOST_DOM_BASIC,"Fourth Interview, Coop, 0 Bedrms, Cost #1",Domestic R&D performance costs for basic research,34.8%,EXPS_RD_US_BASIC_VAL
1722,COST7U3B1INT1,B_RDCOST_DOM_BASIC,"First Interview, Coop, 1 Bedrms, Cost #7",Domestic R&D performance costs for basic research,34.8%,EXPS_RD_US_BASIC_VAL
1723,COST11U3B1INT1,B_RDCOST_DOM_BASIC,"First Interview, Coop, 1 Bedrms, Cost #11",Domestic R&D performance costs for basic research,34.8%,EXPS_RD_US_BASIC_VAL
1724,COST5U3B1INT1,B_RDCOST_DOM_BASIC,"First Interview, Coop, 1 Bedrms, Cost #5",Domestic R&D performance costs for basic research,34.8%,EXPS_RD_US_BASIC_VAL
1725,COST6U4B3INT0,B_RDEXP_DOM_EMPL,"Initial Interview, Condo, 3 Bedrms, Cost #6","Amount of domestic R&D costs going to salaries, wages, and benefits",34.8%,EXPS_RD_DOM_EMP_VAL
1726,COST3U4B2INT0,CPSTR,"Initial Interview, Condo, 2 Bedrms, Cost #3",Total capital expenditures for research operations that went towards buildings and land improvement,34.8%,CAPEX_RSRCH_BUILD_VAL
1727,EXPS_FUEL_VAL,O1_OTH_BUS,Purchased Fuels (Except Motor Fuels),"Status of the previous business, other than this one, that the first owner started",34.8%,PREV_BUS_OWN_CODE
1728,PROD_QTYPRD_PEAT_NONE,NPRDFIELDWI,"None for the question: If MINE_HERE = 1, report the quantity of peat mined and/or beneficiated at this mine or pit",Additional detail or clarification for question response,34.8%,EXPS_RSRCH_FLD_TOT_TXT
1729,PRCH_TRANS_COST_RAIL,O1_ACQ_BUS_YR,"Purchased Transportation,  Railroad",Year that the first owner initially acquired this business,34.8%,OWNER_ACQ_YEAR
1730,RCPT_C_ST_CA,B_CONTRACTOUT_TYPE,"Construction Work by State,  California",Type of companies that manufacturing was contracted out to ,34.8%,MAN_CONTRACTOUT_CHKBOX
1731,CLASS_FISHCAN,B_CONTRACTIN_TYPE ,"Class of Customer,  Fish canning manufacturers",Types of companies that this business performed manufacturing for,34.8%,MAN_CONTRACTIN_CHKBOX
1732,RCPT_MOTR_GRAIN_PCT,B_CONTRACTIN_TYPE ,"Analysis of Motor Carrier Operations: Grains, alcohol, and tobacco products",Types of companies that this business performed manufacturing for,34.8%,MAN_CONTRACTIN_CHKBOX
1733,COST12U3B0INT3,B_RDCOST_DOM_BASIC,"Third Interview, Coop, 0 Bedrms, Cost #12",Domestic R&D performance costs for basic research,34.8%,EXPS_RD_US_BASIC_VAL
1734,AFFIL_SPL_STORENUM,"RESP_PHONE_AREA_CODE
RESP_PHONE_PREFIX, RESP_PHONE_SUFFIX, ","Added child establishment,   Store number",Contact Information: Phone,34.7%,CERT_PHONE_NUM
1735,COST9U3B0INT4,B_RDCOST_DOM_BASIC,"Fourth Interview, Coop, 0 Bedrms, Cost #9",Domestic R&D performance costs for basic research,34.7%,EXPS_RD_US_BASIC_VAL
1736,COST5U3B2INT1,B_RDCOST_DOM_BASIC,"First Interview, Coop, 2 Bedrms, Cost #5",Domestic R&D performance costs for basic research,34.7%,EXPS_RD_US_BASIC_VAL
1737,COST3U4B3INT0,CPSTR,"Initial Interview, Condo, 3 Bedrms, Cost #3",Total capital expenditures for research operations that went towards buildings and land improvement,34.7%,CAPEX_RSRCH_BUILD_VAL
1738,COST8U3B1INT0,B_RDCOST_DOM_BASIC,"Initial Interview, Coop, 1 Bedrms, Cost #8",Domestic R&D performance costs for basic research,34.7%,EXPS_RD_US_BASIC_VAL
1739,AFFIL_SPL_ADDR_CITY,B_INNOV_SERV,"Added child establishment,  City, town, village etc.",Whether the business introduced new or improved services,34.7%,NEW_IMPROVE_SERVICES_STAT
1740,COST1U3B3INT1,B_RDCOST_DOM_BASIC,"First Interview, Coop, 3 Bedrms, Cost #1",Domestic R&D performance costs for basic research,34.7%,EXPS_RD_US_BASIC_VAL
1741,COST7U3B0INT4,B_RDCOST_DOM_BASIC,"Fourth Interview, Coop, 0 Bedrms, Cost #7",Domestic R&D performance costs for basic research,34.7%,EXPS_RD_US_BASIC_VAL
1742,COST3U3B0INT2,B_RDCOST_DOM_BASIC,"Second Interview, Coop, 0 Bedrms, Cost #3",Domestic R&D performance costs for basic research,34.7%,EXPS_RD_US_BASIC_VAL
1743,COST3U4B1INT0,CPSTR,"Initial Interview, Condo, 1 Bedrms, Cost #3",Total capital expenditures for research operations that went towards buildings and land improvement,34.7%,CAPEX_RSRCH_BUILD_VAL
1744,COST2U3B1INT2,B_RDCOST_DOM_BASIC,"Second Interview, Coop, 1 Bedrms, Cost #2",Domestic R&D performance costs for basic research,34.7%,EXPS_RD_US_BASIC_VAL
1745,COST2U3B2INT3,B_RDCOST_DOM_BASIC,"Third Interview, Coop, 2 Bedrms, Cost #2",Domestic R&D performance costs for basic research,34.7%,EXPS_RD_US_BASIC_VAL
1746,RCPT_C_ST_SC,B_CONTRACTOUT_TYPE,"Construction Work by State,  South Carolina",Type of companies that manufacturing was contracted out to ,34.7%,MAN_CONTRACTOUT_CHKBOX
1747,MARKETING_W_TXT,RESP_EMAIL  ,Email campaign Welcome variable,Contact Information: Email,34.7%,CERT_EMAIL_TXT
1748,EXPS_BROADCAST_VAL,B_IP_COPYRIGHT ,Broadcast Rights and Music License Fees,Yes/No if business protects IP with copyright,34.7%,INTELL_PROP_COPY_STAT
1749,EXPS_PRINT_VAL,B_INNOV_SERV,Purchased Printing Services,Whether the business introduced new or improved services,34.7%,NEW_IMPROVE_SERVICES_STAT
1750,EXPS_BENEFIT_ACCDNT_REINS,O1_OWNER_DISABLE,"Benefits Paid, Accident reinsurance",Disability status of the first owner,34.7%,OWNER_DISABILITY_CODE
1751,COST6U4B0INT0,B_RDEXP_DOM_EMPL,"Initial Interview, Condo, 0 Bedrms, Cost #6","Amount of domestic R&D costs going to salaries, wages, and benefits",34.6%,EXPS_RD_DOM_EMP_VAL
1752,COST6U3B1INT3,B_RDCOST_DOM_BASIC,"Third Interview, Coop, 1 Bedrms, Cost #6",Domestic R&D performance costs for basic research,34.6%,EXPS_RD_US_BASIC_VAL
1753,COST12U2B3INT0,B_RDEXP_DOM_MATERIALS,"Initial Interview, Furnished, 3 Bedrms, Cost #12",Amount of domestic R&D costs going to materials and supplies,34.6%,EXPS_RD_DOM_MAT_VAL
1754,COST11U3B2INT1,B_RDCOST_DOM_BASIC,"First Interview, Coop, 2 Bedrms, Cost #11",Domestic R&D performance costs for basic research,34.6%,EXPS_RD_US_BASIC_VAL
1755,COST7U4B3INT0,B_RDEXP_DOM_EMPL,"Initial Interview, Condo, 3 Bedrms, Cost #7","Amount of domestic R&D costs going to salaries, wages, and benefits",34.6%,EXPS_RD_DOM_EMP_VAL
1756,COST7U3B2INT1,B_RDCOST_DOM_BASIC,"First Interview, Coop, 2 Bedrms, Cost #7",Domestic R&D performance costs for basic research,34.6%,EXPS_RD_US_BASIC_VAL
1757,COST9U3B0INT2,B_RDCOST_DOM_BASIC,"Second Interview, Coop, 0 Bedrms, Cost #9",Domestic R&D performance costs for basic research,34.6%,EXPS_RD_US_BASIC_VAL
1758,COST4U3B3INT1,B_RDCOST_DOM_BASIC,"First Interview, Coop, 3 Bedrms, Cost #4",Domestic R&D performance costs for basic research,34.6%,EXPS_RD_US_BASIC_VAL
1759,COST6U3B3INT1,B_RDCOST_DOM_BASIC,"First Interview, Coop, 3 Bedrms, Cost #6",Domestic R&D performance costs for basic research,34.6%,EXPS_RD_US_BASIC_VAL
1760,INV_E_LIFO_NET_VAL,CPEQP,Total Inventories After LIFO Adjustment,Total capital expenditures for research operations that went towards equipment,34.6%,CAPEX_RSRCH_EQUIP_VAL
