,MDR's Variable,Variable Source,MDR's Description,Source's Description,similarity_score,Cosine Score,Jaccard Score,Actual MDR's Variable
1198,TOTU4INT2,O2_PCT_OWNED,"Total Condo Units, Second Intv",Percent owned by second owner,38.12%,42.64%,12.50%,OWNER2_PCT
1199,PRCH_OTHEXPS_WRTIN,B_NEWCUSTSTART_REASON,"All other purchased services, write-in description",Why this new/customized product or service was developed,38.11%,44.84%,0.00%,NEW_CUST_PROD_START_REASON_STAT
1200,INCOM_LEAS_XAUTO_TOT_PCT,B_SALES_PCT_SERVICE,"Finance leasing services, except automobile and light-duty truck leasing services, Total","Percent of domestic sales, revenues, and grants coming from selling services to customers",38.10%,43.64%,6.67%,SALES_SERVICE_PCT
1201,RCPT_FOOD_IMMCNSUM_GT50_YES_ARCHIVE,B_IMPROCESS_MAN ,"Were more than half of the total sales and receipts of this establishment derived from the sale of prepared food, including refreshments, for immediate consumption?",Whether the business introduced new or improved methods for producing goods or providing services,38.07%,44.79%,0.00%,IMPROCESS_MAN_STAT
1202,MAIL_ADDR_CITY_TXT ,"
RESP_TITLE   ",Company Mailing Address: City,Contact Information: Title,38.04%,44.75%,0.00%,CERT_TITLE_TXT
1203,RCPT_PRDSHIP_FED,B_SALES_TOT_US,"Value of product shipped by customer in Puerto Rico,  Federal government","Amount of sales, revenue, and grants from domestic operations",38.01%,44.71%,0.00%,SALES_US_TOT_VAL
1204,PAY_QTR1_OTHWRK_M_PY,B_EMPNUM_UNPAID,Prior Year First Quarter Payroll for Non-Production Workers,Number of individuals who did work for the business but were unpaid,37.99%,44.70%,0.00%,EMP_UNPAID_NUM
1205,RCPT_MOTR_FUEL_DVAL,B_OPEXPENSE ,Coal and Petroleum Products motor carrier revenue,Total domestic operating expenses,37.97%,44.67%,0.00%,EXPS_TOT_VAL
1206,EXPS_PRINT_VAL,B_CONTRACTIN_TYPE ,Purchased Printing Services,Types of companies that this business performed manufacturing for,37.97%,44.67%,0.00%,MAN_CONTRACTIN_CHKBOX
1207,INV_VAL_LIFO_END,B_CAPEXP_TOTAL,"Inventories by Valuation Method, Last-in, First-Out (LIFO), End of Year",Amount of capital expenditures,37.97%,44.67%,0.00%,CAPEX_TOT_VAL
1208,JOINT_COMPANY_ADDR_ZIP_1,B_OWNERNUM,Investors: ZIP Code of Company Investor 1,Number of owners of the business,37.93%,44.62%,0.00%,OWNER_NUM_STAT
1209,CLASS_FISHCAN,B_COOP,"Class of Customer,  Fish canning manufacturers",Companies that are the clients or customers outside the business group,37.92%,44.62%,0.00%,COOP_PARTNER_LOC_CHKBOX
1210,RCPT_ADMSNS_PCT,B_COOP,"Admissions to events, theater, games, etc.",Universities or other higher education institutions ,37.91%,44.60%,0.00%,COOP_PARTNER_LOC_CHKBOX
1211,PAY_ANN_LSD_PROF,WZTEMP,Leased Annual Payroll from Professional Clients,Amount of internal research funds allocated to contract employees ,37.91%,44.60%,0.00%,EXPS_RSRCH_CONTRACT_VAL
1212,INV_B_NL_TOT_DVAL,TCPEX,Inventory Valuation Methods: PY non-LIFO Total,Total capital expenditures,37.90%,42.62%,11.11%,CAPEX_TOT_VAL
1213,INCOM_LOAN_GOV_OTH_PCT,B_SALES_PCT_GOODS,"Loan Products Income, Loans to governments, Other Fees","Percent of domestic sales, revenues, and grants coming from selling goods to customers",37.89%,44.57%,0.00%,SALES_GOODS_PCT
1214,INCOM_LOAN_RESMOR_OTH_PCT,B_SALES_PCT_GRANT,"Loan Products Income, Residential mortgage loans, Other Fees","Percent of domestic sales, revenues, and grants coming from selling services to customers",37.88%,44.57%,0.00%,SALES_GRANT_PCT
1215,EXPS_BENEFIT_AH,B_RDEXP_DOM_EMPL,"Benefits Paid, Health insurance and hospital and medical service plans","Amount of domestic R&D costs going to salaries, wages, and benefits",37.87%,42.95%,9.09%,EXPS_RD_DOM_EMP_VAL
1216,PRCH_TRANS_COST_AIR,B_ACTIVITYUFC_LOG ,"Purchased Transportation,  Air carrier",Yes/No if foreign affiliated companies conducted distribution and logistics for this business,37.86%,44.54%,0.00%,AFFIL_NONUS_LOGSTC_STAT
1217,CAPCTY_PETR_REFCR_LT1K,B_IMPROCESS_LOG ,"Choices for: How much bulk petroleum storage tank capacity (excluding liquefied petroleum) did this establishment operate, both owned and leased, on the last business day of $$00?","Whether the business introduced new or improved methods for logistics, delivery or distribution methods",37.84%,43.67%,4.76%,IMPROCESS_LOG_STAT 
1218,EMP_MAR12_LSD_INFO_SERVICES,B_ACTIVITYUC_INFO ,Q1 LEASED EMPLOYMENT FOR INFO SERVICES CLIENTS,Yes/No if domestic unaffiliated companies conducted information and communication tech services for this business,37.84%,43.05%,8.33%,UNAFFIL_US_INFOTEC_STAT
1219,CARE,B_IMPROCESS_ADMIN ,Management provides assistance with personal care,Whether the business introduced new or improved methods for administration and management activities,37.83%,42.74%,10.00%,IMPROCESS_ADMIN_STAT
1220,RCPT_C_ST_NM,B_RDFUND_US_STLOC,"Construction Work by State,  New Mexico",Domestic R&D costs paid by U.S. state or local government,37.80%,42.71%,10.00%,FUNDS_RD_US_LOCGOV_VAL
1221,COST_CONTRACT_PY,B_DESIGNOUT ,Contract work done for you by others  Prior Year,Yes/No if business provided design for goods that were contracted out,37.79%,44.45%,0.00%,MAN_DESIGNOUT_STAT
1222,HOUSE_MULT_BUILD,B_OWNERNUM,"Multifamily homes started,  Number of Multifamily Buildings (apartment/condominium complexes)",Number of owners of the business,37.79%,42.49%,11.11%,OWNER_NUM_STAT
1223,CERT_CALYEAR,,"Certification, Is the time period covered by this report a calendar year?",Length of services of the current external audit firm,37.78%,44.45%,0.00%,AUD_EXTRN_SVCS_CODE
1224,RCPT_MOTR_OTH_DVAL,B_ACTIVITYUFC_LOG ,Other motor carrier revenue,Yes/No if foreign unaffiliated companies conducted distribution and logistics for this business,37.74%,44.41%,0.00%,UNAFFIL_NONUS_LOGSTC_STAT
1225,RCPT_NEWS_PUB_VAL,B_SALES_TOT_US,Total Newspaper Revenue,"Amount of sales, revenue, and grants from domestic operations",37.73%,41.86%,14.29%,SALES_US_TOT_VAL
1226,COST_AUX_ELEC,B_ACTIVITYUC_LOG ,"Auxiliary establishments,  Purchased electricity",Yes/No if domestic unaffiliated companies conducted distribution and logistics for this business,37.73%,44.39%,0.00%,UNAFFIL_US_LOGISTICS_STAT
1227,INV_VAL_LIFO_BGN,TCPEX,"Inventories by Valuation Method, Last-in, First-Out (LIFO), Beginnng of Year",Total capital expenditures,37.72%,44.38%,0.00%,CAPEX_TOT_VAL
1228,RCPT_PRDSHIP_CENTRAL,B_SALES_TOT_US,"Value of product shipped by customer location, Central America, South America, Carribbean Zone","Amount of sales, revenue, and grants from domestic operations",37.70%,44.36%,0.00%,SALES_US_TOT_VAL
1229,RCPT_PRDSHIP_W,B_ACTIVITYUFC_LOG ,"Value of product shipped by customer in Puerto Rico,  Wholesalers",Yes/No if foreign affiliated companies conducted distribution and logistics for this business,37.70%,44.36%,0.00%,AFFIL_NONUS_LOGSTC_STAT
1230,BENEFIT_PENSION_BEN,B_RDEXP_DOM_EMPL,Employer's Cost for defined benefit pension plans,"Amount of domestic R&D costs going to salaries, wages, and benefits",37.69%,44.34%,0.00%,EXPS_RD_DOM_EMP_VAL
1231,IA_PAPER_TYPOP_SELFDSG_46,"RESP_PHONE_AREA_CODE
RESP_PHONE_PREFIX, RESP_PHONE_SUFFIX, ",IA TYPOP Code - Manufacturers' representative or agent,Contact Information: Phone,37.67%,44.32%,0.00%,CERT_PHONE_NUM
1232,DIRECT_PREM_PRDPC_INS,B_RDFUND_US_THISBUS,"Direct Premiums Earned,  Product liability",Domestic R&D costs paid by this business,37.67%,44.32%,0.00%,FUNDS_RD_US_OWN_VAL
1233,RCPT_SVCSTA_VALUE,B_SALES_TOT_US,"Value of transfers to other company-owned gasoline stations, fuel oil dealers, and liquefied petroleum (LP) gas dealers","Amount of sales, revenue, and grants from domestic operations",37.67%,44.31%,0.00%,SALES_US_TOT_VAL
1234,RCPT_C_ST_DE,B_RDFUND_US_STLOC,"Construction Work by State,  Delaware",Domestic R&D costs paid by U.S. state or local government,37.66%,42.35%,11.11%,FUNDS_RD_US_LOCGOV_VAL
1235,INV_CY_FIFO_VAL,TCPEX,"Inventory Valuation Methods: CY, FIFO",Total capital expenditures,37.65%,44.29%,0.00%,CAPEX_TOT_VAL
1236,INCOM_UNIT_B_OR_D_TOT_PCT,B_CONTRACTIN_TYPE ,"Brokering and Dealing Products, Total Dealing and Brokering products",Types of companies that this business performed manufacturing for,37.65%,44.30%,0.00%,MAN_CONTRACTIN_CHKBOX
1237,RENT_MINPROP,CPSTR,Lease rents for mineral properties for this domestic reporting unit,Total capital expenditures for research operations that went towards buildings and land improvement,37.62%,44.25%,0.00%,CAPEX_RSRCH_BUILD_VAL
1238,SHOP_CENTER_YES_ARCHIVE,O1_ACQ_BUS_YR,Was this establishment physically located in a shopping center or mall?,Year that the first owner initially acquired this business,37.62%,44.26%,0.00%,OWNER_ACQ_YEAR
1239,PROP_MAR12_POD,AFFILWI ,"Proprietor or Partner by Occupation, Podiatric physicians - licensed practitioners having D.P.M. degree",Details on affiliated organization ,37.61%,44.25%,0.00%,AFFIL_ORG_TXT
1240,RCPT_CUST_LOCTEL_IND_DVAL,B_SALES_PCT_SERVICE,Household Fixed Local Telephony revenue,"Percent of domestic sales, revenues, and grants coming from selling services to customers",37.58%,44.22%,0.00%,SALES_SERVICE_PCT
1241,COMBINED_ID,RESP_REMARKS,SURVUNIT_ID of record that reported the combined data.,Remarks about reported data,37.57%,38.32%,33.33%,REMARKS_WRTIN_TXT
1242,PAY_ANN_LSD_HEALTH,WZWAGE,Leased Annual Payroll from Health care Clients,Amount of internal research funds allocated to payroll for internal employees,37.56%,42.43%,10.00%,EXPS_RSRCH_PAYROLL_VAL
1243,EXT_DATE,RESP_PHONE_EXT ,Survey Time Extension granted,Contact Information: Extension,37.55%,41.23%,16.67%,CERT_EXTENSION_NUM
1244,TOC_NEW_397,B_WORKHOME_PCT_ONE ,Percent of Construction Work for Building Construction New Construction,Percent of workers that worked from home one day per week ,37.55%,41.97%,12.50%,WORK_HOME_ONE_PCT
1245,RCPT_PAT_OUTPCKT_VAL,EXPNS,Net patient revenues from patient out-of-pocket from patients and their families V1,Amount of total expenses,37.55%,44.18%,0.00%,EXPS_TOT_VAL
1246,CLASS_FARM,B_COOP,"Class of Customer,  Farmers for use in farm production",Companies that are the clients or customers outside the business group,37.54%,44.16%,0.00%,COOP_PARTNER_LOC_CHKBOX
1247,INV_LIFO_RSV_END,B_CAPEXP_TOTAL,"Inventories, LIFO reserve,  End of Year",Amount of capital expenditures,37.53%,44.15%,0.00%,CAPEX_TOT_VAL
1248,PAY_ANN_LSD_ARTS,B_EMPNUM_UNPAID,Leased Annual Payroll for Arts and Entertainment Clients,Number of individuals who did work for the business but were unpaid,37.52%,44.14%,0.00%,EMP_UNPAID_NUM
1249,INV_E_STD_VAL,TCPEX,"Inventory Valuation Methods: CY, Standard Cost",Total capital expenditures,37.51%,44.13%,0.00%,CAPEX_TOT_VAL
1250,RCPT_ECOMM_NONMRCH_VAL,RESP_BUS_DESC,Electronic Commerce (e-commerce) - Other non-merchandise,Primary business activity,37.51%,44.13%,0.00%,NAICS_DESC_TXT
1251,RCPT_ADV_CLASS_PCT,B_SALES_PCT_SERVICE,Source of Advertising Revenue: Classified,"Percent of domestic sales, revenues, and grants coming from selling services to customers",37.51%,44.13%,0.00%,SALES_SERVICE_PCT
1252,PAY_FORGE,B_TYPS_WRKS,"Steel Mill Department Wages, Forging (presses, hammers, or upsetter), excluding manufacture of nuts, bolts, etc.",Types of workers that were used by the business,37.49%,44.10%,0.00%,WRKR_TYPE_CHKBOX
1253,GOVOWN_TYPE,B_COOP,What was the level of government operating or controlling this establishment?,"Clients or customers from the public sector: public sector includes government owned organizations such as local, regional and national administrations and agencies, schools, hospitals, and government providers of services such as security, transport, housing, energy, etc. ",37.47%,43.31%,4.35%,COOP_PARTNER_LOC_CHKBOX
1254,OPSTAT_START_DATE,B_CEASED_MONTH,Operational Status: Temporarily or seasonally inactive start,Month the business ceased operation,37.46%,44.08%,0.00%,OPSTAT_CEASED_MONTH_DATE
1255,INCOM_ACCT_CHANGES_VAL,TCPEX,"Cumulative effect of accounting changes, net of taxes",Total capital expenditures,37.45%,44.06%,0.00%,CAPEX_TOT_VAL
1256,FOOD_SVC_OTH_WRTIN,B_NEWCUSTSTART_REASON,"Food Services,  Other  Write-in description",Why this new/customized product or service was developed,37.43%,44.04%,0.00%,NEW_CUST_PROD_START_REASON_STAT
1257,RCPT_MOTR_USEDGD_PCT,B_IMPROCESS_LOG ,Analysis of Motor Carrier Operations: Used household and office good,"Whether the business introduced new or improved methods for logistics, delivery or distribution methods",37.43%,44.04%,0.00%,IMPROCESS_LOG_STAT 
1258,LIAB_SHORT_OTH_EX_CMPPR_VAL,B_CRDSRC,"Other short-term loans, excluding commercial paper",Other sources of credit not listed,37.43%,44.04%,0.00%,CREDIT_SOURCES_CHKBOX
1259,PAY_ROLL_OTH,B_TYPS_WRKS,"Steel Mill Department Wages, Other mills, including semifinishing, plate, and structural",Types of workers that were used by the business,37.42%,44.02%,0.00%,WRKR_TYPE_CHKBOX
1260,INCOM_LOAN_VEH_OTH_PCT,B_CRDSRC_OTHER_WIN,"Loan Products Income, Consumer vehicle loans, Other Fees",Write-in of what lenders the business applied for new credit with ,37.42%,44.02%,0.00%,CREDIT_SRCS_OTH_WRTIN_TXT
1261,INV_E_WIP_VAL,B_EXPCOST_EQUIP,"Inventories: work in process, EOY",R&D capital expenditures for equipment,37.40%,44.00%,0.00%,CAPEX_RD_OPS_EQUIP_VAL
1262,EXPS_BENEFIT_OTHLIFE,B_RDEXP_DOM_EMPL,"Benefits Paid, All other activities (i.e., property and casualty, including reinsurance, etc.)","Amount of domestic R&D costs going to salaries, wages, and benefits",37.38%,42.21%,10.00%,EXPS_RD_DOM_EMP_VAL
1263,RCPT_BOOK_ONLINE_DVAL,B_SALES_PCT_GRANT,online books revenue,"Percent of domestic sales, revenues, and grants coming from selling services to customers",37.38%,43.98%,0.00%,SALES_GRANT_PCT
1264,INV_B_FIN_VAL,TCPEX,"Inventories: Finished goods, Prior Year",Total capital expenditures,37.37%,43.96%,0.00%,CAPEX_TOT_VAL
1265,CHNGADD_ST,B_RDTAX_STATE,State,The state in which the business filed for a tax credit for increasing research activities,37.36%,41.02%,16.67%,RSRCH_TAXCRED_ST
1266,RCPT_C_ST_AK,B_RDFUND_US_STLOC,"Construction Work by State,  Alaska",Domestic R&D costs paid by U.S. state or local government,37.34%,41.97%,11.11%,FUNDS_RD_US_LOCGOV_VAL
1267,ORE_GOLD_SILVER,B_DIFF_TARGETS,"Quantity of Gold produced,  Silver",Amount of effort it took to meet production targets,37.32%,43.91%,0.00%,PROD_TARG_EFFORT_CODE
1268,INCOM_EXPS_NONRCR_DBCRD_TXT,B_CRDAMT,Nonrecurring items - principal debits and credits that contribute - Description,Total amount of credit that was requested and received ,37.31%,43.89%,0.00%,CREDIT_AMT_RECEIVED_STAT
1269,PAY_QTR1_PRDWRK_PY,WEMP,Prior Year First Quater Production Worker Payroll,Number of employees as of March 12th,37.29%,43.87%,0.00%,EMP_MAR12_NUM
1270,HOURS_ELEC,B_TYPS_WRKS,"Steel Mill Department Worker Hours,  Electric arc furnaces",Types of workers that were used by the business,37.28%,43.85%,0.00%,WRKR_TYPE_CHKBOX
1271,EMP_MAR12_OCCTHER,B_EMPTRAIN,"Employment By Occupation, Occupational therapists",The areas covered by employee training,37.27%,43.85%,0.00%,EMP_TRAIN_AREA_CHKBOX
1272,PAY_ANN_LSD_WHOLESALE,B_CONTRACTOUT,Leased Annual Payroll from Wholesale Clients,Yes/No if business contracted out manufacturing tasks,37.27%,43.85%,0.00%,MAN_CONTRACTOUT_STAT
1273,RCPT_C_ST_IN,B_RDFUND_US_STLOC,"Construction Work by State,  Indiana",Domestic R&D costs paid by U.S. state or local government,37.23%,41.84%,11.11%,FUNDS_RD_US_LOCGOV_VAL
1274,EXPS_BENEFIT_OTHPRPCAS,B_RDEXP_DOM_EMPL,"Benefits Paid, All other activities (i.e., life, accident and health, and hospital and medical service plans, including reinsurance)","Amount of domestic R&D costs going to salaries, wages, and benefits",37.21%,42.60%,6.67%,EXPS_RD_DOM_EMP_VAL
1275,INCOM_LOAN_GOV_ORI_PCT,B_EXPCOST_BLDG,"Loan Products Income, Loans to governments, Origination Fees",R&D capital expenditures for buildings and land imp R&D capital expenditures for equipmentrovement,37.19%,43.75%,0.00%,CAPEX_RD_OPS_BLDG_VAL
1276,PATREV_GOV_WRKCMP,B_RDEXP_DOM_EMPL,Patient Care Revenue:  Workers' compensation,"Amount of domestic R&D costs going to salaries, wages, and benefits",37.19%,43.76%,0.00%,EXPS_RD_DOM_EMP_VAL
1277,RCPT_EXCISE_INCL_NO,B_SALES_PCT_GOODS,Are excise taxes included in sales and receipts?,"Percent of domestic sales, revenues, and grants coming from selling goods to customers",37.18%,42.27%,8.33%,SALES_GOODS_PCT
1278,MINE_HERE,B_CONTRACTIN_TYPE ,Did you mine the materials used to manufacture the products reported at this location?,Types of companies that this business performed manufacturing for,37.18%,43.74%,0.00%,MAN_CONTRACTIN_CHKBOX
1279,PATREV_PRIVTE_PROPCAS,B_SALES_PCT_SERVICE,Patient Care Revenue:  Property and casualty insurance - Include revenue from auto and homeowners' insurance and other accident/liability insurance. Exclude workers' compensation insurance.,"Percent of domestic sales, revenues, and grants coming from selling services to customers",37.16%,43.72%,0.00%,SALES_SERVICE_PCT
1280,OWN_BEST,O2_NAME_TITLE,Best time to contact owner.,Name of second owner,37.13%,40.16%,20.00%,OWNER2_NAME
1281,BENEFIT_PENSION_CON,B_RDEXP_DOM_EMPL,Employer's Cost for defined contribution pension plans,"Amount of domestic R&D costs going to salaries, wages, and benefits",37.11%,43.66%,0.00%,EXPS_RD_DOM_EMP_VAL
1282,SE_TOT_VAL,TCPEX,Stockholders' eqty,Total capital expenditures,37.11%,43.66%,0.00%,CAPEX_TOT_VAL
1283,RCPT_C_ST_ID,B_RDFUND_US_STLOC,"Construction Work by State,  Idaho",Domestic R&D costs paid by U.S. state or local government,37.08%,41.67%,11.11%,FUNDS_RD_US_LOCGOV_VAL
1284,EMP_MAR12_LSD_TRANS_WARE,B_CONTRACTOUT_TYPE,Q1 LEASED EMPLOYMENT FOR TRANSPORTATION AND WAREHOUSE CLIENTS,Type of companies that manufacturing was contracted out to ,37.06%,43.59%,0.00%,MAN_CONTRACTOUT_CHKBOX
1285,PAY_ROLL_WIRE,B_TYPS_WRKS,"Steel Mill Department Wages, Wiredrawing mills",Types of workers that were used by the business,37.04%,43.58%,0.00%,WRKR_TYPE_CHKBOX
1286,INV_LIFO_RSV_BGN,B_CAPEXP_TOTAL,"Inventories, LIFO reserve,  Beginning of Year",Amount of capital expenditures,37.03%,43.56%,0.00%,CAPEX_TOT_VAL
1287,PAT_CARE_LAB_IND_PCT,B_EXPCOST_OTH ,"Patient Care, Laboratory services paid by individuals, insurers, or government payers, such as Medicare and Medicaid",All other R&D capital expenditures,37.02%,43.55%,0.00%,CAPEX_RD_OPS_OTH_VAL
1288,PAY_BLAST,B_TYPS_WRKS,"Steel Mill Department Wages, Blast Furnaces",Types of workers that were used by the business,37.02%,43.56%,0.00%,WRKR_TYPE_CHKBOX
1289,EXPS_LOSS_VAL,O1_OWNER_DISABLE,"Direct Losses Incurred: Property, including Life",Disability status of the first owner,36.99%,43.52%,0.00%,OWNER_DISABILITY_CODE
1290,RCPT_SUBLIN_VAL,B_SALES_PCT_SERVICE,Total Subscriber Line Charges Revenue,"Percent of domestic sales, revenues, and grants coming from selling services to customers",36.99%,43.52%,0.00%,SALES_SERVICE_PCT
1291,INV_FOREIGN_VAL_BGN,B_SALES_TOT_US,"Inventories, Outside of the United States,  Beginning of Year","Amount of sales, revenue, and grants from domestic operations",36.99%,43.52%,0.00%,SALES_US_TOT_VAL
1292,RCPT_MOTR_METAL_DVAL,B_OPEXPENSE ,Base Metal and Machinery motor carrier revenue,Total domestic operating expenses,36.98%,43.50%,0.00%,EXPS_TOT_VAL
1293,OWNSTAT_RACE_AMNAT_WRTIN,O1_RACE,The name of enrolled or principal American Indian or Alaska Native tribe (Race of majority ownership),Race of first owner,36.97%,41.89%,9.09%,OWNER_RACE_CODE
1294,LGL_FORM_CODE_NUM,AFFILWI ,Legal form-of-organization code based on administrative records. The LGL_FORM_CODE is assigned in the EIN_UNITS and transferred to the EMPLOYER_UNITS. The EMPLOYER_UNITS code is carried to the SURVEY_UNITS_CENSUS table or SURVEY_UNITS_COS_ASM table.,Details on affiliated organization ,36.96%,42.45%,5.88%,AFFIL_ORG_TXT
1295,REPORTING_ID,B_NUMKPI,"Reporting Unit ID.  8nnnnnnnnn= Enterprise level or record type 10, 2nnnnnnnnn= Establishment or record type 20, 3nnnnnnnnn= KAU or record type 30",Number of key performance indicators monitored by this business ,36.95%,43.47%,0.00%,KPI_MONITOR_NUM
1296,AFFIL_FOR_ADDR_CITY,B_ACTIVITYUFC_ADMIN ,"City of the foreign entity (company, individual, government, etc.)",Yes/No if foreign affiliated companies conducted administrative or management functions for this business,36.95%,42.01%,8.33%,AFFIL_NONUS_ADMIN_STAT
1297,EMP_MAR12_RN_NP,B_EMPTRAIN,"Employment By Occupation, Registered nurses and nurse practitioners",The areas covered by employee training,36.94%,43.46%,0.00%,EMP_TRAIN_AREA_CHKBOX
1298,EMP_MAR12_LSD_REPAIR_PER,B_CONTRACTOUT,Q1 LEASED EMPLOYMENT FOR REPAIR CLIENTS,Yes/No if business contracted out manufacturing tasks,36.92%,43.43%,0.00%,MAN_CONTRACTOUT_STAT
1299,EXPS_MACH_REP_VAL,B_EXPCOST_EQUIP,"Rent payments, machinery",R&D capital expenditures for equipment,36.92%,43.43%,0.00%,CAPEX_RD_OPS_EQUIP_VAL
1300,CAPCTY_PETR_LQUID_LT10K,B_WORKHOME_PCT_FIVE ,"Choices for: How much liquefied petroleum storage tank capacity did this establishment operate, both owned and leased, on the last business day of $$00?",Percent of workers that worked from home five or more days per weTotal percent entered from work from home questionsek,36.90%,43.42%,0.00%,WORK_HOME_FIVE_PCT
1301,EMP_HEAT,B_CONTRACTIN_TYPE ,"Selected MetalWorking Employment,  Heat treating of metals for production purposes",Types of companies that this business performed manufacturing for,36.90%,43.42%,0.00%,MAN_CONTRACTIN_CHKBOX
1302,RCPT_MOTR_PHARM_PCT,B_IMPROCESS_LOG ,Analysis of Motor Carrier Operations: Pharmaceutical and chemical products,"Whether the business introduced new or improved methods for logistics, delivery or distribution methods",36.90%,43.42%,0.00%,IMPROCESS_LOG_STAT 
1303,INCOM_NET_VAL,EXPNS,Net income (loss) for quarter,Amount of total expenses,36.89%,43.40%,0.00%,EXPS_TOT_VAL
1304,RCPT_ECOMM_SHPHDL_VAL,B_IMPROCESS_INFO,Electronic Commerce (e-commerce) - S&H,Whether the business introduced new or improved methods for information and communication systems,36.87%,43.38%,0.00%,IMPROCESS_INFO_STAT
1305,EXPS_SOFTREPR_VAL,B_EXPCOST_TECH,Purchased Software Reproduction,R&D capital expenditures for software,36.86%,39.83%,20.00%,CAPEX_RD_OPS_TECH_VAL
1306,INV_OUTPR_BGN,B_SALES_TOT_US,"Inventories,  Stored or en route, OUTSIDE Puerto Rico,  Beginning of Year","Amount of sales, revenue, and grants from domestic operations",36.85%,43.35%,0.00%,SALES_US_TOT_VAL
1307,PROD_QTYPRD_UND_OUT_W,WZOTHER,The total amount  of charges for underground mining by outside contractor,Amount of internal research funds allocated to all other costs,36.85%,43.35%,0.00%,EXPS_RSRCH_OTH_VAL
1308,RCPT_C_ST_MT,B_RDFUND_US_STLOC,"Construction Work by State,  Montana",Domestic R&D costs paid by U.S. state or local government,36.85%,41.39%,11.11%,FUNDS_RD_US_LOCGOV_VAL
1309,INCOM_EXPS_EXTROR_DBCRD_TXT,B_CAPEXP_TOTAL,"Extraordinary gains (losses), net of taxes - principal debits and credits that contribute - Description",Amount of capital expenditures,36.84%,43.34%,0.00%,CAPEX_TOT_VAL
1310,JOINT_COMPANY_ADDR_ZIP_3,B_OWNERNUM,Investors: ZIP Code of Company Investor 3,Number of owners of the business,36.84%,43.34%,0.00%,OWNER_NUM_STAT
1311,SURVEY_PERIOD,B_WORKHOME_PCT_FIVE ,The survey period,Percent of workers that worked from home five or more days per weTotal percent entered from work from home questionsek,36.84%,43.34%,0.00%,WORK_HOME_FIVE_PCT
1312,LIAB_SHORT_OTH_IN_CMPPR_VAL,B_CRDSRC,"Other short-term loans, including commercial paper",Other sources of credit not listed,36.84%,43.34%,0.00%,CREDIT_SOURCES_CHKBOX
1313,RCPT_C_ST_RI,B_RDFUND_US_STLOC,"Construction Work by State,  Rhode Iskand",Domestic R&D costs paid by U.S. state or local government,36.81%,41.54%,10.00%,FUNDS_RD_US_LOCGOV_VAL
1314,PROP_MAR12_OTHDENT,B_COOP,"Proprietor or Partner by Occupation,  Other dental practitioners (Include hygienists, technicians, and assistants.)",Companies that are the clients or customers outside the business group,36.79%,43.29%,0.00%,COOP_PARTNER_LOC_CHKBOX
1315,HOUSE_CONT_BUILDER_YES,CPSTR,Did you build/manage the construction of residential buildings?,Total capital expenditures for research operations that went towards buildings and land improvement,36.78%,41.80%,8.33%,CAPEX_RSRCH_BUILD_VAL
1316,INCOM_STATEMNT_B_DATE,EXTERNALCPA,Statement of Income and Retained Earnings for your 3-MONTH PERIOD: From Date,"Did this company retain an external Certified Public Accountant to conduct an audit, review, or compilation of its financial statements",36.78%,43.27%,0.00%,CPA_EXTRN_RETAIN_CODE
1317,JOINT_COMPANY_ADDR_ZIP_4,B_OWNERNUM,Investors: ZIP Code of Company Investor 4,Number of owners of the business,36.77%,43.26%,0.00%,OWNER_NUM_STAT
1318,RPCP,B_BUSTARGET,Reported SOC Completion Date,The timeframe that the business focused on for production targets,36.76%,43.25%,0.00%,PROD_TARG_TIMEFRM_CODE
1319,INCOM_LOAN_XMORVEH_OTH_PCT,B_SALES_PCT_GOODS,"Loan Products Income, Secured or guaranteed loans to consumers, except mortgage and vehicle loans, Other Fees","Percent of domestic sales, revenues, and grants coming from selling goods to customers",36.76%,43.25%,0.00%,SALES_GOODS_PCT
1320,RECORD_STORENUM,"RESP_PHONE_AREA_CODE
RESP_PHONE_PREFIX, RESP_PHONE_SUFFIX, ",The store or plant number,Contact Information: Phone,36.75%,43.24%,0.00%,CERT_PHONE_NUM
1321,RCPT_C_ST_IL,B_RDFUND_US_STLOC,"Construction Work by State,  Illinois",Domestic R&D costs paid by U.S. state or local government,36.75%,41.28%,11.11%,FUNDS_RD_US_LOCGOV_VAL
1322,EMP_MAR12_ASMBLY,B_TYPS_WRKS,"Employment By Primary Occupation, 'Knockdown' assembly - assembling prefabricated components designed for a single application or reassembly of completed products",Types of workers that were used by the business,36.74%,43.23%,0.00%,WRKR_TYPE_CHKBOX
1323,RCPT_C_ST_SD,B_RDFUND_US_STLOC,"Construction Work by State,  South Dakota",Domestic R&D costs paid by U.S. state or local government,36.74%,41.46%,10.00%,FUNDS_RD_US_LOCGOV_VAL
1324,AFFIL_OWNER_ADDR_ZIP,B_OWNERNUM,ZIP code of the owning or controlling company,Number of owners of the business,36.73%,43.21%,0.00%,OWNER_NUM_STAT
1325,RCPT_C_ST_MD,B_RDFUND_US_STLOC,"Construction Work by State,  Maryland",Domestic R&D costs paid by U.S. state or local government,36.73%,41.25%,11.11%,FUNDS_RD_US_LOCGOV_VAL
1326,RCPT_COMSN_AVGPCT,B_SALES_PCT_SERVICE,Establishment's average commission rate earned,"Percent of domestic sales, revenues, and grants coming from selling services to customers",36.72%,43.20%,0.00%,SALES_SERVICE_PCT
