,MDR's Variable,Variable Source,MDR's Description,Source's Description,similarity_score,Cosine Score,Jaccard Score
1404,IA_PAPER_TYPOP_SELFDSG_11,00022,IA TYPOP Code - Merchant wholesale distributor or jobber,Employer Identification Number,30.46%,35.84%,0.00%
1405,PAY_MANOTH,00214,"Steel Mill Department Wages,  Other manufacturing or fabricating departments_x000D_
(nuts, bolts, steel containers, etc.)",Inventories,30.45%,35.82%,0.00%
1406,COST5,00061,How many units available at fifth cost?,Number of Subsidiary Corporations,30.44%,35.81%,0.00%
1407,PROD_QTYPRD_DIATOM_NONE,00217,"None for the question: If MINE_HERE = 1, report the quantity of diatomite, mined and/or beneficiated at this mine or pit",Land and Mineral Rights,30.43%,35.79%,0.00%
1408,ORE_GOLD_GOLD,00214,"Quantity of Gold produced,  Gold",Inventories,30.42%,35.79%,0.00%
1409,EMP_MAR12_PRDWRK_NUM,00001,Production Worker Employment,Is this your company's industry - yes/no,30.41%,35.78%,0.00%
1410,REMAINING,PACDE,Number of remaining units less any subsidized and transient units.,Size code directly related to (and derived from) total assets.,30.40%,35.77%,0.00%
1411,RCPT_CONTRACT_LOC_TOT,00104,"Contract Work done by customer location,  Location Total",Income (loss) from Operation,30.37%,35.73%,0.00%
1412,CLASS_AUX_WRTIN,00031,"Auxiliary Establishments,  Principal kind of business or activity performed by the establishments of your enterprise that are managed or serviced by this establishment write-in description",Corporation Status Active/Discontinued/Merged,30.37%,35.73%,0.00%
1413,RECORD_TYP_TXT,00022,2 digit type of record,Employer Identification Number,30.36%,35.72%,0.00%
1414,EMP_MAR12_HQOTH_WRTIN,00022,"Employment By Occupation, All other headquarter employees write-in description",Employer Identification Number,30.35%,35.70%,0.00%
1415,RCPT_BOOK_ONLINE_DVAL,00104,online books revenue,Income (loss) from Operation,30.35%,35.71%,0.00%
1416,PAT_CARE_DIA_HEALTH_PCT,00314,"Patient Care, Diagnostic imaging services paid by other health care providers",All Other Current Liabilities.,30.34%,35.70%,0.00%
1417,BENEFIT_PY,0123D,"Fringe Benefits, Total  Prior Year",Retained Earning at End of Quarter,30.34%,35.69%,0.00%
1418,RENT_PAY_BUILD,00305,Payments for Rental or lease of buildings and other structures,Advances and Prepayments by the US GOV,30.32%,35.66%,0.00%
1419,INCOM_LEAS_AUTO_FEE_PCT,00302,"Automobile and light-duty truck leasing services - includes operating and finance leases,  Fees",Short Term Loans (Commercial Paper),30.31%,35.66%,0.00%
1420,RCPT_C_ST_WA,00207,"Construction Work by State,  Washington",State and Local Government Securities,30.27%,32.67%,16.67%
1421,RCPT_CONTRACT_CLASS_TOT,00314,"Contract Work done by customer in Puerto Rico,  Total",All Other Current Liabilities.,30.27%,35.61%,0.00%
1422,BEDNONEU1,00081,Total Efficiencies for Type 1,EI for addition 1,30.25%,35.59%,0.00%
1423,EMP_MAR12_SUPT,00001,"Employment By Occupation, Sales support - including office, clerical, warehousing, customer service, maintenance employees, and drivers",Is this your company's industry - yes/no,30.25%,35.59%,0.00%
1424,NAPCS_PRM,PACDE,Sum of Values for Prod_code like 2%,Size code directly related to (and derived from) total assets.,30.22%,35.55%,0.00%
1425,COST8,00214,How many units available at eighth cost?,Inventories,30.18%,35.51%,0.00%
1426,EMP_MAR12_LSD_ARTS,00121,Q1 LEASED EMPLOYMENT FROM ARTS AND ENTERTAINMENT CLIENTS,Other Credits to Retained Earning,30.17%,35.49%,0.00%
1427,EXPS_PCHTT_DVAL,00223,deriving ASM/EC mfg collected total purchased services,Total Assets,30.16%,33.52%,11.11%
1428,BLDG_TYPE4,00216,Fourth Type of Units in Building,Plant and Equipment,30.16%,35.48%,0.00%
1429,PAY_ANN_OTHWRK_M,00107,Annual Payroll for Other Manufacturing Employees,Other Recurring Non-operating Income,30.15%,35.47%,0.00%
1430,RCPT_C_ST_NH,00207,"Construction Work by State,  New Hampshire",State and Local Government Securities,30.14%,32.94%,14.29%
1431,EMP_SEP12_CONWRK,00001,"Third Quarter Employment,  Construction Workers",Is this your company's industry - yes/no,30.11%,35.42%,0.00%
1432,RCPT_CUST_SUBLIN_IND_DVAL,00107,Household Subscriber Line Charge revenue,Other Recurring Non-operating Income,30.11%,35.42%,0.00%
1433,PHYSLOC_COUNTY,00207,Physical Location County,State and Local Government Securities,30.11%,35.42%,0.00%
1434,COST6,00061,How many units available at sixth cost?,Number of Subsidiary Corporations,30.10%,35.41%,0.00%
1435,RCPT_C_ST_NC,00207,"Construction Work by State,  North Carolina",State and Local Government Securities,30.10%,32.89%,14.29%
1436,PROD_QTYPRD_KAOLIN_NONE,00217,"None for the question: If MINE_HERE = 1, report the quantity of kaolin mined and/or basically prepared for transport at this mine or pit",Land and Mineral Rights,30.10%,35.41%,0.00%
1437,INITIATED_SURVEY,00034,Date respondent initiated survey,Discontinued Date,30.09%,31.87%,20.00%
1438,CERT_EMAIL,00022,"Certification,  Email address",Employer Identification Number,30.08%,35.39%,0.00%
1439,RCPT_C_ST_ND,00207,"Construction Work by State,  North Dakota",State and Local Government Securities,30.04%,32.82%,14.29%
1440,RCPT_C_ST_IA,00207,"Construction Work by State,  Iowa",State and Local Government Securities,30.02%,32.38%,16.67%
1441,PROP_MAR12_AUDIO,00031,"Proprietor or Partner by Occupation, Audiologists",Corporation Status Active/Discontinued/Merged,30.00%,35.30%,0.00%
1442,COMPUTER_SALE_OTHER_PCT,00001,"Computer System Integration, Other, including consulting, training, engineering, etc.",Is this your company's industry - yes/no,29.99%,35.28%,0.00%
1443,EXPS_FRNG_BENEFIT_VAL,00105,Employer's Cost for Fringe Benefits,Interest Expense,29.98%,35.27%,0.00%
1444,PRCH_TRANS_NODRIVERS,00314,"Purchased Transportation,  Lease and rental payments for trucks and other motor vehicles without drivers",All Other Current Liabilities.,29.98%,35.27%,0.00%
1445,EMP_DEC12,00322,"Fourth Quarter Employment,  Construction Workers and Other Construction Employees Total",Retained Earnings at End of Quarter,29.97%,33.50%,10.00%
1446,RCPT_CUST_LOCTEL_IND_DVAL,00107,Household Fixed Local Telephony revenue,Other Recurring Non-operating Income,29.95%,35.23%,0.00%
1447,RCPT_INTELPH_BUN_PCT,00110,Percentage of receipts for internet telephone services from “bundled” services.,Nonoperating expenses and income,29.94%,35.22%,0.00%
1448,WATER_SOURCE,00217,What was this establishment’s main source of new water?,Land and Mineral Rights,29.92%,35.20%,0.00%
1449,PGM_TYPE4,00305,Fourth Subsidy Program,Advances and Prepayments by the US GOV,29.92%,35.20%,0.00%
1450,COST_FUEL,00214,"Purchased fuels consumed for heat, power, or the generation of electricity",Inventories,29.90%,35.18%,0.00%
1451,EMP_MAR12_RD_SCI,00001,"Employment By Occupation, Research and Development, Scientists or engineers",Is this your company's industry - yes/no,29.89%,35.16%,0.00%
1452,CERT_PHONE_NUM,00022,Contact Information: Phone,Employer Identification Number,29.89%,35.17%,0.00%
1453,SURV_YEAR_STAT,00107,Reporting Period Type,Other Recurring Non-operating Income,29.89%,35.17%,0.00%
1454,RCPT_APSOFT_ENTR_PCT,00001,Source of Application Software Publishing Revenue: Enterprise or network,Is this your company's industry - yes/no,29.89%,35.16%,0.00%
1455,PHYSLOC_OFF,00211,True if the operations of this domestic reporting unit are offshore; false otherwise.,Trade Receivables from the U.S. Government,29.88%,35.15%,0.00%
1456,FGINFO_COMPANY,00044,Company of FG contact person,EI of company who owns,29.87%,31.62%,20.00%
1457,TYPE,0122D,"Survey Unit Type  su,mu",Census Use Only -- ADJ,29.86%,35.12%,0.00%
1458,ORE_SILVER_SILVER,00214,"Quantity of Silver produced,  Silver",Inventories,29.84%,35.11%,0.00%
1459,FOOD_SVC_OTH_WRTIN,00214,"Food Services,  Other  Write-in description",Inventories,29.84%,35.11%,0.00%
1460,BEDNONEU2,00082,Total Efficiencies for Type 2,EI for addition 2,29.84%,35.10%,0.00%
1461,PAY_ANN_LSD_ARTS,00107,Leased Annual Payroll for Arts and Entertainment Clients,Other Recurring Non-operating Income,29.84%,35.11%,0.00%
1462,LOGIN_ID_CURR,00022,LOGIN_ID_CURR is the latest access ID and it will match LOGIN_ID if the record is the most recent for the SSCID,Employer Identification Number,29.82%,35.09%,0.00%
1463,DIST_NDIST_LRN_TOT_PCT,PACDE,"Modes of Instruction, Total",Size code directly related to (and derived from) total assets.,29.79%,32.84%,12.50%
1464,EMP_JUN12,00118,"Second Quarter Employment, Construction Workers and Other Construction Employees Total",Net Income (loss) for Quarter,29.77%,33.26%,10.00%
1465,RCPT_CUST_SUBLIN_BUS_PCT,00105,"Class of Customer: Subscriber Line Charges, Business",Interest Expense,29.76%,35.01%,0.00%
1466,COST_NTLGAS_RESALE,00325,Cost of natural gas purchased for resale,treasury Stock at cost,29.76%,32.49%,14.29%
1467,BENEFIT_OTH_PY,00314,Employer's Cost for other benefits   Prior Year,All Other Current Liabilities.,29.75%,34.99%,0.00%
1468,COST12,00214,How many units available at twelfth cost?,Inventories,29.74%,34.99%,0.00%
1469,AFFIL_SPL_NAICS_SELFDSG_WRT,00031,"Added child establishment,   Kind of business write-in description",Corporation Status Active/Discontinued/Merged,29.73%,34.97%,0.00%
1470,ORE_SILVER_GOLD,00214,"Quantity of Silver produced,  Gold",Inventories,29.71%,34.95%,0.00%
1471,REMAINING_UNITS,PACDE,Remaining units within unit type,Size code directly related to (and derived from) total assets.,29.71%,34.96%,0.00%
1472,BLDRSTATE,00207,Builder state,State and Local Government Securities,29.67%,30.49%,25.00%
1473,RCPT_OVERTOP_BUN_PCT,00107,Percentage of receipts for over-the-top (OTT) services from “bundled” services.,Other Recurring Non-operating Income,29.67%,34.90%,0.00%
1474,REF_PER,0122D,Survey reference period,Census Use Only -- ADJ,29.66%,34.90%,0.00%
1475,RCPT_UFO_TOT,00306,Value of Unfilled Orders,Trade Accounts and Trade Notes Payable,29.66%,34.89%,0.00%
1476,PROP_MAR12_PHYS,00031,"Proprietor or Partner by Occupation, Doctors/Physicians - licensed practitioners having M.D. degree",Corporation Status Active/Discontinued/Merged,29.65%,34.88%,0.00%
1477,PAY_QTR1_PRDWRK_VAL,00022,Payroll: production workers,Employer Identification Number,29.64%,34.87%,0.00%
1478,PATREV_PRIVTE_HLTH,00110,"Patient Care Revenue:  Private health insurance - Include revenue from medical plans administered by private insurers, including employer sponsored and other group plans.",Nonoperating expenses and income,29.64%,34.87%,0.00%
1479,EMP_AVG_PRDWRK_PY,00117,Average number of annual production workers at this establishment   Prior Year,Cumulative Effect of Accounting Changes,29.61%,34.84%,0.00%
1480,EMP_MAR12_LSD_MANUF,00001,Q1 LEASED EMPLOYMENT FOR MANUFACTURING CLIENTS,Is this your company's industry - yes/no,29.59%,34.82%,0.00%
1481,RCPT_CLIENT_F_OTH,00001,"Class of Customer,  Businesses and all other",Is this your company's industry - yes/no,29.57%,34.79%,0.00%
1482,EXPS_BUILD_REP_VAL,00305,"Rent payments, buildings",Advances and Prepayments by the US GOV,29.57%,34.79%,0.00%
1483,PROP_MAR12_LPN,00031,"Proprietor or Partner by Occupation,  Licensed practical nurses",Corporation Status Active/Discontinued/Merged,29.56%,34.78%,0.00%
1484,CLASS_OTH,00212,"Class of Customer,  Other",Other Trade Accounts,29.56%,34.77%,0.00%
1485,EXPS_NETFEE_VAL,00105,Network Compensation Fees (networks only),Interest Expense,29.55%,34.77%,0.00%
1486,COST1,00223,How many units available at first cost?,Total Assets,29.54%,34.75%,0.00%
1487,GOVOWN_TYPE_LOCAL,00207,What was the level of government operating or controlling this establishment?,State and Local Government Securities,29.53%,32.22%,14.29%
1488,RCPT_ECOMM_COMP_VAL,00214,Electronic Commerce (e-commerce) - Computer,Inventories,29.52%,34.72%,0.00%
1489,COST7,00223,How many units available at seventh cost?,Total Assets,29.49%,34.69%,0.00%
1490,EMP_MAR12_LSD_MINE,00001,Q1 LEASED EMPLOYMENT FOR MINING CLIENTS,Is this your company's industry - yes/no,29.48%,34.68%,0.00%
1491,ROBOT_INDST_PRCH_NUM,00216,Robotics: Purchased,Plant and Equipment,29.47%,34.67%,0.00%
1492,PBA_2022_CENSUS,00219,Final selected PBA code/variation for the respondent within the 2022 EC,NET PPE,29.46%,34.66%,0.00%
1493,PGM_TYPE3,00305,Third Subsidy Program,Advances and Prepayments by the US GOV,29.44%,34.64%,0.00%
1494,EMP_MAR12_REPAIR,00001,"Employment By Occupation, Repair and maintenance (for vehicles and equipment)",Is this your company's industry - yes/no,29.43%,34.62%,0.00%
1495,RCPT_MOTR_STONE_PCT,00217,"Analysis of Motor Carrier Operations: Stone, non-metallic minerals, and metallic ores",Land and Mineral Rights,29.43%,34.62%,0.00%
1496,RCPT_CUST_NORES_PCT,00107,Class of Customer: Non-residential,Other Recurring Non-operating Income,29.42%,32.09%,14.29%
1497,TOTU2INT0,00081,"Total Furn Units, Initial Intv",EI for addition 1,29.42%,34.61%,0.00%
1498,PROD_QTYPRD_RDGRAN_NONE,00217,"None for the question: If MINE_HERE = 1, report the quantity of rough dimension granite (including gneiss, syenite, and diorite) mined at this mine or pit",Land and Mineral Rights,29.41%,34.60%,0.00%
1499,EXPS_FRNG_BENEFIT_VAL,00114,Fringe benefits,Provision for Income Taxes,29.39%,34.57%,0.00%
1500,IA_PAPER_TYPOP_SELFDSG_49,00091,IA TYPOP Code - Electronic market,EI for Deletion 1,29.39%,34.58%,0.00%
1501,FOOD_SVC_WAIT_ARCHIVE,00216,"Food Services,  type of primary food service provided",Plant and Equipment,29.38%,34.57%,0.00%
1502,RCPT_CUST_LNGTEL_BUS_PCT,00001,"Class of Customer: Fixed Long-distance Telephony, Business",Is this your company's industry - yes/no,29.37%,34.55%,0.00%
1503,EMP_JUN12_CONWRK,00001,"Second Quarter Employment,  Construction Workers",Is this your company's industry - yes/no,29.36%,34.54%,0.00%
1504,COST_LABOR_PRD,00216,Contract labor for production,Plant and Equipment,29.35%,34.52%,0.00%
1505,COMPUTER_SALE_RE_HWARE_PCT,00214,"Computer System Integration, Resale of purchased computer hardware",Inventories,29.35%,34.53%,0.00%
1506,PROP_MAR12_LPN_XPSY,00031,"Proprietor or Partner by Occupation, Licensed practical or vocational nurses",Corporation Status Active/Discontinued/Merged,29.30%,34.47%,0.00%
1507,OWN_PO,00207,Owner city.,State and Local Government Securities,29.29%,34.46%,0.00%
1508,CURMCD,00213,Notes from HQ to FR,Trade Accounts and Trade Notes Receivable,29.26%,31.48%,16.67%
1509,PAY_ANN_LSD_REPAIR_PER,00314,Leased Annual Payroll from Repair Services Clients,All Other Current Liabilities.,29.24%,34.40%,0.00%
1510,PROD_CLASS_DESC,PACDE,Description that corresponds to that NAPCS code being displayed (PROD_CLASS_CODE),Size code directly related to (and derived from) total assets.,29.23%,32.78%,9.09%
1511,PAY_MINEWRK,00217,Wages paid to workers at mine or pit,Land and Mineral Rights,29.22%,34.38%,0.00%
1512,PROP_MAR12_OTHDENT,00031,"Proprietor or Partner by Occupation,  Other dental practitioners (Include hygienists, technicians, and assistants.)",Corporation Status Active/Discontinued/Merged,29.20%,34.35%,0.00%
1513,PHYSLOC_ADDR_CITY_TXT,00022,Physical Address: City,Employer Identification Number,29.20%,34.35%,0.00%
1514,BPONAME,00022,BPO/Segment Name - Name of the building permit office or NP segment,Employer Identification Number,29.18%,34.32%,0.00%
1515,RENT_PAY_MACH_PY,00314,Payments for Rental or lease of machinery and equipment  Prior Year,All Other Current Liabilities.,29.18%,34.33%,0.00%
1516,PROP_MAR12_SPEECHPTH,00031,"Proprietor or Partner by Occupation, Speech-language pathologists",Corporation Status Active/Discontinued/Merged,29.17%,34.32%,0.00%
1517,EXPS_USC_VAL,00105,Universal Service Contributions (USC) and Other Similar Charges,Interest Expense,29.17%,34.32%,0.00%
1518,QSS_OUT_OF_SCOPE_IND,00031,Indicator if a company is out-of-scope to QSS. Meaning can't correct the NAICS before mailout.,Corporation Status Active/Discontinued/Merged,29.11%,34.24%,0.00%
1519,PROP_MAR12_POD,00031,"Proprietor or Partner by Occupation, Podiatric physicians - licensed practitioners having D.P.M. degree",Corporation Status Active/Discontinued/Merged,29.09%,34.23%,0.00%
1520,OWNSTAT_RACE_OTHPACF_WRTIN,00324,The other Pacific Islander race(Race of majority ownership),Other Stockholder Equity,29.05%,34.17%,0.00%
1521,CLASS_REPAIR,00214,"Class of Customer,  Repair shops for use in repair work",Inventories,29.04%,34.16%,0.00%
1522,COST9,00214,How many units available at ninth cost?,Inventories,29.03%,34.15%,0.00%
1523,ADD_REMARKS_TXT,00084,Enter additional remarks,EI for addition 4,29.03%,34.15%,0.00%
1524,EMP_MAR12_COMSYS,00001,"Employment By Occupation, Computer systems design, custom computer programming, and electronic data processing",Is this your company's industry - yes/no,29.01%,34.14%,0.00%
1525,PROD_QTYPRD_STRIP_OUT_W,00217,The total amount  of charges for strip-pit mined by outside contractor ,Land and Mineral Rights,28.99%,34.10%,0.00%
1526,BENEFIT,00112,"Fringe Benefits, Total",Provision for Income Taxes (FEDERAL),28.97%,34.08%,0.00%
1527,COST11,CB119,How many units available at eleventh cost?,cb 119 for general imp,28.95%,34.06%,0.00%
1528,MAIL_ADDR_CITY_TXT,00203,Mailing City,Time Deposit Outside the U.S.,28.91%,34.01%,0.00%
1529,CERT_EXTENSION_NUM,00022,Contact Information: Extension,Employer Identification Number,28.90%,34.00%,0.00%
1530,PHYSLOC_ADDR_ST_TXT,00022,Physical Address: State,Employer Identification Number,28.90%,34.00%,0.00%
1531,MEDIA_SUB_OTHER_PCT,00221,"Subscription Media, Other media, including CD-ROM/DVD-ROM, diskette or cassette, and microform",All Other Non-current Assets,28.89%,33.99%,0.00%
1532,CLASS_CON,00001,"Class of Customer,  Construction contractors",Is this your company's industry - yes/no,28.88%,33.98%,0.00%
1533,PAY_ANN_LSD_MINE,00121,Leased Annual Payroll from Mining Clients,Other Credits to Retained Earning,28.85%,33.94%,0.00%
1534,NEWCON_YES_ARCHIVE,00031,"Was this consolidated reporting unit involved in new construction or renovation of buildings, structures, or communication lines?",Corporation Status Active/Discontinued/Merged,28.84%,33.93%,0.00%
1535,ROBOT_INDST_INOP_WRTIN_TXT,00216,"Robotics: In operation, explain",Plant and Equipment,28.83%,33.91%,0.00%
1536,INC_GAS,00105,Is Gas included in the rent/condo fee?,Interest Expense,28.82%,33.91%,0.00%
1537,RCPT_CONTRACT_US,00203,"Contract Work done by customer location,  U.S. and Territories",Time Deposit Outside the U.S.,28.82%,33.90%,0.00%
1538,RCPT_FOOD_CNTRC_GOV,00305,"Contract Feeding, Governmental organizations (Federal, state, local), including correctional facilities",Advances and Prepayments by the US GOV,28.81%,33.90%,0.00%
1539,PAY_ANN_LSD_AGRICULTURE,00121,Leased Annual Payroll for Agriculutral Clients,Other Credits to Retained Earning,28.79%,33.87%,0.00%
1540,COST10,00214,How many units available at tenth cost?,Inventories,28.79%,33.87%,0.00%
1541,RCPT_PRDSHIP_PR,00211,"Value of product shipped by customer location, Puerto Rico",Trade Receivables from the U.S. Government,28.78%,33.85%,0.00%
1542,NAPCS_OTH,PACDE,Sum of Values for Prod_code NOT like 2%,Size code directly related to (and derived from) total assets.,28.77%,33.85%,0.00%
1543,PREV_OWNER_ADDR_STREET,00044,Street Address of Former Owner or operator,EI of company who owns,28.75%,33.82%,0.00%
1544,ADD_MAJOR_ACT_CODE,00031,"Added establishment,  Major activity code",Corporation Status Active/Discontinued/Merged,28.75%,33.83%,0.00%
1545,ORE_GOLD_COPPER,00214,"Quantity of Gold produced,  Copper",Inventories,28.73%,33.80%,0.00%
1546,HOUSE_SNGL_DETACH_LAND,00072,"Houses built for customers on their land,  Number of Detached (free standing single-family homes)",Number of Subsidiary Corporations - Not Consolidated,28.73%,32.44%,7.69%
1547,ORE_GOLD_LEADZINC,00217,"Quantity of Gold produced,  Lead/Zinc",Land and Mineral Rights,28.70%,33.76%,0.00%
1548,EMP_MAR12_LSD_TOT_S,0123D,TOTAL Q1 LEASED EMPLOYMENT FOR ALL CLIENTS,Retained Earning at End of Quarter,28.69%,33.76%,0.00%
1549,EXPS_RPTOT_DVAL,00218,deriving ASM/EC mfg collected total rental payments,Accumulated Depreciation,28.66%,33.72%,0.00%
1550,EMP_SEP12_PRDWRK,00001,"Third Quarter Employment,  Production Workers",Is this your company's industry - yes/no,28.65%,33.71%,0.00%
1551,PAY_DEPT,00216,"Steel Mill Department Wages, Steel department (furnaces) (through pouring stage)",Plant and Equipment,28.62%,33.67%,0.00%
1552,MAJOR_ACT_CODE_WRTIN_TXT,00031,Major Activity Code: Primary products or services,Corporation Status Active/Discontinued/Merged,28.61%,33.66%,0.00%
1553,RCPT_CONTRACT_W,00211,"Contract Work done by customer in Puerto Rico,  Wholesalers",Trade Receivables from the U.S. Government,28.59%,33.64%,0.00%
1554,FGINFO_EXTN,00022,Phone number extension,Employer Identification Number,28.58%,30.10%,20.00%
1555,RATIO_FACTOR,00117,"post stratification factors - _x000D_
makes KAU totals match the frame totals for Payroll_x000D_
makes GRO/Estab totals match the frame totals for Payroll",Cumulative Effect of Accounting Changes,28.57%,33.61%,0.00%
1556,ROBOT_VAL,00214,Capital Expenditures for Robotic Equipment,Inventories,28.57%,33.61%,0.00%
1557,RCPT_CLIENT_S_HOSP,00031,"Class of Customer, Hospitals and other health care services",Corporation Status Active/Discontinued/Merged,28.54%,33.57%,0.00%
1558,NAICS_SECTOR,00208,Most recent BR NAICS sector,Foreign Securities,28.53%,33.57%,0.00%
1559,TOC_NEW_398,00001,Percent of Construction Work for Other Types of Construction New Construction,Is this your company's industry - yes/no,28.53%,33.56%,0.00%
1560,FOOD_ELECTDEV_SVC,00001,"Did this establishment use electronic devices for self-service table orders and/or payment (for example, through the use of a restaurant-provided electronic device at the table)?",Is this your company's industry - yes/no,28.50%,33.52%,0.00%
1561,RCPT_C_ST_ME,00113,"Construction Work by State,  Maine",Provision for Income Taxes (STATE),28.48%,30.98%,14.29%
1562,RCPT_CLIENT_F_INDIV,00044,"Class of Customer,  Individuals",EI of company who owns,28.42%,33.44%,0.00%
1563,FOOD_CONCSN,00041,"True if this establishment operated as a concession in a stadium, arena, or other recreation or amusement place at which food was made available to the general public in 2017; false otherwise",Owned by another company - No/Yes,28.40%,33.42%,0.00%
1564,BIRTH_ADJ,00117,Birth/death adjustment,Cumulative Effect of Accounting Changes,28.38%,33.39%,0.00%
1565,OWN_BEST,00021,Best time to contact owner.,Closing date,28.37%,33.38%,0.00%
1566,BENEFIT_OTH,00314,Employer's Cost for other benefits,All Other Current Liabilities.,28.36%,33.37%,0.00%
1567,RCPT_CLIENT_U_RES,00314,"Class of Customer,  Residential (Include apartment buildings.)",All Other Current Liabilities.,28.33%,33.32%,0.00%
1568,REPORTING_ID_INSTRUCTION,00022,QSS specific instructions for an ID,Employer Identification Number,28.33%,33.33%,0.00%
1569,BED1,PACDE,"Number of total 1 bedrooms for indicated type of unit (Unfurnished, Furnished, Co-op, or Condo)",Size code directly related to (and derived from) total assets.,28.32%,32.14%,6.67%
1570,PROP_MAR12_CHIRO,00031,"Proprietor or Partner by Occupation, Chiropractic physicians - licensed practitioners having D.C. degree",Corporation Status Active/Discontinued/Merged,28.31%,33.30%,0.00%
1571,FUNDS_DEV_NO_ARCHIVE,00207,Did this establishment receive funds for research and development?,State and Local Government Securities,28.28%,33.27%,0.00%
1572,PROD_QTYPRD_UND_OUT_W,00217,The total amount  of charges for underground mining by outside contractor,Land and Mineral Rights,28.28%,33.27%,0.00%
1573,RCPT_C_ST_VT,00207,"Construction Work by State,  Vermont",State and Local Government Securities,28.27%,30.32%,16.67%
1574,RCPT_REPAIR_PARTS,00110,"Repair Receipts, Parts installed in repair work",Nonoperating expenses and income,28.27%,33.26%,0.00%
1575,COST3,00083,How many units available at third cost?,EI for addition 3,28.26%,33.25%,0.00%
1576,RCPT_CLIENT_U_OTH,00320,"Class of Customer, Other Utilities",All Other Non-current Liabilities,28.26%,33.25%,0.00%
1577,AFFIL_SPL_TYPOP_SELFDSG_WRT,00104,"Added child establishment,   Type of operation write-in description",Income (loss) from Operation,28.25%,31.28%,11.11%
1578,PRCH_COMMSVC,00214,Purchased communication services,Inventories,28.20%,33.18%,0.00%
1579,EXPS_COMMSVC_VAL,00214,Purchased Communication Services,Inventories,28.20%,33.18%,0.00%
1580,COST_ELEC_PY,00218,Purchased electricity  Prior Year,Accumulated Depreciation,28.19%,33.17%,0.00%
1581,PROD_QTYPRD_CBGRAN_NONE,00217,"None for the question: If MINE_HERE = 1, report the quantity of crushed or broken granite (including gneiss, syenite, and diorite) mined at this mine or pit",Land and Mineral Rights,28.18%,33.16%,0.00%
1582,EMP_MAR12_OTHDENT,00022,"Employment By Occupation, Selling",Employer Identification Number,28.17%,33.14%,0.00%
1583,RCPT_CONTRACT_FOOD,00314,"Contract Work done by customer in Puerto Rico, Hotels, restaurants, food services, and drinking places",All Other Current Liabilities.,28.17%,33.14%,0.00%
1584,EMP_MAR12_NONPRDWRK_NUM,00001,Nonproduction Worker Employment,Is this your company's industry - yes/no,28.16%,33.13%,0.00%
1585,BED4U3,00083,Total 3 bedrooms for Type 3,EI for addition 3,28.14%,33.11%,0.00%
1586,EMP_HEAT,00216,"Selected MetalWorking Employment,  Heat treating of metals for production purposes",Plant and Equipment,28.13%,33.09%,0.00%
1587,RCPT_FOOD_CNTRC_REC,00221,"Contract Feeding,  Stadiums, clubs, and other recreation and amusement facilities",All Other Non-current Assets,28.10%,33.06%,0.00%
1588,PERMBUILDNUM,00022,Permit Building Number - Building number of permit,Employer Identification Number,28.09%,29.51%,20.00%
1589,PAY_ANN_LSD_WHOLESALE,00107,Leased Annual Payroll from Wholesale Clients,Other Recurring Non-operating Income,28.07%,33.02%,0.00%
1590,ORE_COPPER_COPPER,00214,"Quantity of Copper produced,  Copper",Inventories,28.07%,33.03%,0.00%
1591,EMP_MAR12_LSD_TRANS_WARE,00001,Q1 LEASED EMPLOYMENT FOR TRANSPORTATION AND WAREHOUSE CLIENTS,Is this your company's industry - yes/no,28.06%,33.02%,0.00%
1592,MRCH_ECOMMERCE_DVAL,00223,sum of ecommerce merchadise lines,Total Assets,28.06%,33.01%,0.00%
1593,HQNOTES,00206,Notes section within the SOMA where FRs can send a direct note to the survey sponsor.,Commercial and Finance Company paper of US issuers,28.05%,32.99%,0.00%
1594,SAMPLE_SOURCE,00022,"""AIES"" = ENT ID was found in AIES proablity sample file, ""OTHER"" - ENT was not found in AIES proability but was selected based on other criteria",Employer Identification Number,28.05%,33.00%,0.00%
1595,COST_SUBCONTRACT,00121,Work done for you by others on your materials (work contracted to others),Other Credits to Retained Earning,28.03%,32.98%,0.00%
1596,COST2,00223,How many units available at second cost?,Total Assets,28.00%,32.94%,0.00%
1597,ENT_TYP_TXT,PACDE,Indicates single unit or multi unit with values of 'SU' or 'MU',Size code directly related to (and derived from) total assets.,27.98%,32.92%,0.00%
1598,COST4U3B0INT4,00084,"Fourth Interview, Coop, 0 Bedrms, Cost #4",EI for addition 4,27.96%,32.90%,0.00%
1599,RCPT_CONTRACT_GOV,00211,"Contract Work done by customer in Puerto Rico,  Commonwealth or Territorial government",Trade Receivables from the U.S. Government,27.95%,31.12%,10.00%
1600,TELEMEDICINE_SER,00110,Receive Revenues from telemedicine services,Nonoperating expenses and income,27.94%,32.87%,0.00%
1601,COST_CONTRACT,00044,Contract work done for you by others,EI of company who owns,27.94%,32.87%,0.00%
1602,PAT_CARE_IN_HOSP_PCT,00216,"Patient Care,  Inpatient hospital facility services - evaluation and management services, treatment of disease, injury, or deformity by surgical procedures and nonsurgical procedures, etc.",Plant and Equipment,27.94%,32.87%,0.00%
1603,PS_ADJ,00117,Post Stratification/calibration adjustment,Cumulative Effect of Accounting Changes,27.90%,32.83%,0.00%
1604,MEDIA_SUB_INTERNET_PCT,00221,"Subscription Media,  Internet (Include downloads)",All Other Non-current Assets,27.89%,32.82%,0.00%
