,VariableNameA,VariableNameB,descriptionA,descriptionB,similarity_score,Cosine Score,Jaccard Score,result
1214,INV_MAT_BGN,B_RDEXP_DOM_MATERIALS,"Inventories, Materials, supplies, fuels, etc., Beginning of Year",Amount of domestic R&D costs going to materials and supplies,35.67%,37.55%,25.00%,EXPS_RD_DOM_MAT_VAL
1215,COST_AUX_INS,B_ACTIVITYUC_OTHER ,"Auxiliary establishments,  Cost of insurance",Yes/No if domestic unaffiliated companies were involved in any other operating expenses,35.66%,41.95%,0.00%,UNAFFIL_US_EXPS_OTH_STAT
1216,INCOM_LEAS_AUTO_OTH_PCT,B_SALES_TOT_US,"Automobile and light-duty truck leasing services - includes operating and finance leases,  Other","Amount of sales, revenue, and grants from domestic operations",35.66%,41.95%,0.00%,SALES_US_TOT_VAL
1217,PRCH_TEMPSTAF_PY,B_SALES_PCT_SERVICE,Purchased services for temporary staff and leased employees  (Professional Employer Organizations and staffing agencies for personnel)  Prior Year,"Percent of domestic sales, revenues, and grants coming from selling services to customers",35.66%,41.11%,4.76%,SALES_SERVICE_PCT
1218,INV_VAL_LIFO_BGN,O1_OTH_BUS,"Inventories by Valuation Method, Last-in, First-Out (LIFO), Beginnng of Year","Status of the previous business, other than this one, that the first owner started",35.65%,41.94%,0.00%,PREV_BUS_OWN_CODE
1219,RCPT_CUST_LOCTEL_IND_DVAL,B_SALES_PCT_SERVICE,Household Fixed Local Telephony revenue,"Percent of domestic sales, revenues, and grants coming from selling services to customers",35.64%,41.94%,0.00%,SALES_SERVICE_PCT
1220,RCPT_BOOK_PRNT_DVAL,B_SALES_PCT_US_TOT,print books revenue,"Write-in of other sales, revenue, and grant sourcesTotal percent entered from domestic sales questions",35.64%,39.41%,14.29%,SALES_US_TOT_DPCT
1221,INV_RPT_DATE,B_CEASED_DATE_ YEAR ,Inventories: Date reported,Year the business ceased operation,35.63%,41.92%,0.00%,OPSTAT_CEASED_YEAR_DATE
1222,ROBOT_PURCHASE_PY,B_RDEXP_DOM_EQUIPMT,Number of industrial robots PURCHASED for this plant  Prior Year,Amount of domestic R&D costs going to expensed machinery and equipment,35.63%,41.91%,0.00%,EXPS_RD_DOM_EQUIP_VAL
1223,EXPS_BENEFIT_WRKPC_INS,B_EMPNUM_W2_TOTAL,"Benefits Paid, Workers' compensation insurance",Total number of W2 paid employees and owners,35.63%,39.71%,12.50%,EMP_W2_TOT_DNUM
1224,PRCH_TRANS_DRIVERS,B_SALES_TOT_US,"Purchased Transportation,  Lease and rental payments for trucks and other motor vehicles with drivers","Amount of sales, revenue, and grants from domestic operations",35.60%,41.89%,0.00%,SALES_US_TOT_VAL
1225,SOMA_LETTER,"
RESP_TITLE   ",Advanced Letter Information,Contact Information: Title,35.60%,38.35%,20.00%,CERT_TITLE_TXT
1226,PRCH_TRANS_OTHMOTOR,B_EMPNUM_W2_OWNER ,"Purchased Transportation,  Other motor carriers",Number of owners who received a W2 from this business,35.60%,41.88%,0.00%,EMP_W2_OWNER_NUM
1227,INV_FOREIGN_VAL_END,B_CEASED_DATE_ YEAR ,"Inventories, Outside of the United States,  End of Year",Year the business ceased operation,35.58%,39.90%,11.11%,OPSTAT_CEASED_YEAR_DATE
1228,EMP_MAR12_PY,WEMP,"First  Quarter Employment,  Prior Year",Number of employees as of March 12th,35.58%,41.86%,0.00%,EMP_MAR12_NUM
1229,COST_ELEC_RESALE,B_RDEXP_DOM_DEPR,Cost of electricity purchased for resale,Amount of domestic R&D costs going to depreciation on property and equipment,35.58%,41.85%,0.00%,EXPS_RD_DOM_DEPR_VAL
1230,CLASS_FUEL_PUBLIC_YES,B_ACTIVITYUC_SALE ,"Class of Customer,  Did this establishment have public-access fuel pumps?",Yes/No if domestic unaffiliated companies conducted marketing or sales services for this business,35.57%,41.84%,0.00%,UNAFFIL_US_MARKETING_STAT
1231,BENEFIT_PENSION_CON,WZTEMP,Employer's Cost for defined contribution pension plans,Amount of internal research funds allocated to contract employees ,35.56%,41.83%,0.00%,EXPS_RSRCH_CONTRACT_VAL
1232,INCOM_LEAS_XAUTO_OTH_PCT,B_SALES_TOT_US,"Finance leasing services, except automobile and light-duty truck leasing services, Other","Amount of sales, revenue, and grants from domestic operations",35.56%,41.83%,0.00%,SALES_US_TOT_VAL
1233,EMP_MAR12_LSD_RETAIL,B_EMPNUM_UNPAID,Q1 LEASED EMPLOYMENT FOR RETAIL CLIENTS,Number of individuals who did work for the business but were unpaid,35.56%,41.83%,0.00%,EMP_UNPAID_NUM
1234,PAY_ANN_LSD_CONSTRUCT,B_DESIGNOUT ,Leased Annual Payroll from Construction Clients,Yes/No if business provided design for goods that were contracted out,35.55%,41.82%,0.00%,MAN_DESIGNOUT_STAT
1235,MEDIA_SUB_TOT_PCT,EXPNS,"Subscription Media,  Total",Amount of total expenses,35.55%,37.41%,25.00%,EXPS_TOT_VAL
1236,RCPT_ECOMM_COMP_VAL,B_IMPROCESS_INFO,Electronic Commerce (e-commerce) - Computer,Whether the business introduced new or improved methods for information and communication systems,35.54%,41.81%,0.00%,IMPROCESS_INFO_STAT
1237,PROP_MAR12_POD,O1_MAJOR,"Proprietor or Partner by Occupation, Podiatric physicians - licensed practitioners having D.P.M. degree",Field of the highest degree achieved by the first owner prior to owning this business,35.52%,40.53%,7.14%,EDU_CODE
1238,JOINT_COMPANY_ADDR_ZIP_2,B_OWNERNUM,Investors: ZIP Code of Company Investor 2,Number of owners of the business,35.52%,41.79%,0.00%,OWNER_NUM_STAT
1239,RENT_PAY_BUILD_PY,CPSTR,Payments for Rental or lease of buildings and other structures  Prior Year,Total capital expenditures for research operations that went towards buildings and land improvement,35.51%,40.42%,7.69%,CAPEX_RSRCH_BUILD_VAL
1240,PAT_CARE_LAB_HEALTH_PCT,B_COLLABG_ENGAGED,"Patient Care, Laboratory services paid by other health care providers",Yes/No if business exchanged personnel with federal laboratories,35.51%,41.78%,0.00%,COLLABG_ENGAGED_STAT
1241,MINE_HERE,B_MANACTIVITY ,Did you mine the materials used to manufacture the products reported at this location?,Yes/No if business manufactured goods in the US,35.51%,41.78%,0.00%,MAN_US_STAT
1242,CERT_DATE_FROM_YEAR,EXTERNALCPA,"Certification,  Year covered by this report (from)","Did this company retain an external Certified Public Accountant to conduct an audit, review, or compilation of its financial statements",35.48%,41.74%,0.00%,CPA_EXTRN_RETAIN_CODE
1243,PHYSLOC_ADDR_STREET_TXT,"
RESP_TITLE   ",Physical Address: Number and Street,Contact Information: Title,35.47%,41.72%,0.00%,CERT_TITLE_TXT
1244,PREV_OWN_ADDR_ZIP_NUM,O1_NAME_TITLE,New Establishment: Former Ownership ZIP Code,Name of first owner,35.45%,41.70%,0.00%,OWNER1_NAME
1245,RCPT_ECOMM_HOTEL_OWN3RD_VAL,B_OWNERNUM,Hotel Management Owned by Others: Revenue from electronic sources,Number of owners of the business,35.44%,41.70%,0.00%,OWNER_NUM_STAT
1246,PAY_ANN_LSD_ACCOMM,B_OPEXPENSE ,Leased Annual Payroll for Accommodations Clients,Total domestic operating expenses,35.42%,41.67%,0.00%,EXPS_TOT_VAL
1247,EXPS_SUPPLY_MED_VAL,B_COOP,Medical Supplies,"Suppliers of equipment, materials, components, or software outside your business group ",35.41%,41.66%,0.00%,COOP_PARTNER_LOC_CHKBOX
1248,ROOM_RENT_TOT,EXPNS,"Accomodations,  Number of rooms, units, or quarters Total",Amount of total expenses,35.41%,39.13%,14.29%,EXPS_TOT_VAL
1249,RCPT_PAT_NET_DVAL,ZCLNZP,Patient Care Revenue,Amount of internal research funds allocated to medical clinical trials,35.40%,41.65%,0.00%,EXPS_RSRCH_MEDTRIAL_PCT
1250,ROBOT_ACTIVE_WRTIN,AIENVSAFETY,Number of industrial robots IN OPERATION at this plant write-in description,What extent did this company use artificial intelligence (including machine learning algorithms in software applications) to support production scheduling and monitoring       ,35.39%,41.64%,0.00%,AI_ENVIRON_SAFETY_CODE
1251,TRUCKTRAC_NUM_TOT_DVAL,B_RDEXP_DOM_EQUIPMT,"Inventories:_x000D_
Total Truck-tractors",Amount of domestic R&D costs going to expensed machinery and equipment,35.37%,41.61%,0.00%,EXPS_RD_DOM_EQUIP_VAL
1252,OPSTAT_ADDR_ZIP,O1_HISP,"Operational Status,  New owner/operator,  ZIP Code","Whether the first owner is Hispanic, Latino, or Spanish",35.36%,39.84%,10.00%,OWNER_ETHNICITY_CODE
1253,PRCH_TEMPSTAF,B_COOP,Purchased services for temporary staff and leased employees  (Professional Employer Organizations and staffing agencies for personnel),Companies that are the clients or customers outside the business group,35.36%,41.60%,0.00%,COOP_PARTNER_LOC_CHKBOX
1254,EMP_MAR12_LSD_ARTS,B_EMPNUM_UNPAID,Q1 LEASED EMPLOYMENT FROM ARTS AND ENTERTAINMENT CLIENTS,Number of individuals who did work for the business but were unpaid,35.34%,41.57%,0.00%,EMP_UNPAID_NUM
1255,COST9,B_RDEXP_DOM_EQUIPMT,How many units available at ninth cost?,Amount of domestic R&D costs going to expensed machinery and equipment,35.33%,41.57%,0.00%,EXPS_RD_DOM_EQUIP_VAL
1256,VER_NUM_UNITS,B_OWNERNUM,Verify Number of Units in building,Number of owners of the business,35.33%,38.03%,20.00%,OWNER_NUM_STAT
1257,EXPS_FRNG_BENEFIT_VAL,B_RDEXP_DOM_EMPL,Employer's Cost for Fringe Benefits,"Amount of domestic R&D costs going to salaries, wages, and benefits",35.29%,38.99%,14.29%,EXPS_RD_DOM_EMP_VAL
1258,RCPT_MOTR_PHARM_PCT,B_CONTRACTIN_TYPE ,Analysis of Motor Carrier Operations: Pharmaceutical and chemical products,Types of companies that this business performed manufacturing for,35.28%,41.50%,0.00%,MAN_CONTRACTIN_CHKBOX
1259,RCPT_PRDSHIP_GOV,B_MANACTIVITY ,"Value of product shipped by customer in Puerto Rico,  Commonwealth or Territorial government",Yes/No if business manufactured goods in the US,35.28%,41.51%,0.00%,MAN_US_STAT
1260,PAY_FORGE,B_CONTRACTOUT_TYPE,"Steel Mill Department Wages, Forging (presses, hammers, or upsetter), excluding manufacture of nuts, bolts, etc.",Type of companies that manufacturing was contracted out to ,35.28%,41.51%,0.00%,MAN_CONTRACTOUT_CHKBOX
1261,RCPT_NEWS_ONLINE_DVAL,B_SALES_PCT_OTH,online newspapers revenue,"Percent of domestic sales, revenues, and grants coming from selling services to customers",35.26%,41.48%,0.00%,SALES_OTH_PCT
1262,PROP_MAR12_CHIRO,O1_MAJOR,"Proprietor or Partner by Occupation, Chiropractic physicians - licensed practitioners having D.C. degree",Field of the highest degree achieved by the first owner prior to owning this business,35.26%,40.22%,7.14%,EDU_CODE
1263,EMP_MAR12_LSD_CONSTRUCT,EMPC,Q1 LEASED EMPLOYMENT FOR CONSTRUCTION CLIENTS,Number of contract employes working on research activities,35.25%,41.48%,0.00%,EMP_RSRCH_CONTRACT_NUM
1264,ROBOT_PURCHASE_WRTIN,B_PATENT_OWNED ,Number of industrial robots PURCHASED for this plant write-in description,Number of patents owned,35.24%,39.25%,12.50%,PATENT_OWNED_NUM
1265,RCPT_CONTRACT_FED,B_DESIGNOUT ,"Contract Work done by customer in Puerto Rico,  Federal government",Yes/No if business provided design for goods that were contracted out,35.23%,41.44%,0.00%,MAN_DESIGNOUT_STAT
1266,EMP_MAR12_LSD_MGMT,EMPC,Q1 LEASED EMPLOYMENT FOR MANAGEMENT CLIENTS,Number of contract employes working on research activities,35.23%,41.44%,0.00%,EMP_RSRCH_CONTRACT_NUM
1267,ASSET_OTHACQ_VAL,EXPNS,gross value of acqu and additions,Amount of total expenses,35.22%,41.44%,0.00%,EXPS_TOT_VAL
1268,ROBOT_ACTIVE,AIQUALC,Number of industrial robots IN OPERATION at this plant,What extent did this company use artificial intelligence (including machine learning algorithms in software applications) to support equipment maintenance                                                       ,35.20%,41.41%,0.00%,AI_QUAL_CTRL_CODE
1269,EXT_DATE,RESP_PHONE_EXT ,Survey Time Extension granted,Contact Information: Extension,35.17%,38.44%,16.67%,CERT_EXTENSION_NUM
1270,INV_VAL_NLIFO_TOT_END,EXPNS,"Inventories by Valuation Method, Total Non-LIFO methods,  End of Year",Amount of total expenses,35.16%,39.60%,10.00%,EXPS_TOT_VAL
1271,RCPT_WORKCOMP_VAL,B_EMPNUM_W2_TOTAL,Net patient revenues from government payers: Workers' Compensation,Total number of W2 paid employees and owners,35.13%,41.33%,0.00%,EMP_W2_TOT_DNUM
1272,EMP_MAR12_LSD_ADMIN,B_EMPNUM_UNPAID,Q1 LEASED EMPLOYMENT FROM ADMIN AND SUPPORT SERVICES CLIENTS,Number of individuals who did work for the business but were unpaid,35.11%,41.30%,0.00%,EMP_UNPAID_NUM
1273,OPSTAT_START_DATE,B_CEASED_MONTH,Operational Status: Temporarily or seasonally inactive start,Month the business ceased operation,35.11%,41.30%,0.00%,OPSTAT_CEASED_MONTH_DATE
1274,RCPT_MEDICARE_VAL,B_RDFUND_US_FEDGOV_SHARE,Net patient revenues from government payers: Medicare,Federal agency paying the most R&D costs,35.08%,41.27%,0.00%,FUNDS_RD_US_AGENCY_STAT
1275,CERT_DATE_FROM_MONTH,EXTERNALCPA,"Certification, Month covered by this report (from)","Did this company retain an external Certified Public Accountant to conduct an audit, review, or compilation of its financial statements",35.07%,41.26%,0.00%,CPA_EXTRN_RETAIN_CODE
1276,RENT_PAY_AUX_BUILD,B_SALES_TOT_US,"Auxiliary establishments,  Lease and rental payments for land, buildings, structures, store spaces, and offices","Amount of sales, revenue, and grants from domestic operations",35.05%,41.24%,0.00%,SALES_US_TOT_VAL
1277,RCPT_PRDSHIP_OTH,B_ACTIVITYUFC_LOG ,"Value of product shipped by customer in Puerto Rico,  Other customers",Yes/No if foreign affiliated companies conducted distribution and logistics for this business,35.04%,41.22%,0.00%,AFFIL_NONUS_LOGSTC_STAT
1278,PAY_ANN_LSD_UTIL,B_OPEXPENSE ,Leased Annual Payroll from Utility Clients,Total domestic operating expenses,35.04%,41.22%,0.00%,EXPS_TOT_VAL
1279,RCPT_CUST_SUBLIN_IND_PCT,B_REV ,"Class of Customer: Subscriber Line Charges, Individual",Types of customers that accounted for 10% or more of total sales,35.02%,41.21%,0.00%,CUST_TYPE_10_PCT_SALES_CHKBOX
1280,RCPT_CUST_NORES_PCT,B_REV ,Class of Customer: Non-residential,Types of customers that accounted for 10% or more of total sales,35.01%,41.19%,0.00%,CUST_TYPE_10_PCT_SALES_CHKBOX
1281,RECORD_STORENUM_TXT,B_OWNERNUM,Store number,Number of owners of the business,35.01%,35.30%,33.33%,OWNER_NUM_STAT
1282,PAY_ANN_LSD_REAL_ESTATE,B_SALES_TOT_US,Leased Annual Payroll from Real Estate Clients,"Amount of sales, revenue, and grants from domestic operations",35.01%,41.19%,0.00%,SALES_US_TOT_VAL
1283,OPSTAT_EIN_NUM,B_SALES_TOT_US,Operational Status: Sold or Leased EIN,"Amount of sales, revenue, and grants from domestic operations",34.99%,41.17%,0.00%,SALES_US_TOT_VAL
1284,DEFNS_SHIPM_NDP_YES_ARCHIVE,B_COLLABG_ENGAGED,Did this establishment ship national defense related products?,Yes/No if business exchanged personnel with federal laboratories,34.99%,41.17%,0.00%,COLLABG_ENGAGED_STAT
1285,JOINT_COMPANY_ADDR_STREET_5,O4_NAME_TITLE,"Investors,  Street Address of Company Investor 5",Name of fourth owner,34.99%,41.16%,0.00%,OWNER4_NAME
1286,RCPT_CUST_LNGTEL_IND_PCT,B_FREQCSM,"Class of Customer: Fixed Long-distance Telephony, Individual",How frequently customer satisfaction is monitored by this business,34.98%,38.95%,12.50%,CUST_SATISFACT_FREQ_CODE
1287,SAMPLE_ID_TYP,O1_OTH_BUS_WIN,"0= MU enterprise, 1 = SU establishment",Other status of the previous business Owner 1 started most recently,34.93%,41.09%,0.00%,PREV_BUS_OWN_TXT
1288,RCPT_CLIENT_U_OTH,B_REV ,"Class of Customer, Other Utilities",Types of customers that accounted for 10% or more of total sales,34.89%,41.05%,0.00%,CUST_TYPE_10_PCT_SALES_CHKBOX
1289,INCOM_UNIT_BROK_DEAL_PCT,B_CONTRACTIN_TYPE ,"Brokering and Dealing Products, Dealing products",Types of companies that this business performed manufacturing for,34.89%,41.04%,0.00%,MAN_CONTRACTIN_CHKBOX
1290,PROD_WRTIN_9000000031,B_SALES_PCT_US_TOT,"The description for Other revenue, not elsewhere classified based on specific template category","Write-in of other sales, revenue, and grant sourcesTotal percent entered from domestic sales questions",34.88%,39.43%,9.09%,SALES_US_TOT_DPCT
1291,COMPUTER_SALE_RE_HWARE_PCT,B_RD_MACHINE,"Computer System Integration, Resale of purchased computer hardware","Yes/No if business engaged in acquisition of machinery, equipment, or other tangible assets",34.87%,41.02%,0.00%,RD_MACHINE_STAT
1292,RCPT_MEDICAID_VAL,B_RDFUND_US_FEDGOV_SHARE,Net patient revenues from government payers: Medicaid,Federal agency paying the most R&D costs,34.87%,41.02%,0.00%,FUNDS_RD_US_AGENCY_STAT
1293,RCPT_PAT_IN_PCT,B_SALES_PCT_SERVICE,Inpatient/Outpatient Revenue: Inpatient care services,"Percent of domestic sales, revenues, and grants coming from selling services to customers",34.85%,39.53%,8.33%,SALES_SERVICE_PCT
1294,RCPT_PER_PRNT_PCT,B_SALES_PCT_US_TOT,Source of Periodical Revenue: Print,"Write-in of other sales, revenue, and grant sourcesTotal percent entered from domestic sales questions",34.84%,38.79%,12.50%,SALES_US_TOT_DPCT
1295,INCOM_AFT_INCOM_TAX_VAL,O1_PRIM_SRC_INCOM,Income (loss) before extraordinary items and cumulative effect of accounting changes,"Yes/No if the business provided the first owner's primary source of persStatus of the previous business, other than this one, that the first owner startedonal income",34.84%,39.81%,6.67%,PRIM_SRC_INCOM_CODE
1296,IA_PAPER_TYPOP_SELFDSG_14,B_COOP,IA TYPOP Code - Own-brand importer and marketer,"Suppliers of equipment, materials, components, or software outside your business group ",34.84%,40.99%,0.00%,COOP_PARTNER_LOC_CHKBOX
1297,RESP_BSTTIME,"RESP_PHONE_AREA_CODE
RESP_PHONE_PREFIX, RESP_PHONE_SUFFIX, ",Best time to contact agent.,Contact Information: Phone,34.84%,38.05%,16.67%,CERT_PHONE_NUM
1298,PAT_DSCHG_NUM,WEMP,Number of patient discharges,Number of employees as of March 12th,34.83%,36.56%,25.00%,EMP_MAR12_NUM
1299,RCPT_CUST_RES_PCT,B_REV ,Class of Customer: Residential,Types of customers that accounted for 10% or more of total sales,34.82%,40.97%,0.00%,CUST_TYPE_10_PCT_SALES_CHKBOX
1300,PAY_ANN_LSD_OTH_P,B_COOP,Leased Annual Payroll from Other Clients,Companies that are the clients or customers outside the business group,34.82%,39.00%,11.11%,COOP_PARTNER_LOC_CHKBOX
1301,PAY_ANN_LSD_EDU,WZWAGE,Leased Annual Payroll from Educational Clients,Amount of internal research funds allocated to payroll for internal employees,34.81%,38.99%,11.11%,EXPS_RSRCH_PAYROLL_VAL
1302,PAY_ANN_LSD_ADMIN,B_OPEXPENSE ,Leased Annual Payroll for Adminstrative Clients,Total domestic operating expenses,34.81%,40.96%,0.00%,EXPS_TOT_VAL
1303,EXPS_BENEFIT_AH,B_RDEXP_DOM_EMPL,"Benefits Paid, Health insurance and hospital and medical service plans","Amount of domestic R&D costs going to salaries, wages, and benefits",34.80%,39.34%,9.09%,EXPS_RD_DOM_EMP_VAL
1304,EXPS_EHR_VAL,B_WORLDEXP_TOTAL ,Electronic Health Records: Expenses,Total worldwide operating expenses,34.79%,38.41%,14.29%,EXPS_WORLD_TOT_VAL
1305,REFERRAL_INDICATOR,RESP_CONTACT_NAME ,Referral from PEGA,Contact Information: Name,34.79%,40.93%,0.00%,CERT_NAME_TXT
1306,LIAB_CUR_OTH_LLOAN_IN_BND,B_CRDSRC_OTHER_WIN,"Current portion of long-term debt - Other long-term loans, including bonds and debentures",Write-in of what lenders the business applied for new credit with ,34.78%,40.92%,0.00%,CREDIT_SRCS_OTH_WRTIN_TXT
1307,PAY_ANN_LSD_PROF,WZTEMP,Leased Annual Payroll from Professional Clients,Amount of internal research funds allocated to contract employees ,34.75%,40.89%,0.00%,EXPS_RSRCH_CONTRACT_VAL
1308,LIAB_CUR_OTH_LLOAN_EX_BND,B_CRDSRC_OTHER_WIN,"Current portion of long-term debt - Other long-term loans, excluding bonds and debentures",Write-in of what lenders the business applied for new credit with ,34.73%,40.86%,0.00%,CREDIT_SRCS_OTH_WRTIN_TXT
1309,NONPROFT_STAT,B_RDTAX_STATE,Tax Status,The state in which the business filed for a tax credit for increasing research activities,34.72%,38.33%,14.29%,RSRCH_TAXCRED_ST
1310,MAIL_ADDR_STREET_TXT,RESP_EMAIL  ,Mailing Street,Contact Information: Email,34.72%,40.85%,0.00%,CERT_EMAIL_TXT
1311,ASSET_TRADE_REC_INC_GOV_VAL,B_SALES_TOT ,Trade accounts and trade receivables including government,"Amount of worldwide and domestic sales, revenue, and grants",34.72%,40.84%,0.00%,RCPT_ALL_TOT_VAL
1312,RENT_MINPROP,B_OPEXPENSE ,Lease rents for mineral properties for this domestic reporting unit,Total domestic operating expenses,34.70%,39.06%,10.00%,EXPS_TOT_VAL
1313,HOUSE_MULT_UNITS,B_OWNERNUM,"Multifamily homes started,  Number of Housing Units (total individual units of all multifamily buildings started)",Number of owners of the business,34.70%,39.05%,10.00%,OWNER_NUM_STAT
1314,TAX_DOM_NOPROV_TXT,B_OPEXPENSE ,Please explain briefly why there were no tax provisions for current and deferred domestic income taxes,Total domestic operating expenses,34.70%,39.35%,8.33%,EXPS_TOT_VAL
1315,LIAB_OTH_LLOAN_EX_BND,B_CRDSRC_OTHER_WIN,"Long-term debt - Other long-term loans, excluding bonds and debentures",Write-in of what lenders the business applied for new credit with ,34.69%,40.81%,0.00%,CREDIT_SRCS_OTH_WRTIN_TXT
1316,RCPT_PRDSHIP_VI,B_ACTIVITYUFC_LOG ,"Value of product shipped by customer location, Virgin Islands",Yes/No if foreign affiliated companies conducted distribution and logistics for this business,34.67%,40.79%,0.00%,AFFIL_NONUS_LOGSTC_STAT
1317,EMP_MAR12_LSD_EDU,B_RD_TRAINING,Q1 LEASED EMPLOYMENT FROM EDUCATION CLIENTS,Yes/No if business engaged in employee training,34.66%,40.78%,0.00%,RD_TRAINING_STAT
1318,RCPT_LNGTEL_VAL,B_EXPCOST_INTEL,Total Fixed Long-Distance Telephony Revenue,R&D capital expenditures for IP,34.66%,40.78%,0.00%,CAPEX_RD_OPS_INTEL_VAL
1319,COST_NTLGAS_RESALE,B_RDEXP_DOM_SUM,Cost of natural gas purchased for resale,Total amount of domestic R&D costs ,34.64%,40.75%,0.00%,EXPS_RD_DOM_TYP_TOT_DVAL
1320,PHYSLOC_ADDR_NAME1_TXT,"
RESP_TITLE   ",New Establishment Physical Address: Name1,Contact Information: Title,34.62%,40.73%,0.00%,CERT_TITLE_TXT
1321,RCPT_MOTR_FUEL_PCT,B_CONTRACTIN_TYPE ,Analysis of Motor Carrier Operations: Coal and petroleum products,Types of companies that this business performed manufacturing for,34.60%,40.71%,0.00%,MAN_CONTRACTIN_CHKBOX
1322,DIST_LRN_CLNT_FAC_PCT,B_EMPTRAIN,"Modes of Instruction, Instructor-led learning at client's facility",The areas covered by employee training,34.56%,40.66%,0.00%,EMP_TRAIN_AREA_CHKBOX
1323,COMPANYBESTTIME,"
RESP_TITLE   ",Best time for the Company Contact,Contact Information: Title,34.54%,37.70%,16.67%,CERT_TITLE_TXT
1324,RCPT_ADMSNS_PCT,B_COOP,"Admissions to events, theater, games, etc.",Universities or other higher education institutions ,34.53%,40.62%,0.00%,COOP_PARTNER_LOC_CHKBOX
1325,IA_PAPER_TYPOP_SELFDSG_20,B_COOP,IA TYPOP Code - Manufacturers' sales branch or office,"Suppliers of equipment, materials, components, or software outside your business group ",34.52%,40.61%,0.00%,COOP_PARTNER_LOC_CHKBOX
1326,REVENUE_INST,B_SALES_PCT_US_TOT,QSS revenue instructions based on NAICS,"Write-in of other sales, revenue, and grant sourcesTotal percent entered from domestic sales questions",34.50%,38.63%,11.11%,SALES_US_TOT_DPCT
1327,RCPT_PRDSHIP_CLASS_TOT,B_SALES_PCT_OTH_WIN,"Value of product shipped by customer in Puerto Rico,  Total",Total percent entered from domestic sales questions,34.50%,38.82%,10.00%,SALES_OTH_WRTIN_TXT
1328,PRCH_ADVERT,B_ACTIVITYUC_SALE ,Purchased advertisments,Yes/No if domestic unaffiliated companies conducted marketing or sales services for this business,34.49%,40.58%,0.00%,UNAFFIL_US_MARKETING_STAT
1329,INCOM_UNIT_B_OR_D_TOT_PCT,B_CONTRACTIN_TYPE ,"Brokering and Dealing Products, Total Dealing and Brokering products",Types of companies that this business performed manufacturing for,34.46%,40.54%,0.00%,MAN_CONTRACTIN_CHKBOX
1330,TRUCK_NUM_TOT_DVAL,B_RDEXP_DOM_EQUIPMT,"Inventories:_x000D_
Total Trucks",Amount of domestic R&D costs going to expensed machinery and equipment,34.46%,40.55%,0.00%,EXPS_RD_DOM_EQUIP_VAL
1331,RETAIN_EARN_VAL,EXTERNALCPA,Retained earnings,"Did this company retain an external Certified Public Accountant to conduct an audit, review, or compilation of its financial statements",34.46%,40.54%,0.00%,CPA_EXTRN_RETAIN_CODE
1332,HOURS_MINEWRK,B_WORKHOME_PCT_FIVE ,Worker hours at mine or pit,Percent of workers that worked from home five or more days per weTotal percent entered from work from home questionsek,34.44%,40.51%,0.00%,WORK_HOME_FIVE_PCT
1333,COST11,B_RDEXP_DOM_EQUIPMT,How many units available at eleventh cost?,Amount of domestic R&D costs going to expensed machinery and equipment,34.44%,40.51%,0.00%,EXPS_RD_DOM_EQUIP_VAL
1334,LIAB_OTH_LLOAN_IN_BND,B_CRDSRC_OTHER_WIN,"Long-term debt - Other long-term loans, including bonds and debentures",Write-in of what lenders the business applied for new credit with ,34.43%,40.50%,0.00%,CREDIT_SRCS_OTH_WRTIN_TXT
1335,RCPT_BOOK_OTH_PCT,B_SALES_PCT_US_TOT,Source of Book Revenue: Other media,"Write-in of other sales, revenue, and grant sourcesTotal percent entered from domestic sales questions",34.41%,38.27%,12.50%,SALES_US_TOT_DPCT
1336,INV_E_STDCOST_VAL,B_EXPCOST_EQUIP,"Inventory Valuation Methods: CY, Standard Cost",R&D capital expenditures for equipment,34.40%,40.48%,0.00%,CAPEX_RD_OPS_EQUIP_VAL
1337,EXPS_ELEC_VAL,B_RDEXP_DOM_OTHER ,Cost of electricity,Amount of domestic R&D costs going to all other costs,34.34%,40.40%,0.00%,EXPS_RD_DOM_OTH_VAL
1338,ASKROW3,WZOH_TOT,Flag to determine of third row of COST variables needs to be asked,Total amount of internal research funds by cost category,34.32%,38.91%,8.33%,EXPS_RSRCH_COST_TOT_DVAL
1339,EXPS_BENEFIT_OTHPRPCAS,B_RDEXP_DOM_EMPL,"Benefits Paid, All other activities (i.e., life, accident and health, and hospital and medical service plans, including reinsurance)","Amount of domestic R&D costs going to salaries, wages, and benefits",34.28%,39.15%,6.67%,EXPS_RD_DOM_EMP_VAL
1340,RCPT_PRDSHIP_HOUSE,B_SALES_PCT_GOODS,"Value of product shipped by customer in Puerto Rico,  Household consumers","Percent of domestic sales, revenues, and grants coming from selling goods to customers",34.28%,40.33%,0.00%,SALES_GOODS_PCT
1341,RCPT_MOTR_USEDGD_PCT,B_TYPS_WRKS,Analysis of Motor Carrier Operations: Used household and office good,Types of workers that were used by the business,34.26%,38.70%,9.09%,WRKR_TYPE_CHKBOX
1342,INV_PY_MAT_VAL,B_INNOV_GOODS,"Inventories: Materials, Prior Year",Whether the business introduced new or improved goods,34.26%,40.31%,0.00%,NEW_IMPROVE_GOODS_STAT
1343,PAY_ROLL_PIPE,B_EMPNUM_W2_TOTAL,"Steel Mill Department Wages, Pipe mills",Total number of W2 paid employees and owners,34.26%,40.31%,0.00%,EMP_W2_TOT_DNUM
