,MDR's Variable,Variable Source,MDR's Description,Source's Description,similarity_score,Actual MDR's Variable
1499,TAX_DOM_VAL,B_SALES_PCT_US_TOT,Provision for current and deferred domestic income taxes,"Write-in of other sales, revenue, and grant sourcesTotal percent entered from domestic sales questions",40.00%,SALES_US_TOT_DPCT
1500,TOTU3INT3,O3_PCT_OWNED ,"Total Coop Units, Third Intv",Percent owned by third owner,40.00%,OWNER3_PCT
1501,PRCH_TRANS_COST_WATER,B_IMPROCESS_LOG ,"Purchased Transportation,  Water carrier","Whether the business introduced new or improved methods for logistics, delivery or distribution methods",39.90%,IMPROCESS_LOG_STAT 
1502,RETAIN_EARN_END_VAL,FYEND_MONTH,Retained earnings at end of quarter,Month that fiscal year ends ,39.90%,FY_END_DATE
1503,INCOM_LOAN_GOV_INT_PCT,B_EXPCOST_BLDG,"Loan Products Income, Loans to governments, Interest",R&D capital expenditures for buildings and land imp R&D capital expenditures for equipmentrovement,39.90%,CAPEX_RD_OPS_BLDG_VAL
1504,AG_NAPCS_WRITIN3,B_COOP,AG NAPCS Product and Service Write-in,"Suppliers of equipment, materials, components, or software outside your business group ",39.90%,COOP_PARTNER_LOC_CHKBOX
1505,HOUSE_SNGL_ATTACH_SALE,O1_OTH_BUS_WIN,"Houses built for sale on land you owned,  Number of Attached (single-family homes separated by an unbroken ground to roof wall with separate utility meters: townhomes, duplexes, row-homes)",Other status of the previous business Owner 1 started most recently,39.90%,PREV_BUS_OWN_TXT
1506,RCPT_C_ST_MA,ZSTAT,"Construction Work by State,  Massachusettes",Amount of domestic research funds that came from state and local governments,39.90%,EXPS_RSRCH_ST_LOC_VAL
1507,RCPT_C_ST_CT,B_RDFUND_US_STLOC,"Construction Work by State,  Connecticut",Domestic R&D costs paid by U.S. state or local government,39.90%,FUNDS_RD_US_LOCGOV_VAL
1508,PROD_QTYPRD_CHEMFR_NONE,RESP_REMARKS,"None for the question: If MINE_HERE = 1, report the quantity of chemical and fertilizer minerals, such as barite, rock salt, native sulfur, fluorspar, pyrites, spodumene, mineral pigments, etc. (ore, fines, and concentrates) mined at this mine or pit",Remarks about reported data,39.90%,REMARKS_WRTIN_TXT
1509,EXPS_BENEFIT_OTHPC_INS,O1_OWNER_DISABLE,"Benefits Paid, Other property and liability (casualty) insurance",Disability status of the first owner,39.90%,OWNER_DISABILITY_CODE
1510,RCPT_MOTR_FUEL_PCT,B_IMPROCESS_LOG ,Analysis of Motor Carrier Operations: Coal and petroleum products,"Whether the business introduced new or improved methods for logistics, delivery or distribution methods",39.90%,IMPROCESS_LOG_STAT 
1511,AFFIL_SPL_ADDR_ZIP,RESP_PHONE_EXT ,"Added child establishment,  ZIP Code",Contact Information: Extension,39.80%,CERT_EXTENSION_NUM
1512,RCPT_C_ST_CO,B_RDFUND_US_STLOC,"Construction Work by State,  Colorado",Domestic R&D costs paid by U.S. state or local government,39.80%,FUNDS_RD_US_LOCGOV_VAL
1513,EXPS_SOFTREPR_VAL,B_EXPCOST_TECH,Purchased Software Reproduction,R&D capital expenditures for software,39.80%,CAPEX_RD_OPS_TECH_VAL
1514,RCPT_C_ST_NJ,B_RDFUND_US_STLOC,"Construction Work by State,  New Jersey",Domestic R&D costs paid by U.S. state or local government,39.80%,FUNDS_RD_US_LOCGOV_VAL
1515,RCPT_MOTR_AGR_PCT,B_IMPROCESS_LOG ,Analysis of Motor Carrier Operations: Agricultural products,"Whether the business introduced new or improved methods for logistics, delivery or distribution methods",39.80%,IMPROCESS_LOG_STAT 
1516,EXPS_RPTOT_DVAL,EXPNS,deriving ASM/EC mfg collected total rental payments,Amount of total expenses,39.80%,EXPS_TOT_VAL
1517,RCPT_C_ST_OH,B_RDFUND_US_STLOC,"Construction Work by State,  Ohio",Domestic R&D costs paid by U.S. state or local government,39.70%,FUNDS_RD_US_LOCGOV_VAL
1518,RCPT_PRDSHIP_PR,B_SALES_TOT_US,"Value of product shipped by customer location, Puerto Rico","Amount of sales, revenue, and grants from domestic operations",39.70%,SALES_US_TOT_VAL
1519,AIES_TAXEXEMPT,B_RDTAX_STATE,Indicator if taxable or tax-exempt KAU,The state in which the business filed for a tax credit for increasing research activities,39.70%,RSRCH_TAXCRED_ST
1520,OPERATE_CLNC,B_TYPS_WRKS,Which best describes who operated this retail health clinic?,Types of workers that were used by the business,39.70%,WRKR_TYPE_CHKBOX
1521,PHYSLOC_ADDR_STREET_TXT,"
RESP_TITLE   ",Physical Address: Number and Street,Contact Information: Title,39.70%,CERT_TITLE_TXT
1522,SURVEY_HRS_NUM,B_FREQCSM,Survey Completion Time,How frequently customer satisfaction is monitored by this business,39.70%,CUST_SATISFACT_FREQ_CODE
1523,TOTU3INT2,B_EMPNUM_W2_TOTAL,"Total Coop Units, Second Intv",Total number of W2 paid employees and owners,39.70%,EMP_W2_TOT_DNUM
1524,ORE_LEADZINC_GOLD,B_DIFF_TARGETS,"Quantity of Lead/Zinc produced,  Gold",Amount of effort it took to meet production targets,39.60%,PROD_TARG_EFFORT_CODE
1525,PROD_QTYPRD_PERLT_NONE,RESP_REMARKS,"None for the question: If MINE_HERE = 1, report the quantity of perlite mined and/or beneficiated at this mine or pit",Remarks about reported data,39.60%,REMARKS_WRTIN_TXT
1526,COMPID,B_ACTIVITYUFC_ADMIN ,Company ID used for disclosure avoidance processing,Yes/No if foreign affiliated companies conducted administrative or management functions for this business,39.60%,AFFIL_NONUS_ADMIN_STAT
1527,OPSTAT_OTH_WRTIN_TXT,B_NUMKPI,Operational Status: Other Operational Status Description,Number of key performance indicators monitored by this business ,39.60%,KPI_MONITOR_NUM
1528,EMP_MAR12_POD,B_EMPTRAIN_PCT,"Employment By Occupation, Podiatric physicians - licensed practitioners having D.P.M. degree",Percent of employees that received formal training,39.60%,EMP_TRAIN_PCT
1529,RCPT_NEWS_PRNT_PCT,B_SALES_TOT_US,Source of Newspaper Revenue: Print,"Amount of sales, revenue, and grants from domestic operations",39.60%,SALES_US_TOT_VAL
1530,PATREV_SOCSEC,B_SALES_PCT_GRANT,Patient Care Revenue:  Social Security Benefits - Report direct payment of social security benefits on behalf of patients,"Percent of domestic sales, revenues, and grants coming from selling services to customers",39.60%,SALES_GRANT_PCT
1531,INCOM_EXPS_EXTRAORD_VAL,TCPEX,"Extraordinary gains (losses), net of taxes",Total capital expenditures,39.50%,CAPEX_TOT_VAL
1532,PRCH_ADVERT_PY,O1_ACQ_BUS_YR_DK  ,Purchased advertisments  prior year,Owner 1 does not know when initially acquired ownership of this business,39.50%,O1_ACQ_BUS_YR_CODE
1533,EMP_MAR12_PHYS,TOTSE,"Employment By Occupation, Doctors/Physicians - licensed practitioners having M.D. degree",Number of full-time equivalents working on research activities who were researchers,39.50%,EMP_FTE_RSRCH_NUM
1534,PRCH_OFFICE,B_COOP,Purchased Office supplies,"Suppliers of equipment, materials, components, or software outside your business group ",39.50%,COOP_PARTNER_LOC_CHKBOX
1535,PAT_CARE_ANESTH_PCT,B_COOP,"Patient Care, Anesthesia services",Nonprofit organization ,39.50%,COOP_PARTNER_LOC_CHKBOX
1536,BLDG_TYPE5,B_EXPCOST_BLDG,Fifth Type of Units in Building,R&D capital expenditures for buildings and land imp R&D capital expenditures for equipmentrovement,39.50%,CAPEX_RD_OPS_BLDG_VAL
1537,RCPT_ECOMM_FURNTR_VAL,RESP_BUS_DESC,Electronic Commerce (e-commerce) - Furniture & home furnishings,Primary business activity,39.50%,NAICS_DESC_TXT
1538,EXPS_BENEFIT_AH_REINS,B_RDEXP_DOM_EMPL,"Benefits Paid, Health and medical reinsurance","Amount of domestic R&D costs going to salaries, wages, and benefits",39.50%,EXPS_RD_DOM_EMP_VAL
1539,PROD_QTYPRD_TALSOA_NONE,RESP_REMARKS,"None for the question: If MINE_HERE = 1, report the quantity of talc, soapstone, and pyrophyllite mined and/or beneficiated at this mine or pit",Remarks about reported data,39.40%,REMARKS_WRTIN_TXT
1540,RCPT_C_ST_TX,B_RDFUND_US_STLOC,"Construction Work by State,  Texas",Domestic R&D costs paid by U.S. state or local government,39.40%,FUNDS_RD_US_LOCGOV_VAL
1541,PROP_MAR12_DENTIST,O1_EDUC ,"Proprietor or Partner by Occupation, Dentists - having D.M.D., D.D.S., or D.D.Sc. degree and other dental practitioners (Include hygienists, assistants, and others performing or assisting with dental procedures.)",Highest degree achieved by the first owner prior to owning this business,39.40%,EDU_PREV_OWN_CODE
1542,EMP_WELD_REPAIR,B_CONTRACTIN_TYPE ,"Selected MetalWorking Employment,  Welding repair shop",Types of companies that this business performed manufacturing for,39.40%,MAN_CONTRACTIN_CHKBOX
1543,FOOD_ELECTDEV_SVC_YES,B_IMPROCESS_INFO,"Did this establishment use electronic devices for self-service table orders and/or payment (for example, through the use of a restaurant-provided electronic device at the table)?",Whether the business introduced new or improved methods for information and communication systems,39.40%,IMPROCESS_INFO_STAT
1544,EXPS_TAX_VAL,B_RDFUND_US_THISBUS,Purchased tax and license fees,Domestic R&D costs paid by this business,39.40%,FUNDS_RD_US_OWN_VAL
1545,PAY_ANN_LSD_UTIL,WZWAGE,Leased Annual Payroll from Utility Clients,Amount of internal research funds allocated to payroll for internal employees,39.40%,EXPS_RSRCH_PAYROLL_VAL
1546,TRUCK_NUM_TOT_DVAL,B_EXPCOST_EQUIP,"Inventories:_x000D_
Total Trucks",R&D capital expenditures for equipment,39.30%,CAPEX_RD_OPS_EQUIP_VAL
1547,RCPT_C_ST_CA,B_RDFUND_US_STLOC,"Construction Work by State,  California",Domestic R&D costs paid by U.S. state or local government,39.30%,FUNDS_RD_US_LOCGOV_VAL
1548,INV_E_LIFO_VAL,WZDEPR,LIFO valuation method (gross),Amount of internal research funds allocated to depreciation and amortization of assets,39.30%,EXPS_RSRCH_DEPR_VAL
1549,INV_B_FIFO_VAL,WZDEPR,"Inventory Valuation Methods: PY, FIFO",Amount of internal research funds allocated to depreciation and amortization of assets,39.30%,EXPS_RSRCH_DEPR_VAL
1550,ENT_ID,AFFILWI ,BR ID for the sampled company. MU = EMPUNIT_ID of the parent enterprise. SU= EMPUNIT_ID of the establishment.,Details on affiliated organization ,39.30%,AFFIL_ORG_TXT
1551,PROP_MAR12_MTLHEALTH,B_OPR ,"Proprietor or Partner by Occupation, Licensed/certified mental health service providers, including psychiatric nurses, licensed social workers, counselors and marriage and family therapists; and other mental health service providers without M.D. or D.O. degree",Business operated equally by both spouses or unmarried partners,39.30%,EQUAL_OP_CODE
1552,BLDG_TYPE4,B_EXPCOST_BLDG,Fourth Type of Units in Building,R&D capital expenditures for buildings and land imp R&D capital expenditures for equipmentrovement,39.30%,CAPEX_RD_OPS_BLDG_VAL
1553,PAY_ROLL_PIPE,B_RDEXP_DOM_EMPL,"Steel Mill Department Wages, Pipe mills","Amount of domestic R&D costs going to salaries, wages, and benefits",39.30%,EXPS_RD_DOM_EMP_VAL
1554,RCPT_COMSN_EARN_VAL,B_SALES_PCT_GRANT,Commissions and Fees: Commissions and Selling or Listing fees,"Percent of domestic sales, revenues, and grants coming from selling services to customers",39.30%,SALES_GRANT_PCT
1555,PROFIT_CHG_WEATHERCORP_CODE,TCPEX,Weather Corporation Net Profit Change,Total capital expenditures,39.30%,CAPEX_TOT_VAL
1556,PGM_TYPE1,B_RDFED_BASIC,First Subsidy Program,Federally funded R&D costs for basic research,39.20%,FED_RD_BASIC_VAL
1557,EMP_MAR12_SECURBLDG,B_TYPS_WRKS,"Employment By Occupation, Security, including security patrol, locksmith, monitoring, and investigation; and building services, including janitorial, carpet cleaning, pest control, and landscaping",Types of workers that were used by the business,39.20%,WRKR_TYPE_CHKBOX
1558,PATNT_CARE_CHRONIC,B_NEWCUSTSTART_REASON,"Patient Care Services Offered,  Chronic disease screening, monitoring, and/or management for conditions, such as hypertension, diabetes, high cholesterol, and asthma",Why this new/customized product or service was developed,39.20%,NEW_CUST_PROD_START_REASON_STAT
1559,CLASS_CAPGT60K_NO,B_CEASED_DATE_ YEAR ,"Class of Customer,  Did this establishment have bulk petroleum (automotive gas, diesel, propane, etc.) storage capacity of more than 60,000 gallons?",Year the business ceased operation,39.20%,OPSTAT_CEASED_YEAR_DATE
1560,INCOM_BEF_INCOM_TAX_VAL,EXPNS,Income (loss) before income taxes,Amount of total expenses,39.20%,EXPS_TOT_VAL
1561,EMP_MAR12_LSD_MGMT,WZTEMP,Q1 LEASED EMPLOYMENT FOR MANAGEMENT CLIENTS,Amount of internal research funds allocated to contract employees ,39.10%,EXPS_RSRCH_CONTRACT_VAL
1562,EMP_MAR12_SPEECHPTH,O1_MAJOR_NONSCI_WIN,"Employment By Occupation, Speech-language pathologists",Other non-science and engineering related fields that are not listed,39.10%,EDU_CODE_MAJOR_NONSCI_TXT
1563,EMP_MAR12_LSD_PROF,EMPC,Q1 LEASED EMPLOYMENT FOR PROF SERVICES CLIENTS,Number of contract employes working on research activities,39.10%,EMP_RSRCH_CONTRACT_NUM
1564,BENEFIT_OTH_PY,WZWAGE,Employer's Cost for other benefits   Prior Year,Amount of internal research funds allocated to payroll for internal employees,39.10%,EXPS_RSRCH_PAYROLL_VAL
1565,PAT_CARE_VISIT_PCT,B_FREQCSM,"Patient Care, Visits and consultations - evaluation and management services",How frequently customer satisfaction is monitored by this business,39.10%,CUST_SATISFACT_FREQ_CODE
1566,INV_STAT,B_PATENT_PENDING,Inventories: Status,Number of patent applications pending,39.10%,PATENT_PENDING_NUM
1567,PGM_TYPE4,FEDRD,Fourth Subsidy Program,Amount of domestic research funds that came from the federal government,39.10%,EXPS_RSRCH_FED_VAL
1568,PROP_MAR12_DENT,AFFILWI ,"Proprietor or Partner by Occupation,  Dentists - licensed practitioners having D.M.D., D.D.S., or D.D.Sc. Degree",Details on affiliated organization ,39.00%,AFFIL_ORG_TXT
1569,ORE_COPPER_GOLD,B_DIFF_TARGETS,"Quantity of Copper produced,  Gold",Amount of effort it took to meet production targets,39.00%,PROD_TARG_EFFORT_CODE
1570,PHYSLOC_ADDR_NAME1_TXT,RESP_CONTACT_NAME ,New Establishment Physical Address: Name1,Contact Information: Name,39.00%,CERT_NAME_TXT
1571,ORE_LEADZINC_LEADZINC,B_DIFF_TARGETS,"Quantity of Lead/Zinc produced,  Lead/Zinc",Amount of effort it took to meet production targets,38.90%,PROD_TARG_EFFORT_CODE
1572,WATER_INTAKE,B_IMPROCESS_MAN ,"What was this establishment’s water intake, that is, the quantity of new water introduced into the establishment for the first time, regardless of source or quality",Whether the business introduced new or improved methods for producing goods or providing services,38.90%,IMPROCESS_MAN_STAT
1573,EMP_MAR12_LSD_FINANCE,B_EMPTRAIN,Q1 LEASED EMPLOYMENT FOR FINANCE AND INSURANCE CLIENTS,The areas covered by employee training,38.90%,EMP_TRAIN_AREA_CHKBOX
1574,OPFRAN_FRAN_YES_WRTIN,B_CRDSRC_OTHER_WIN,Franchise tradmark or brand name write-in description,Write-in of what lenders the business applied for new credit with ,38.90%,CREDIT_SRCS_OTH_WRTIN_TXT
1575,BLDG_TYPE1,B_EXPCOST_BLDG,First Type of Units in Building,R&D capital expenditures for buildings and land imp R&D capital expenditures for equipmentrovement,38.90%,CAPEX_RD_OPS_BLDG_VAL
1576,ORE_SILVER_LEADZINC,B_DIFF_TARGETS,"Quantity of Silver produced,  Lead/Zinc",Amount of effort it took to meet production targets,38.80%,PROD_TARG_EFFORT_CODE
1577,PHYSLOC_ADDR,AFFILWI ,Is this establishment’s physical location the same as shown in the mailing address,Details on affiliated organization ,38.80%,AFFIL_ORG_TXT
1578,NEG_INV_B_TOT_DVAL,TCPEX,Negative copy of total inventories,Total capital expenditures,38.80%,CAPEX_TOT_VAL
1579,REMAINING,FTESU,Number of remaining units less any subsidized and transient units.,Number of full-time equivalents working on research activities who were other support personnel ,38.80%,EMP_FTE_SUPPORT_NUM
1580,INCOM_LEAS_XAUTO_FEE_PCT,B_OPEXPENSE ,"Finance leasing services, except automobile and light-duty truck leasing services, Fees",Total domestic operating expenses,38.80%,EXPS_TOT_VAL
1581,COST3,EXPNS,How many units available at third cost?,Amount of total expenses,38.80%,EXPS_TOT_VAL
1582,COST2,EXPNS,How many units available at second cost?,Amount of total expenses,38.80%,EXPS_TOT_VAL
1583,RCPT_C_ST_UT,B_RDFUND_US_STLOC,"Construction Work by State,  Utah",Domestic R&D costs paid by U.S. state or local government,38.80%,FUNDS_RD_US_LOCGOV_VAL
1584,RCPT_REPAIR_PARTS,WZMTR,"Repair Receipts, Parts installed in repair work",Amount of internal research funds allocated to machinery and supplies,38.70%,EXPS_RSRCH_MAT_SUP_VAL
1585,TAX_DOM_FED_NOPROV_TXT,FEDRD,Please explain briefly why there were no tax provisions for current and deferred domestic federal income taxes,Amount of domestic research funds that came from the federal government,38.70%,EXPS_RSRCH_FED_VAL
1586,RCPT_NEWS_PRNT_DVAL,B_SALES_TOT_US,Print newspapers revenue,"Amount of sales, revenue, and grants from domestic operations",38.70%,SALES_US_TOT_VAL
1587,PAY_MINEWRK,B_RDEXP_DOM_EMPL,Wages paid to workers at mine or pit,"Amount of domestic R&D costs going to salaries, wages, and benefits",38.70%,EXPS_RD_DOM_EMP_VAL
1588,EXPS_FUEL_VAL,B_RDEXP_TOT,Cost of fuels,Total cost for R&D activities,38.70%,EXPS_RD_TOT_VAL
1589,RCPT_NEWS_OTH_PCT,B_SALES_PCT_GOODS,Source of Newspaper Revenue: Other media,"Percent of domestic sales, revenues, and grants coming from selling goods to customers",38.70%,SALES_GOODS_PCT
1590,PATNT_CARE_INSURE,B_INNOV_SERV,"Patient Care Services Offered,  Information on health insurance options",Whether the business introduced new or improved services,38.70%,NEW_IMPROVE_SERVICES_STAT
1591,INV_OTHNL_WRTIN_TXT,B_EXPCOST_EQUIP,Inventory Valuation Methods: Specify,R&D capital expenditures for equipment,38.70%,CAPEX_RD_OPS_EQUIP_VAL
1592,RCTP_ECOMM_ADVERT_VAL,B_IMPROCESS_MARKET ,Electronic Commerce (e-commerce) - Advertising,Whether the business introduced new or improved methods for marketing methods,38.70%,IMPROCESS_MARKET_STAT
1593,ORE_SILVER_SILVER,B_DIFF_TARGETS,"Quantity of Silver produced,  Silver",Amount of effort it took to meet production targets,38.70%,PROD_TARG_EFFORT_CODE
1594,ORE_LEADZINC_SILVER,B_DIFF_TARGETS,"Quantity of Lead/Zinc produced,  Silver",Amount of effort it took to meet production targets,38.60%,PROD_TARG_EFFORT_CODE
1595,BED1U3,CPSTR,Total 1 bedrooms for Type 3,Total capital expenditures for research operations that went towards buildings and land improvement,38.60%,CAPEX_RSRCH_BUILD_VAL
1596,ORE_COPPER_COPPER,B_DIFF_TARGETS,"Quantity of Copper produced,  Copper",Amount of effort it took to meet production targets,38.60%,PROD_TARG_EFFORT_CODE
1597,CLNC_CHSE_MEAS_INS,B_NUMKPI,Measures of Clinical Performance - Who chooses which measures of clinical performance to collect - Insurance providers?,Number of key performance indicators monitored by this business ,38.60%,KPI_MONITOR_NUM
1598,RCPT_PAT_IN_DVAL,B_COOP,Inpatient Care Services,Nonprofit organization ,38.60%,COOP_PARTNER_LOC_CHKBOX
1599,PROD_QTYPRD_DIATOM_NONE,RESP_REMARKS,"None for the question: If MINE_HERE = 1, report the quantity of diatomite, mined and/or beneficiated at this mine or pit",Remarks about reported data,38.60%,REMARKS_WRTIN_TXT
1600,EMP_MAR12_LSD_AGRICULTURE,B_CONTRACTOUT_TYPE,Q1 LEASED EMPLOYMENT FROM AGRICULTURAL CLIENTS,Type of companies that manufacturing was contracted out to ,38.50%,MAN_CONTRACTOUT_CHKBOX
1601,PHYSLOC_ADDR_NAME2_TXT,RESP_CONTACT_NAME ,New Establishment Physical Address: Name2,Contact Information: Name,38.50%,CERT_NAME_TXT
1602,BED4U4,O4_PCT_OWNED ,Total 3 bedrooms for Type 4,Percent owned by fourth owner,38.50%,OWNER4_PCT
1603,RCPT_C_ST_GA,B_CONTRACTOUT_TYPE,"Construction Work by State,  Georgia",Type of companies that manufacturing was contracted out to ,38.50%,MAN_CONTRACTOUT_CHKBOX
1604,RCPT_ECOMM_DRUGS_VAL,B_IMPROCESS_LOG ,"Electronic Commerce (e-commerce) - Drugs, health & beauty aids","Whether the business introduced new or improved methods for logistics, delivery or distribution methods",38.50%,IMPROCESS_LOG_STAT 
1605,INV_PY_LIFO_VAL,WZDEPR,Inventory Valuation Methods: PY LIFO,Amount of internal research funds allocated to depreciation and amortization of assets,38.50%,EXPS_RSRCH_DEPR_VAL
1606,IA_PAPER_TYPOP_SELFDSG_41,"RESP_PHONE_AREA_CODE
RESP_PHONE_PREFIX, RESP_PHONE_SUFFIX, ",IA TYPOP Code - Auction company,Contact Information: Phone,38.50%,CERT_PHONE_NUM
1607,RETAIN_EARN_BGN_VAL,FYEND_MONTH,Retained earnings at beginning of quarter,Month that fiscal year ends ,38.50%,FY_END_DATE
1608,EMP_MAR12_LSD_UTIL,B_TYPS_WRKS,Q1 LEASED EMPLOYMENT FOR UTILITY CLIENTS,Types of workers that were used by the business,38.50%,WRKR_TYPE_CHKBOX
1609,INCOM_LEAS_AUTO_TOT_PCT,B_COOP,"Automobile and light-duty truck leasing services - includes operating and finance leases,  Total","Suppliers of equipment, materials, components, or software outside your business group ",38.50%,COOP_PARTNER_LOC_CHKBOX
1610,INV_CY_TOT_DVAL,TCPEX,Inventory Valuation Methods: CY LIFO and non-LIFO,Total capital expenditures,38.40%,CAPEX_TOT_VAL
1611,EXPS_BENEFIT_PRDPC_INS,B_RDEXP_DOM_EMPL,"Benefits Paid, Product liability insurance","Amount of domestic R&D costs going to salaries, wages, and benefits",38.40%,EXPS_RD_DOM_EMP_VAL
1612,RCPT_PAT_OUT_DVAL,B_COOP,Outpatient Care Services,Nonprofit organization ,38.40%,COOP_PARTNER_LOC_CHKBOX
1613,COMBINED_ID,RESP_REMARKS,SURVUNIT_ID of record that reported the combined data.,Remarks about reported data,38.30%,REMARKS_WRTIN_TXT
1614,RCPT_C_ST_AL,B_RDFUND_US_STLOC,"Construction Work by State,  Alabama",Domestic R&D costs paid by U.S. state or local government,38.30%,FUNDS_RD_US_LOCGOV_VAL
1615,RCPT_NONTELEMED_DVAL,B_WORKHOME_FCT,Non-Telemedicine,List of factors that limit the ability of the mployees to work from home,38.30%,WORK_HOME_PCT
1616,RCPT_C_ST_KS,B_RDTAX_STATE,"Construction Work by State,  Kansas",The state in which the business filed for a tax credit for increasing research activities,38.30%,RSRCH_TAXCRED_ST
1617,ROOM_RENT_RESIDE,B_EXPCOST_BLDG,"Accomodations,  Number of rooms, units, or quarters primarily rented as residential quarters or units (occupied as one's primary residence)",R&D capital expenditures for buildings and land imp R&D capital expenditures for equipmentrovement,38.30%,CAPEX_RD_OPS_BLDG_VAL
1618,TOTU3INT1,B_EMPNUM_W2_TOTAL,"Total Coop Units, First Intv",Total number of W2 paid employees and owners,38.30%,EMP_W2_TOT_DNUM
1619,PROD_QTYPRD_NONMET_NONE,RESP_REMARKS,"None for the question: If MINE_HERE = 1, report the quantity of all other nonmetallic minerals (including natural abrasives, shell and native asphalt and bitumens) mined and/or beneficiated at this mine or pit",Remarks about reported data,38.30%,REMARKS_WRTIN_TXT
1620,RCPT_CUST_LOCTEL_IND_PCT,B_ACTIVITYUC_INFO ,"Class of Customer: Fixed Local Telephony, Individual",Yes/No if domestic unaffiliated companies conducted information and communication tech services for this business,38.30%,UNAFFIL_US_INFOTEC_STAT
1621,BED1U4,CPSTR,Total 1 bedrooms for Type 4,Total capital expenditures for research operations that went towards buildings and land improvement,38.30%,CAPEX_RSRCH_BUILD_VAL
1622,RCPT_GM_DVAL,B_WORLDEXP_TOTAL ,Gross margin,Total worldwide operating expenses,38.30%,EXPS_WORLD_TOT_VAL
1623,RCPT_C_ST_IA,B_ACTIVITYUC_ENG ,"Construction Work by State,  Iowa",Yes/No if domestic unaffiliated companies conducted engineering for this business,38.20%,UNAFFIL_US_ENGINEER_STAT
1624,RCPT_C_ST_HI,B_RDFUND_US_STLOC,"Construction Work by State,  Hawaii",Domestic R&D costs paid by U.S. state or local government,38.20%,FUNDS_RD_US_LOCGOV_VAL
1625,BED2U3,CPSTR,Total 2 bedrooms for Type 3,Total capital expenditures for research operations that went towards buildings and land improvement,38.20%,CAPEX_RSRCH_BUILD_VAL
1626,WATER_SOURCE,B_IMPROCESS_MAN ,What was this establishment’s main source of new water?,Whether the business introduced new or improved methods for producing goods or providing services,38.20%,IMPROCESS_MAN_STAT
1627,EXPS_CASH_DIV_VAL,B_RDFUND_FR_OWNER,Cash dividends charged to retained earnings this quarter,Domestic R&D costs paid by foreign owner,38.20%,FUNDS_RD_FORGN_OWN_VAL
1628,INCOM_LEAS_AUTO_INT_PCT,B_CONTRACTIN_TYPE ,"Automobile and light-duty truck leasing services - includes operating and finance leases,  Interest",Types of companies that this business performed manufacturing for,38.20%,MAN_CONTRACTIN_CHKBOX
1629,OPSTAT_STAT,B_NUMKPI,Operational Status Selection,Number of key performance indicators monitored by this business ,38.10%,KPI_MONITOR_NUM
1630,HOUSE_SNGL_DETACH_SALE,B_EMPNUM_W2_OWNER ,"Houses built for sale on land you owned,  Number of Detached (free standing single-family homes)",Number of owners who received a W2 from this business,38.10%,EMP_W2_OWNER_NUM
1631,RCPT_C_ST_FL,B_RDFUND_US_STLOC,"Construction Work by State,  Florida",Domestic R&D costs paid by U.S. state or local government,38.10%,FUNDS_RD_US_LOCGOV_VAL
1632,RCPT_C_ST_ME,B_RDFUND_US_STLOC,"Construction Work by State,  Maine",Domestic R&D costs paid by U.S. state or local government,38.10%,FUNDS_RD_US_LOCGOV_VAL
1633,ORE_COPPER_LEADZINC,B_DIFF_TARGETS,"Quantity of Copper produced,  Lead/Zinc",Amount of effort it took to meet production targets,38.10%,PROD_TARG_EFFORT_CODE
1634,LETTER_DRIVER_TXT,B_NEWCUSTSTART_REASON,Used for letter content and variations within workloads,Why this new/customized product or service was developed,38.10%,NEW_CUST_PROD_START_REASON_STAT
1635,EMP_MAR12_PHYASST,B_EMPTRAIN,"Employment By Occupation, Physician assistants",The areas covered by employee training,38.10%,EMP_TRAIN_AREA_CHKBOX
1636,OPSTAT_EXPECT_DATE,B_EXPCOST_BLDG,"Operational Status: Under construction, development, or exploration",R&D capital expenditures for buildings and land imp R&D capital expenditures for equipmentrovement,38.10%,CAPEX_RD_OPS_BLDG_VAL
1637,RCPT_C_ST_NE,ZSTAT,"Construction Work by State,  Nebraska",Amount of domestic research funds that came from state and local governments,38.00%,EXPS_RSRCH_ST_LOC_VAL
1638,ORE_COPPER_SILVER,B_DIFF_TARGETS,"Quantity of Copper produced,  Silver",Amount of effort it took to meet production targets,38.00%,PROD_TARG_EFFORT_CODE
1639,MRCH_ECOMMERCE_DVAL,EXPNS,sum of ecommerce merchadise lines,Amount of total expenses,38.00%,EXPS_TOT_VAL
1640,EMP_MAR12_OSTEO,B_EMPTRAIN_PCT,"Employment By Occupation, Osteopathic physicians - licensed practitioners having D.O. degree",Percent of employees that received formal training,38.00%,EMP_TRAIN_PCT
1641,PROD_QTYPRD_FELDSP_NONE,RESP_REMARKS,"None for the question: If MINE_HERE = 1, report the quantity of feldspar mined and/or basically prepared for transport at this mine or pit",Remarks about reported data,38.00%,REMARKS_WRTIN_TXT
1642,EXPS_SUPPLY_MED_VAL,B_COOP,Medical Supplies,"Suppliers of equipment, materials, components, or software outside your business group ",38.00%,COOP_PARTNER_LOC_CHKBOX
1643,PROD_QTYPRD_UNCALGYP_NONE,RESP_REMARKS,"None for the question: If MINE_HERE = 1, report the quantity of gypsum mined and/or beneficiated at this mine or pit",Remarks about reported data,38.00%,REMARKS_WRTIN_TXT
1644,RCPT_C_ST_OR,B_RDFUND_US_STLOC,"Construction Work by State,  Oregon",Domestic R&D costs paid by U.S. state or local government,37.90%,FUNDS_RD_US_LOCGOV_VAL
