name,definition
PULKDK10,LKDK - Other
PULKDK11,LKDK - Nothing
PULKDK12,LKDK - Other passive
PULKDK13,LKDK - Nothing
PULKDK2,LKDK - Applied for a job or answered a job ad
PULKDK3,LKDK - Checked a union/professional register
PULKDK4,LKDK - Posted a resume or an ad/listing
PULKDK5,"LKDK - Contacted a person, company, employment agency, or other organization"
PULKDK6,LK - Asking Friends
PULKDK7,LKDK - Looked at job ads
PULKDK8,LKDK - Participated in a job training course or other activity to improve job skills
PULKDK9,LKDK - Worked on resume
PULKDKAJ,LKDK - Applied for a job or answered a job ad
PULKDKCP,"LKDK - Contacted a person, company, employment agency, or other organization"
PULKDKCR,LKDK - Checked a union/professional register
PULKDKIJ,LKDK - Interviewed for a job
PULKDKLJ,LKDK - Looked at job ads
PULKDKNO,LKDK - Nothing
PULKDKOT,LKDK - Other
PULKDKPJ,LKDK - Participated in a job training course or other activity to improve job skills
PULKDKPR,LKDK - Posted a resume or an ad/listing
PULKDKS,Specify
PULKDKS1,Out variable for the first instance of LKDKS in the LKDK block. Specify for LKDK.
PULKDKS2,Out variable for the second instance of LKDKS in the LKDK block. Specify for LKDK.
PULKDKS3,Out variable for the third instance of LKDKS in the LKDK block. Specify for LKDK.
PULKDKS4,Out variable for the fourth instance of LKDKS in the LKDK block. Specify for LKDK.
PULKDKS5,Out variable for the fifth instance of LKDKS in the LKDK block. Specify for LKDK.
PULKDKS6,Out variable for the sixth instance of LKDKS in the LKDK block. Specify for LKDK.
PULKDKWR,LKDK - Worked on resume
PULKDTMO,Out Variable for LKDATM
PULKDTYO,Out Variable for LKDATY
PULKDUR,Duration of Looking
PULKDUR1,How long looking
PULKDUR2,Number
PULKDUR3,Check Item LKCK4
PULKDURX,Duration of Looking Output
PULKFT,Looking full-time work
PULKFTO,Out for LKFT
PULKLL1,What were you doing?
PULKLL1O,Out Variable for LKLL1
PULKLL1S,Specify LKLL1
PULKLL2,Lose or quit that job?
PULKLL2O,Out Variable for LKLL2
PULKLW,When last worked
PULKLWO,Out Variable for LKLW
PULKM,Have been doing something to find work in the last 4 weeks.
PULKM_DKREF,LKM - Interviewed for a job don't know or refuse
PULKM1,LKM - Interviewed for a job
PULKM1_CAPI,LKM-CAPI- Contact employer directly/interview
PULKM10,LKM - Other
PULKM10_CAPI,LKM-CAPI- Looked at ads
PULKM11,LKM - Nothing
PULKM11_CAPI,LKM-CAPI- Attended job training programs/courses
PULKM12_CAPI,LKM-CAPI- Other passive
PULKM13_CAPI,LKM-CAPI- Nothing
PULKM2,LKM - Applied for a job or answered a job ad
PULKM2_CAPI,LKM-CAPI- Contacted public employment agency
PULKM3,LKM - Checked a union/professional register
PULKM3_CAPI,LKM-CAPI- Contacted private employment agency
PULKM4,LKM - Posted a resume or an ad/listing
PULKM4_CAPI,LKM-CAPI- Contacted friends or relatives
PULKM5,"LKM - Contacted a person, company, employment agency, or other organization"
PULKM5_CAPI,LKM-CAPI- Contacted school/university employment center
PULKM6,"LKM - Asked friends, relatives, network about job leads"
PULKM6_CAPI,LKM-CAPI- Sent out resumes/filled out applications
PULKM7,LKM - Looked at job ads
PULKM7_CAPI,LKM-CAPI- Checked union/professional registers
PULKM8,LKM - Participated in a job training course or other activity to improve job skills
PULKM8_CAPI,LKM-CAPI- Placed or answered ads
PULKM9,LKM - Worked on resume
PULKM9_CAPI,LKM-CAPI- Other active
PULKMAJ,LKM - Applied for a job or answered a job ad
PULKMCP,"LKM - Contacted a person, company, employment agency, or other organization"
PULKMCR,LKM - Checked a union/professional register
PULKMIJ,LKM - Interviewed for a job
PULKMLJ,LKM - Looked at job ads
PULKMNO,LKM - Nothing
PULKMOT,LKM - Other
PULKMPJ,LKM - Participated in a job training course or other activity to improve job skills
PULKMPR,LKM - Posted a resume or an ad/listing
PULKMSP,Specify for LKM
PULKMSP1,Out variable for the first instance of LKMSP in the LKM block. Specify for LKM.
PULKMSP2,Out variable for the second instance of LKMSP in the LKM block. Specify for LKM.
PULKMSP3,Out variable for the third instance of LKMSP in the LKM block. Specify for LKM.
PULKMSP4,Out variable for the fourth instance of LKMSP in the LKM block. Specify for LKM.
PULKMSP5,Out variable for the fifth instance of LKMSP in the LKM block. Specify for LKM.
PULKMSP6,Out variable for the sixth instance of LKMSP in the LKM block. Specify for LKM.
PULKMWR,LKM - Worked on resume
PULKPS,How looking
PULKPS_DKREF,LKPS - Applied for a job or answered a job ad don't know or refuse
PULKPS1,LKPS - Interviewed for a job
PULKPS10,LKPS - Other
PULKPS11,LKPS - Nothing
PULKPS12,LKPS - Other passive
PULKPS13,LKPS - Nothing
PULKPS2,LKPS - Applied for a job or answered a job ad
PULKPS3,LKPS - Checked a union/professional register
PULKPS4,LKPS - Posted a resume or an ad/listing
PULKPS5,LKPS -contact employment centers
PULKPS6,LK - Freind and Family
PULKPS7,LKPS - Looked at job ads
PULKPS8,LKPS - Participated in a job training course or other activity to improve job skills
PULKPS9,LKPS - Worked on resume
PULKPSAJ,LKPS - Applied for a job or answered a job ad
PULKPSCP,LKPS - Looked at job ads
PULKPSCR,LKPS - Checked a union/professional register
PULKPSIJ,LKPS - Interviewed for a job
PULKPSLJ,LKPS - Looked at job ads
PULKPSNO,LKPS - Nothing
PULKPSOT,LKPS - Other
PULKPSP,Specify LKPS
PULKPSP1,Out variable for the first instance of LKPSP in the LKPS block. Specify for LKPS.
PULKPSP2,Out variable for the second instance of LKPSP in the LKPS block. Specify for LKPS.
PULKPSP3,Out variable for the third instance of LKPSP in the LKPS block. Specify for LKPS.
PULKPSP4,Out variable for the fourth instance of LKPSP in the LKPS block. Specify for LKPS.
PULKPSP5,Out variable for the fifth instance of LKPSP in the LKPS block. Specify for LKPS.
PULKPSP6,Out variable for the sixth instance of LKPSP in the LKPS block. Specify for LKPS.
PULKPSPJ,LKPS - Participated in a job training course or other activity to improve job skills
PULKPSPR,LKPS - Posted a resume or an ad/listing
PULKPSWR,LKPS - Worked on resume
PULNAME,Last name
PULOCKPROX,Variable set = 1 when labor force questions complete to prevent SLFPRX value from changing.
PULSTHRI,Flag for if person was ever a respondent
PUMARITL,Marital Question
PUMISPER,Flag to indicate is a persons labor Force interview has been skipped over
PUMJ,More than one job
PUMJ_CONF,Multiple jobs confirmation
PUMJNUM,How many jobs
PUMJOT,Output for multiple jobs
PUMLR,Monthly Labor Force Recode
PUMNTVTY,"Country of birth, mother"
PUNATVTY,Country of birth
PUNLFACT,Describe Situation
PUNLFCK1,Check for NLF/SCHOOL
PUNLFCK2,Check for NLF
PUNLFJH,When Last Worked
PUNLFRET,Retired from Job
PUNLFSPC,Specify Situation
PUNMEMP1,What is the number of paid employees?
PUNMEMP1A,What is the number of paid employees?
PUNMEMP2,How many paid employees at your second job?
PUOPTOUT,Output variable for SSN Opt-Out
PUORISPN,"Type of Spanish, Hispanic, or Latin group"
PUORISPN_DKREF,Hispanic Origin - Don't Know or Refuse
PUORISPN1,Mexican
PUORISPN2,"Hispanic Origin - Mexican, Mexican American, Chicano"
PUORISPN3,"Type of Spanish, Hispanic, or Latin group"
PUORISPN4,Hispanic Origin - Puerto Rican
PUORISPN5,Hispanic Origin - Cuban
PUORISPN6,Hispanic Origin - Cuban
PUORISPN7,Hispanic Origin - Other
PUOROTSP,"other Spanish, Hispanic, or Latino group  (Code)"
PUOROTSS,"Specify ""Other"" Spanish, Hispanic, OR Latino group"
PUOWN2BUS,Stores self-employed information.
PUOWNBUS,Store type of industry for main job
PUOWNBUS_FLG,Store type of industry for main job
PUPAR1,Line number of Par1
PUPAR1TYP,Type of mother
PUPAR2,Line number of Par2
PUPAR2TYP,Type of father
PUPARENT,Parent Line number  (non-displayed)
PUPARENT2,2nd Parent
PUPDEMP1,Output variable for: Do you usually have paid employees?
PUPDEMP2,Output variable for: Do you usually have paid employees?
PUPELIG,Person's Eligibility/Interview Status
PUPERSTAT,Person Status  (deleted/reinstated)
PURACAS_DKREF,Asian Indian
PURACAS1,Asian Indian
PURACAS2,Chinese
PURACAS3,Filipino
PURACAS4,Japanese
PURACAS5,Korean
PURACAS6,Vietnamese
PURACAS7,Other Asian - DO NOT READ
PURACAS7_TEXT,Other Asian Write-In
PURACEA1,White
PURACEA2,Black or African American
PURACEA3,American Indian or Alaska Native
PURACEA4,Asian
PURACEA5,Native Hawaiian or Other Pacific Islander
PURACEA6,Some Other Race - DO NOT READ
PURACEB1,White
PURACEB2,Black or African American
PURACEB3,American Indian or Alaska Native
PURACEB4,Asian
PURACEB5,Native Hawaiian or Other Pacific Islander
PURACEB6,Some Other Race - DO NOT READ
PURACEO_DKREF,Race Don't Know or Refuse
PURACEO1,White
PURACEO2,Black or African American
PURACEO3,American Indian or Alaska Native
PURACEO3_TEXT,American Indian or Alaska Native Write-In
PURACEO4,Asian
PURACEO5,Native Hawaiian or Other Pacific Islander
PURACEO6,Some Other Race - DO NOT READ
PURACEOS,Specify
PURACEOT,Race Code
PURACPI_DKREF,Don't Know or Refuse
PURACPI1,Native Hawaiian
PURACPI2,Guamanian or Chamorro
PURACPI3,Samoan
PURACPI4,Other Pacific Islander - DO NOT READ
PURACPI4_TEXT,Other Pacific Islander Write-In
PURELFLG,Relationship Flag for Business Ownership
PURET,Still Retired
PURET1,"Output for all RET1 variables (RET1_1, RET1_2, RET1_3)"
PURET11,Retired Want Job (1)
PURET12,Retired Want Job (2)
PURET13,Retired Want Job (3)
PURETCK1,Retired Check 1
PURETCK2,Retired Check 2
PURETCK3,Retired Check 3
PURETCK4,Retired Check 4
PURETCK5,Retired Check 5
PURETOT,Output for RET
PURRP,Relationship output variable
PUSCHCK,Check for age
PUSCHENR,Enrolled in School
PUSCHFT,School Full/Part time
PUSCHLVL,High school or College
PUSEX,Person's sex
PUSKFLG,"Flag for deleted person.  (Fname = 999, or perstat = 5)"
PUSLFPRX,Initial labor force self or proxy setting
PUSPFLG,Spouse person number
PUSPOUSE,Spouse Line number Question
PUSUBFAM,Subfamily Line number  (non-displayed)
PUSUBFAM_DKREF,Subfamily Line number  (non-displayed) don't know or refuse
PUTLWK,Telework from home
PUTLWKHR,Hours telework
PUTYPEZ,Why no survey data collected for person
PUTYPZLN,Holds the line number associated with the typez data
PUTYPZSP,Specify other reason for missing data
PUURE,Usual residence elsewhere?
PUVERIFAGE,Verify Calculated Age
PUWHY0,Why zero (0) earnings?
PUWHY01,Why zero (0) earnings?
PUWHY02,Why zero (0) earnings?
PUWK,Do any work for pay or profit?
QTYPE,Month (Aug.-Nov.) used for mover question fill.  From rt2500 in March only.
QTYPE2,"Alternate path flag, to direct instrument to specified blocks.  From rt2501 in March only.
Will be <empty> for most cases;  set to 1 for those cases, from RT2501, position 254."
QTYPE3,Month (Aug.-Nov.) used for mover question fill.  From rt2500 in March only.
QTYPE4,"Alternate path flag, to direct instrument to specified blocks.  From rt2501 in March only.
Will be <empty> for most cases;  set to 1 for those cases, from RT2501, position 254."
RESPNAME,Respondent Name
SPHEXT,Second phone number - extension
SPHONE,"Second phone number (area, prefix, suffix)"
SPHTYP,"Second phone number - Type (Home, Office, cell)"
ST,State
START_CP,Start screen for CAPI
STRNAME,Household Address - Street Address
SURVEY_PERIOD,Assignment Period
SURVEYID,Master Control Survey4 ID
SURVTYPE,Type of Case (Production versus Testing or Training)
UNITDES,Household Address - Unit Designation
UPDATE_NROSIZ,Set NROSIZ to 0 for certain cases
ZIP4,Household Address - 4 digit Zipcode extension
ZIP5,Household Address - Zipcode
ADDRESS_TYPE,Address Type
ADDRESS_TYPE_OTHER,Address Type Other
BMC_ADDR_LINE1A,BMC Address Line 1A
BMC_ADDR_LINE1B,BMC Address Line 1B
BMC_ADDR_LINE1M,BMC POC Address Line 1
BMC_ADDR_LINE2A,BMC Address Line 2A
BMC_ADDR_LINE2B,BMC Address Line 2B
BMC_ADDR_LINE2M,BMC POC Address Line 2
BMC_CITY_M,BMC POC City
BMC_CITY1,BMC City 1
BMC_CITY2,BMC City 2
BMC_COMPLEX_NAME,Housing Complex
BMC_DAYS_FRIDAY,Day of the Week
BMC_DAYS_MONDAY,Days of the Week
BMC_DAYS_SATURDAY,Days of the Week
BMC_DAYS_SUNDAY,Days of Week
BMC_DAYS_THURSDAY,Day of the Week
BMC_DAYS_TUESDAY,Day of the Week
BMC_DAYS_WEDNESDAY,Day of the Week
BMC_FIRST_NAME_M,BMC First Name
BMC_HOURS_OF_OP1,Office Hours of Operation Start Time
BMC_HOURS_OF_OP2,Office Hours of Operation Closing
BMC_LAST_NAME_M,BMC POC Last Name
BMC_NAME1,BMC POC Name
BMC_NAME2,BMC Name 2
BMC_NOTES_M,BMC POC Notes
BMC_OFFICE_NAME,Office Name
BMC_PHONE_TYPE1_M,BMC POC Phone #1 Type
BMC_PHONE_TYPE1A,BMC Phone Type 1A
BMC_PHONE_TYPE1B,BMC Phone Type 1B
BMC_PHONE_TYPE2_M,BMC POC Phone Type 2
BMC_PHONE_TYPE2A,BMC Phone Type 2A
BMC_PHONE_TYPE2B,BMC Phone Type 2B
BMC_PHONE1_EXT_M,BMC POC Phone1 Ext
BMC_PHONE1_M,BMC POC Phone # 1
BMC_PHONE1A,BMC Phone 1A
BMC_PHONE1A_EXT,BMC Phone 1A Ext
BMC_PHONE1B,BMC Phone 1B
BMC_PHONE1B_EXT,BMC Phone 1B Ext
BMC_PHONE2_EXT_M,BMC POC Phone 2 Ext
BMC_PHONE2_M,BMC POC Phone 2
BMC_PHONE2A,BMC Phone 2B
BMC_PHONE2A_EXT,BMC Phone 2A Ext
BMC_PHONE2B,BMC Phone 2B
BMC_PHONE2B_EXT,BMC Phone 2B Ext
BMC_STATE_M,BMC POC State
BMC_STATE1,BMC State 1
BMC_STATE2,BMC State 2
BMC_TITLE_M,BMC Contact Title
BMC_TITLE1,BMC Contact Title 1
BMC_TITLE2,BMC Contact Title 2
BMC_ZIP51,BMC POC ZIP
BMC_ZIP52,BMC ZIP 2
BMC_ZIP9_M,BMC POC ZIP
BUILDING_CONTACT,Building Contact
CASE_NOTES,Case-Level Notes
CM_MAILING_CITY,RESPONDENT MAILING ADDRESS CITY
CM_MAILING_PO_BOX,RESPONDENT MAILING ADDRESS P.O. BOX
CM_MAILING_RR1,RESPONDENT MAILING ADDRESS RURAL ROUTE 1
CM_MAILING_RR2,RESPONDENT MAILING ADDRESS RURAL ROUTE 2
CM_MAILING_STATE,RESPONDENT MAILING ADDRESS STATE
CM_MAILING_ZIPCODE,RESPONDENT MAILING ADDRESS ZIPCODE
DELIVERY_TYPE,Mail Delivery Type
LETTER_REQUEST,Letter Request
LETTER_TYPE,Survey Letters
LOCATING_RESEARCHING,Locating or researching a case
READY_FOR_TRANSMIT,Ready for case transmission
RESPONDENT_NAME,Respondent Name
REVIEWING_CASE,Reviewing case / writing case notes
TRANSMIT_CASE,Case transmission
TRANSMIT_CASE_REASON,Transmit Case Reason
TRANSMIT_CASE_REASON_OTHER,Transmit Case Reason Other
A1_ACTIVE,Adult 1 - Active Duty
A1_ACTIVE_NEVER,Adult 1 - Active Duty - Never served in the military
A1_ACTIVE_NOW,Adult 1 - Active Duty - Now on active duty
A1_ACTIVE_PAST,"Adult 1 - Active Duty - On active duty in the past, but not now"
A1_ACTIVE_RES,Adult 1 - Active Duty -  Only on active duty for training in the Reserves or National Guard
A1_AGE,Adult 1 - Age in Years
A1_BORN,Adult 1 - Where Born
A1_BORN_INUS,Adult 1 - Where Born - In the United States
A1_BORN_OUTUS,Adult 1 - Where Born - Outside of the United States
A1_DEPLSTAT,Adult 1 - Deployment Status
A1_DEPLSTAT_NO,Adult 1 - Deployment Status - No
A1_DEPLSTAT_YES,Adult 1 - Deployment Status  - Yes
A1_EMPLOYED,Adult 1 - Current Employment Status
A1_EMPLOYED_FULL,Adult 1 - Current Employment Status - Employed full-time
A1_EMPLOYED_LOOK,Adult 1 - Current Employment Status - Not employed but looking for work
A1_EMPLOYED_NOT,Adult 1 - Current Employment Status - Not employed and not looking for work
A1_EMPLOYED_PART,Adult 1 - Current Employment Status - Employed part-time
A1_EMPLOYED_RETIRED,TBD CAFE LOADED
A1_EMPLOYED_WO,Adult 1 - Current Employment Status - Working WITHOUT pay
A1_GRADE,Adult 1 - Highest Completed Year of School
A1_GRADE_8LESS,Adult 1 - Highest Completed Year of School - 8th grade or less
A1_GRADE_9TO12,Adult 1 - Highest Completed Year of School - 9th-12th grade; No diploma
A1_GRADE_AAAS,"Adult 1 - Highest Completed Year of School - Associate Degree (AA, AS)"
A1_GRADE_BACH,"Adult 1 - Highest Completed Year of School - Bachelor�s Degree (BA, BS, AB)"
A1_GRADE_DOC,"Adult 1 - Highest Completed Year of School - Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, JD)"
A1_GRADE_HSGED,Adult 1 - Highest Completed Year of School - High School Graduate or GED Completed
A1_GRADE_MAST,"Adult 1 - Highest Completed Year of School - Master�s Degree (MA, MS, MSW, MBA)"
A1_GRADE_SOMECOL,"Adult 1 - Highest Completed Year of School - Some College Credit, but no Degree"
A1_GRADE_VOCBUS,"Adult 1 - Highest Completed Year of School - Completed a vocational, trade, or business school program"
A1_MARITAL,Adult 1 - Marital Status
A1_MARITAL_DIVORCED,Adult 1 - Marital Status - Divorced
A1_MARITAL_MARRIED,Adult 1 - Marital Status - Married
A1_MARITAL_NEVER,Adult 1 - Marital Status - Never Married
A1_MARITAL_PARTNER,"Adult 1 - Marital Status - Not married, but living with a partner"
A1_MARITAL_SEPARATE,Adult 1 - Marital Status - Separated
A1_MARITAL_WIDOW,Adult 1 - Marital Status - Widowed
A1_MENTHEALTH,Adult 1 - Mental or Emotional Health
A1_MENTHEALTH_EXC,Adult 1 - Mental or Emotional Health - Excellent
A1_MENTHEALTH_FAIR,Adult 1 - Mental or Emotional Health - Fair
A1_MENTHEALTH_GOOD,Adult 1 - Mental or Emotional Health - Good
A1_MENTHEALTH_POOR,Adult 1 - Mental or Emotional Health - Poor
A1_MENTHEALTH_VGOOD,Adult 1 - Mental or Emotional Health - Very good
A1_PHYSHEALTH,Adult 1 - Physical Health
A1_PHYSHEALTH_EXC,Adult 1 - Physical Health - Excellent
A1_PHYSHEALTH_FAIR,Adult 1 - Physical Health - Fair
A1_PHYSHEALTH_GOOD,Adult 1 - Physical Health - Good
A1_PHYSHEALTH_POOR,Adult 1 - Physical Health - Poor
A1_PHYSHEALTH_VGOOD,Adult 1 - Physical Health - Very good
A1_RELATION,Adult 1 - How Related to Child
A1_RELATION_BIOADOPT,Adult 1 - How Related to Child - Biological or Adoptive Parent
A1_RELATION_FOSTER,Adult 1 - How Related to Child - Foster Parent
A1_RELATION_GRAND,Adult 1 - How Related to Child - Grandparent
A1_RELATION_OTHNON,Adult 1 - How Related to Child - Other: Non-Relative
A1_RELATION_OTHREL,Adult 1 - How Related to Child - Other: Relative
A1_RELATION_STEP,Adult 1 - How Related to Child - Step-parent
A1_SEX,Adult 1 - Sex
A1_SEX_FEMALE,Adult 1 - Sex - Female
A1_SEX_MALE,Adult 1 - Sex - Male
A2_ACTIVE,Adult 2 - Active Duty
A2_ACTIVE_NEVER,Adult 2 - Active Duty - Never served in the military
A2_ACTIVE_NOW,Adult 2 - Active Duty - Now on active duty
A2_ACTIVE_PAST,"Adult 2 - Active Duty - On active duty in the past, but not now"
A2_ACTIVE_RES,Adult 2 - Active Duty - Only on active duty for training in the Reserves or National Guard
A2_AGE,Adult 2 - Age in Years
A2_BORN,Adult 2 - Where Born
A2_BORN_INUS,Adult 2 - Where Born - In the United States
A2_BORN_OUTUS,Adult 2 - Where Born - Outside the United States
A2_DEPLSTAT,Adult 2 - Deployment Status
A2_DEPLSTAT_NO,Adult 2 - Deployment Status - No
A2_DEPLSTAT_YES,Adult 2 - Deployment Status - Yes
A2_EMPLOYED,Current Employment Status
A2_EMPLOYED_FULL,Adult 2 - Current Employment Status - Employed full-time
A2_EMPLOYED_LOOK,Adult 2 - Current Employment Status  - Not employed but looking for work
A2_EMPLOYED_NOT,Adult 2 - Current Employment Status - Not employed and not looking for work
A2_EMPLOYED_PART,Adult 2 - Current Employment Status - Employed part-time
A2_EMPLOYED_RETIRED,TBD CAFE LOADED
A2_EMPLOYED_WO,Adult 2 - Current Employment Status - Working WITHOUT pay
A2_GRADE,Adult 2 - Highest Completed Year of School
A2_GRADE_8LESS,Adult 2 - Highest Completed Year of School - 8th grade or less
A2_GRADE_9TO12,Adult 2 - Highest Completed Year of School - 9th-12th grade; No diploma
A2_GRADE_AAAS,"Adult 2 - Highest Completed Year of School - Associate Degree (AA, AS)"
A2_GRADE_BACH,"Adult 2 - Highest Completed Year of School - Bachelor?s Degree (BA, BS, AB)"
A2_GRADE_DOC,"Adult 2 - Highest Completed Year of School - Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, JD)"
A2_GRADE_HSGED,Adult 2 - Highest Completed Year of School - High School Graduate or GED Completed
A2_GRADE_MAST,"Adult 2 - Highest Completed Year of School - Master?s Degree (MA, MS, MSW, MBA)"
A2_GRADE_SOMECOL,"Adult 2 - Highest Completed Year of School - Some College Credit, but no Degree"
A2_GRADE_VOCBUS,"Adult 2 - Highest Completed Year of School - Completed a vocational, trade, or business school program"
A2_MARITAL,Adult 2 - Marital Status
A2_MARITAL_DIVORCED,Adult 2 - Marital - Divorced
A2_MARITAL_MARRIED,Adult 2 - Marital Status - Married
A2_MARITAL_NEVER,Adult 2 - Marital Status - Never Married
A2_MARITAL_PARTNER,"Adult 2 - Marital Status - Not married, but living with a partner"
A2_MARITAL_SEPARATE,Adult 2 - Marital Status - Separated
A2_MARITAL_WIDOW,Adult 2 - Marital Status - Widowed
A2_MENTHEALTH,Adult 2 - Mental or Emotional Health
A2_MENTHEALTH_EXC,Adult 2 - Mental or Emotional Health - Excellent
A2_MENTHEALTH_FAIR,Adult 2 - Mental or Emotional Health - Fair
A2_MENTHEALTH_GOOD,Adult 2 - Mental or Emotional Health - Good
A2_MENTHEALTH_POOR,Adult 2 - Mental or Emotional Health - Poor
A2_MENTHEALTH_VGOOD,Adult 2 - Mental or Emotional Health - Very good
A2_PHYSHEALTH,Adult 2 - Physical Health
A2_PHYSHEALTH_EXC,Adult 2 - Physical Health - Excellent
A2_PHYSHEALTH_FAIR,Adult 2 - Physical Health - Fair
A2_PHYSHEALTH_GOOD,Adult 2 - Physical Health - Good
A2_PHYSHEALTH_POOR,Adult 2 - Physical Health - Poor
A2_PHYSHEALTH_VGOOD,Adult 2 - Physical Health - Very good
A2_RELATION,Adult 2 - How Related to Child
A2_RELATION_BIOADOPT,Adult 2 - How Related to Child - Biological or Adoptive Parent
A2_RELATION_FOSTER,Adult 2 - How Related to Child - Foster Parent
A2_RELATION_GRAND,Adult 2 - How Related to Child - Grandparent
A2_RELATION_OTHNON,Adult 2 - How Related to - Other: Non-Relative
A2_RELATION_OTHREL,Adult 2 - How Related to Child - Other: Relative
A2_RELATION_STEP,Adult 2 - How Related to Child - Step-parent
A2_SEX,Adult 2 - Sex
A2_SEX_FEMALE,Adult 2 - Sex - Female
A2_SEX_MALE,Adult 2 - Sex - Male
ACE_ADDRESS,2025 NSCH SAMPLE ADDRESS
ACE_CITY,2025 NSCH Sample Address City
ACE_STATE,2025 NSCH Sample Address State
ACE_ZIP5,2025 NSCH Sample Address Zip
ACE1,Hard to Cover Basics Like Food or Housing
ACE1_NEVER,Hard to Cover Basics Like Food or Housing - Never
ACE1_RARELY,Hard to Cover Basics Like Food or Housing - Rarely
ACE1_SOMEWHAT,Hard to Cover Basics Like Food or Housing - Somewhat
ACE1_VERY,Hard to Cover Basics Like Food or Housing - Very
ACE10,Child Experienced - Treated Unfairly Because of Race
ACE10_NO,Child Experienced - Treated Unfairly Because of Race - No
ACE10_YES,Child Experienced - Treated Unfairly Because of Race - Yes
ACE11,Health Condition or Disability
ACE11_NO,Health Condition or Disability - No
ACE11_YES,Health Condition or Disability - Yes
ACE12,Child Experienced - Treated Unfairly Because of their Sexual Orientation or Gender Identity
ACE12_NO,Child Experienced - Treated Unfairly Because of their Sexual Orientation or Gender Identity - No
ACE12_YES,Child Experienced - Treated Unfairly Because of their Sexual Orientation or Gender Identity - Yes
ACE3,Child Experienced - Parent or Guardian Divorced
ACE3_NO,Child Experienced - Parent or Guardian Divorced - No
ACE3_YES,Child Experienced - Parent or Guardian Divorced - Yes
ACE4,Child Experienced - Parent or Guardian Died
ACE4_NO,Child Experienced - Parent or Guardian Died - No
ACE4_YES,Child Experienced - Parent or Guardian Died - Yes
ACE5,Child Experienced - Parent or Guardian Time in Jail or Prison
ACE5_NO,Child Experienced - Parent or Guardian Time in Jail or Prison - No
ACE5_YES,Child Experienced - Parent or Guardian Time in Jail or Prison - Yes
ACE6,"Child Experienced - Adults Slap, Hit, Kick, Punch Others"
ACE6_NO,"Child Experienced - Adults Slap, Hit, Kick, Punch Others - No"
ACE6_YES,"Child Experienced - Adults Slap, Hit, Kick, Punch Others - Yes"
ACE7,Child Experienced - Victim of Violence
ACE7_NO,Child Experienced - Victim of Violence - No
ACE7_YES,Child Experienced - Victim of Violence - Yes
ACE8,Child Experienced - Lived with Mentally Ill
ACE8_NO,Child Experienced - Lived with Mentally Ill - No
ACE8_YES,Child Experienced - Lived with Mentally Ill - Yes
ACE9,Child Experienced - Lived with Person with Alcohol/Drug Problem
ACE9_NO,Child Experienced - Lived with Person with Alcohol/Drug Problem - No
ACE9_YES,Child Experienced - Lived with Person with Alcohol/Drug Problem - Yes
ADDTREAT,ADD/ADHD - Behavioral Treatment
ADDTREAT_NO,ADD/ADHD - Behavioral Treatment - No
ADDTREAT_YES,ADD/ADHD - Behavioral Treatment - Yes
AGE_MONTHS,Age - Months
AGE_YEARS,Age - Years
ALLERGIES,Allergies
ALLERGIES_CURR,Allergies Currently
ALLERGIES_CURR_NO,Allergies Currently - No
ALLERGIES_CURR_YES,Allergies Currently - Yes
ALLERGIES_DESC,Allergies Description
ALLERGIES_DESC_MILD,Allergies Description - Mild
ALLERGIES_DESC_MOD,Allergies Description - Moderate
ALLERGIES_DESC_SEV,Allergies Description - Severe
ALLERGIES_NO,Allergies - No
ALLERGIES_YES,Allergies - Yes
APPOINTMENT,Difficulties Getting Service - Getting Appointment
APPOINTMENT_NO,Difficulties Getting Service - Getting Appointment - No
APPOINTMENT_YES,Difficulties Getting Service - Getting Appointment - Yes
ARRANGEHC,Hours Spent Arranging Health Medical Care
ARRANGEHC_1,TBD CAFE LOADED
ARRANGEHC_2,TBD CAFE LOADED
ARRANGEHC_3,TBD CAFE LOADED
ARRANGEHC_4,TBD CAFE LOADED
ARRANGEHC_5,TBD CAFE LOADED
ARRANGEHC_FIVE,Hours Spent Arranging Health Medical Care - 11 or more hours per week
ARRANGEHC_FOUR,Hours Spent Arranging Health Medical Care - 5-10 hours per week
ARRANGEHC_ONE,Hours Spent Arranging Health Medical Care - does not need health care coordinated on a weekly basis
ARRANGEHC_THREE,Hours Spent Arranging Health Medical Care -  1-4 hours per week
ARRANGEHC_TWO,Hours Spent Arranging Health Medical Care - Less than 1 hour per week
ASKQUESTION,"Ask Questions: Who, What, When, Where"
ASKQUESTION_NO,"Ask Questions: Who, What, When, Where - No"
ASKQUESTION_YES,"Ask Questions: Who, What, When, Where - Yes"
ASKQUESTION2,"Ask Questions:  Why, How"
ASKQUESTION2_NO,"Ask Questions:  Why, How - No"
ASKQUESTION2_YES,"Ask Questions:  Why, How - Yes"
ASTHMAATTACK,Asthma Attack
ATHOMEHC,Hours Spent Providing Home Health Care
ATHOMEHC_1,TBD CAFE LOADED
ATHOMEHC_2,TBD CAFE LOADED
ATHOMEHC_3,TBD CAFE LOADED
ATHOMEHC_4,TBD CAFE LOADED
ATHOMEHC_5,TBD CAFE LOADED
ATHOMEHC_FIVE,Hours Spent Providing Home Health Care - 11 or more hours per week
